line_number,decision_id,snapshot_id,symbol,action,execution_mode,direction,entry_price,stop_loss,take_profit,reason_code,ack_status,bot_b_action,error_count,warning_count,error_types,warnings,orders_sent,dry_run
1,EURUSD-2020-01-15T12:00:00Z-000000,,EURUSD,ENTER,normal,BUY,1.11283,1.11183,1.11483,score_normal,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
2,EURUSD-2020-01-17T09:05:00Z-000001,,EURUSD,DO_NOTHING,none,,,,,score_below_0_20,ACK_DO_NOTHING,dry_run_noop,0,0,,,0,True
3,EURUSD-2020-01-17T12:30:00Z-000002,,EURUSD,ENTER,premium,SELL,1.11204,1.11304,1.11004,score_premium,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
4,EURUSD-2020-01-21T14:00:00Z-000003,,EURUSD,ENTER,cautious,SELL,1.11054,1.11154,1.10854,score_cautious,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
5,EURUSD-2020-01-22T12:00:00Z-000004,,EURUSD,ENTER,normal,SELL,1.10907,1.11007,1.10707,score_normal,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
6,EURUSD-2020-01-22T17:30:00Z-000005,,EURUSD,DO_NOTHING,none,,,,,score_below_0_20,ACK_DO_NOTHING,dry_run_noop,0,0,,,0,True
7,EURUSD-2020-01-23T17:00:00Z-000006,,EURUSD,ENTER,premium,SELL,1.10692,1.10792,1.10492,score_premium,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
8,EURUSD-2020-01-23T17:30:00Z-000007,,EURUSD,ENTER,normal,SELL,1.1053,1.1063,1.1033,score_normal,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
9,EURUSD-2020-01-24T21:15:00Z-000008,,EURUSD,ENTER,cautious,SELL,1.10293,1.10393,1.10093,score_cautious,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
10,EURUSD-2020-01-28T12:00:00Z-000009,,EURUSD,ENTER,premium,SELL,1.10167,1.10267,1.09967,score_premium,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
11,EURUSD-2020-01-29T08:00:00Z-000010,,EURUSD,ENTER,premium,SELL,1.10148,1.10248,1.09948,score_premium,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
12,EURUSD-2020-01-30T12:00:00Z-000011,,EURUSD,DO_NOTHING,none,,,,,score_below_0_20,ACK_DO_NOTHING,dry_run_noop,0,0,,,0,True
13,EURUSD-2020-01-31T10:05:00Z-000012,,EURUSD,ENTER,normal,BUY,1.10252,1.10152,1.10452,score_normal,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
14,EURUSD-2020-01-31T14:05:00Z-000013,,EURUSD,ENTER,premium,BUY,1.10366,1.10266,1.10566,score_premium,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
15,EURUSD-2020-01-31T17:00:00Z-000014,,EURUSD,ENTER,premium,BUY,1.10626,1.10526,1.10826,score_premium,ACK_EXECUTABLE,dry_run_open_trade,0,0,,,0,True
