schema_version,decision_id,timestamp,exit_timestamp,symbol,split,action,aggression_mode,base_aggression_mode,direction,entry_price,stop_loss,take_profit,score,baltasar_signal,baltasar_confidence,gaspar_signal,gaspar_p_deteriorating,gaspar_high_deterioration,gaspar_downgraded,melchor_signal,melchor_risk_flags,context_quality_rr2,reason_code,risk_notes,realized_R,hypothetical_adjusted_R,gross_r,spread_r,commission_r,slippage_r,is_2026q2,source_strategy,policy,score_formula,min_operational_score
ceo_magi_v3.entry_decision.v1,EURUSD-2020-01-15T12:00:00Z-000000,2020-01-15T12:00:00Z,2020-01-15T13:10:00Z,EURUSD,train,ENTER,normal,normal,BUY,1.11283,1.11183,1.11483,0.362337,ENTER_BUY,0.429209,ALLOW,0.222495,False,False,APPROVE,LOW,FAVORABLE,score_normal,Score accepted in normal band.,1.806042,1.806042,2.0,0.02,0.07,0.103958,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2020-01-17T09:05:00Z-000001,2020-01-17T09:05:00Z,2020-01-17T12:30:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,0.17487,ENTER_SELL,0.47922,ALLOW,0.018115,False,False,APPROVE,LOW,FAVORABLE,score_below_0_20,Score below validated operational threshold.,,1.669576,2.0,0.02,0.07,0.240424,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2020-01-17T12:30:00Z-000002,2020-01-17T12:30:00Z,2020-01-17T15:50:00Z,EURUSD,train,ENTER,premium,premium,SELL,1.11204,1.11304,1.11004,0.456578,ENTER_SELL,0.374277,ALLOW,0.023599,False,False,APPROVE,LOW,FAVORABLE,score_premium,Score accepted in premium band.,1.605534,1.605534,2.0,0.03,0.07,0.294466,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2020-01-21T14:00:00Z-000003,2020-01-21T14:00:00Z,2020-01-21T15:20:00Z,EURUSD,train,ENTER,cautious,cautious,SELL,1.11054,1.11154,1.10854,0.232711,ENTER_SELL,0.35756,ALLOW,0.006466,False,False,APPROVE,LOW,UNFAVORABLE,score_cautious,Score accepted in cautious band.,-1.282931,-1.282931,-1.0,0.03,0.07,0.182931,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2020-01-22T12:00:00Z-000004,2020-01-22T12:00:00Z,2020-01-22T16:00:00Z,EURUSD,train,ENTER,normal,normal,SELL,1.10907,1.11007,1.10707,0.382962,ENTER_SELL,0.424777,ALLOW,0.09842,False,False,APPROVE,LOW,NEUTRAL,score_normal,Score accepted in normal band.,-0.125916,-0.125916,0.1,0.01,0.07,0.145916,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2020-01-22T17:30:00Z-000005,2020-01-22T17:30:00Z,2020-01-22T18:10:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,0.173917,ENTER_SELL,0.358342,ALLOW,0.090433,False,False,APPROVE,LOW,UNFAVORABLE,score_below_0_20,Score below validated operational threshold.,,-1.30753,-1.0,0.02,0.07,0.21753,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2020-01-23T17:00:00Z-000006,2020-01-23T17:00:00Z,2020-01-23T17:30:00Z,EURUSD,train,ENTER,premium,premium,SELL,1.10692,1.10792,1.10492,0.42064,ENTER_SELL,0.37515,ALLOW,0.058547,False,False,APPROVE,LOW,FAVORABLE,score_premium,Score accepted in premium band.,1.653292,1.653292,2.0,0.01,0.07,0.266708,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2020-01-23T17:30:00Z-000007,2020-01-23T17:30:00Z,2020-01-23T21:30:00Z,EURUSD,train,ENTER,normal,normal,SELL,1.1053,1.1063,1.1033,0.358787,ENTER_SELL,0.387601,ALLOW,0.024286,False,False,APPROVE,LOW,NEUTRAL,score_normal,Score accepted in normal band.,-0.286768,-0.286768,-0.02,0.02,0.07,0.176768,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2020-01-24T21:15:00Z-000008,2020-01-24T21:15:00Z,2020-01-25T01:15:00Z,EURUSD,train,ENTER,cautious,cautious,SELL,1.10293,1.10393,1.10093,0.279939,ENTER_SELL,0.486254,ALLOW,0.354895,False,False,APPROVE,LOW,FAVORABLE,score_cautious,Score accepted in cautious band.,0.592604,0.592604,0.93,0.03,0.07,0.237396,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2020-01-28T12:00:00Z-000009,2020-01-28T12:00:00Z,2020-01-28T16:00:00Z,EURUSD,train,ENTER,premium,premium,SELL,1.10167,1.10267,1.09967,0.467561,ENTER_SELL,0.450394,ALLOW,0.014876,False,False,APPROVE,LOW,FAVORABLE,score_premium,Score accepted in premium band.,0.906646,0.906646,1.12,0.03,0.07,0.113354,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
