month,entry_datetime,symbol,direction,entry_price,exit_price,result,gross_pips,net_pips,duration,duration_minutes,aggression_mode,score,reason_codes,decision_id,split,realized_R,gross_r
2020-12,2020-12-08 09:05:00+0000,EURUSD,SELL,1.21124,,LOSS,-10.0,-12.511209999999998,1h 40m,100.0,cautious,0.289892,[score_cautious],EURUSD-2020-12-08T09:05:00Z-001279,train,-1.251121,-1.0
2020-12,2020-12-08 14:00:00+0000,EURUSD,SELL,1.21076,,LOSS,-10.0,-12.516910000000001,10m,10.0,cautious,0.236829,[score_cautious],EURUSD-2020-12-08T14:00:00Z-001280,train,-1.251691,-1.0
2020-12,2020-12-08 14:55:00+0000,EURUSD,SELL,1.21125,,LOSS,-10.0,-12.52146,25m,25.0,cautious,0.205999,[score_cautious],EURUSD-2020-12-08T14:55:00Z-001281,train,-1.252146,-1.0
2020-12,2020-12-09 14:20:00+0000,EURUSD,SELL,1.211,,LOSS,-10.0,-13.010440000000001,1h 40m,100.0,cautious,0.241696,[score_cautious],EURUSD-2020-12-09T14:20:00Z-001282,train,-1.301044,-1.0
2020-12,2020-12-09 17:00:00+0000,EURUSD,SELL,1.20991,,WIN,20.0,16.31925,1h 00m,60.0,premium,0.432484,[score_premium],EURUSD-2020-12-09T17:00:00Z-001283,train,1.631925,2.0
2020-12,2020-12-09 18:00:00+0000,EURUSD,SELL,1.20832,,WIN,20.0,17.78824,1h 25m,85.0,premium,0.45239,[score_premium],EURUSD-2020-12-09T18:00:00Z-001284,train,1.778824,2.0
2020-12,2020-12-10 07:00:00+0000,EURUSD,BUY,1.20991,,LOSS,-10.0,-11.89734,1h 45m,105.0,cautious,0.277807,[score_cautious],EURUSD-2020-12-10T07:00:00Z-001285,train,-1.189734,-1.0
2020-12,2020-12-10 08:45:00+0000,EURUSD,BUY,1.2087,,WIN,20.0,17.764,2h 55m,175.0,normal,0.380828,[score_normal],EURUSD-2020-12-10T08:45:00Z-001286,train,1.7764,2.0
2020-12,2020-12-10 18:15:00+0000,EURUSD,BUY,1.21144,,WIN,20.0,16.20847,3h 25m,205.0,cautious,0.241189,[score_cautious],EURUSD-2020-12-10T18:15:00Z-001291,train,1.620847,2.0
2020-12,2020-12-11 21:00:00+0000,EURUSD,BUY,1.21162,,WIN,20.0,18.18815,3h 00m,180.0,cautious,0.212094,[score_cautious],EURUSD-2020-12-11T21:00:00Z-001293,train,1.818815,2.0
