month,entry_datetime,symbol,direction,entry_price,result,net_pips,duration,duration_minutes,score,aggression_mode,reason_codes,decision_id,split,realized_R,gross_r,gross_pips
2020-03,2020-03-03 14:35:00+0000,EURUSD,BUY,1.11105,WIN,16.37405,5m,5.0,0.335333,normal,[score_normal],EURUSD-2020-03-03T14:35:00Z-000093,train,1.637405,2.0,20.0
2020-03,2020-03-04 14:25:00+0000,EURUSD,SELL,1.11358,WIN,16.89098,35m,35.0,0.261521,cautious,[score_cautious],EURUSD-2020-03-04T14:25:00Z-000096,train,1.689098,2.0,20.0
2020-03,2020-03-04 18:30:00+0000,EURUSD,BUY,1.11288,WIN,2.74015,4h 00m,240.0,0.240272,cautious,[score_cautious],EURUSD-2020-03-04T18:30:00Z-000098,train,0.274015,0.53,5.300000000000001
2020-03,2020-03-05 10:00:00+0000,EURUSD,BUY,1.1123,WIN,16.97872,1h 20m,80.0,0.589949,premium,[score_premium],EURUSD-2020-03-05T10:00:00Z-000099,train,1.697872,2.0,20.0
2020-03,2020-03-10 07:10:00+0000,EURUSD,SELL,1.13574,WIN,16.54424,25m,25.0,0.539914,premium,[score_premium],EURUSD-2020-03-10T07:10:00Z-000101,train,1.654424,2.0,20.0
2020-03,2020-03-10 07:35:00+0000,EURUSD,SELL,1.13464,LOSS,-13.39234,10m,10.0,0.277947,cautious,[score_cautious],EURUSD-2020-03-10T07:35:00Z-000102,train,-1.339234,-1.0,-10.0
2020-03,2020-03-10 07:45:00+0000,EURUSD,SELL,1.13594,WIN,15.3796,15m,15.0,0.59079,premium,[score_premium],EURUSD-2020-03-10T07:45:00Z-000103,train,1.53796,2.0,20.0
2020-03,2020-03-10 08:00:00+0000,EURUSD,SELL,1.1341,LOSS,-14.3713,5m,5.0,0.234414,cautious,[score_cautious],EURUSD-2020-03-10T08:00:00Z-000104,train,-1.43713,-1.0,-10.0
2020-03,2020-03-10 08:05:00+0000,EURUSD,SELL,1.13539,LOSS,-13.82912,5m,5.0,0.238912,cautious,[score_cautious],EURUSD-2020-03-10T08:05:00Z-000105,train,-1.382912,-1.0,-10.0
2020-03,2020-03-10 08:10:00+0000,EURUSD,SELL,1.13686,WIN,17.28679,25m,25.0,0.446276,premium,[score_premium],EURUSD-2020-03-10T08:10:00Z-000106,train,1.728679,2.0,20.0
2020-03,2020-03-10 08:35:00+0000,EURUSD,SELL,1.13508,LOSS,-14.31305,50m,50.0,0.329744,normal,[score_normal],EURUSD-2020-03-10T08:35:00Z-000107,train,-1.431305,-1.0,-10.0
2020-03,2020-03-10 09:25:00+0000,EURUSD,BUY,1.13576,LOSS,-13.04768,15m,15.0,0.244056,cautious,[score_cautious],EURUSD-2020-03-10T09:25:00Z-000108,train,-1.304768,-1.0,-10.0
2020-03,2020-03-10 09:40:00+0000,EURUSD,BUY,1.13514,WIN,16.81677,10m,10.0,0.499607,premium,[score_premium],EURUSD-2020-03-10T09:40:00Z-000109,train,1.681677,2.0,20.0
2020-03,2020-03-10 09:50:00+0000,EURUSD,SELL,1.13686,LOSS,-12.969360000000002,5m,5.0,0.257833,cautious,[score_cautious],EURUSD-2020-03-10T09:50:00Z-000110,train,-1.296936,-1.0,-10.0
2020-03,2020-03-10 09:55:00+0000,EURUSD,SELL,1.13764,LOSS,-13.16899,10m,10.0,0.245551,cautious,[score_cautious],EURUSD-2020-03-10T09:55:00Z-000111,train,-1.316899,-1.0,-10.0
2020-03,2020-03-10 10:05:00+0000,EURUSD,SELL,1.13885,LOSS,-13.55797,10m,10.0,0.248537,cautious,[score_cautious],EURUSD-2020-03-10T10:05:00Z-000112,train,-1.355797,-1.0,-10.0
2020-03,2020-03-10 10:20:00+0000,EURUSD,SELL,1.13849,WIN,16.8786,35m,35.0,0.468851,premium,[score_premium],EURUSD-2020-03-10T10:20:00Z-000113,train,1.68786,2.0,20.0
2020-03,2020-03-10 10:55:00+0000,EURUSD,SELL,1.13662,WIN,15.53808,50m,50.0,0.630364,premium,[score_premium],EURUSD-2020-03-10T10:55:00Z-000114,train,1.553808,2.0,20.0
2020-03,2020-03-10 11:45:00+0000,EURUSD,SELL,1.1346,LOSS,-13.455580000000001,15m,15.0,0.22247,cautious,[score_cautious],EURUSD-2020-03-10T11:45:00Z-000115,train,-1.345558,-1.0,-10.0
2020-03,2020-03-10 12:40:00+0000,EURUSD,BUY,1.13407,WIN,15.69357,45m,45.0,0.223076,cautious,[score_cautious],EURUSD-2020-03-10T12:40:00Z-000117,train,1.569357,2.0,20.0
2020-03,2020-03-10 14:00:00+0000,EURUSD,BUY,1.13594,WIN,16.62892,10m,10.0,0.240252,cautious,[score_cautious],EURUSD-2020-03-10T14:00:00Z-000118,train,1.662892,2.0,20.0
2020-03,2020-03-10 14:35:00+0000,EURUSD,SELL,1.13883,WIN,15.53935,1h 00m,60.0,0.324555,normal,[score_normal],EURUSD-2020-03-10T14:35:00Z-000120,train,1.553935,2.0,20.0
2020-03,2020-03-10 17:30:00+0000,EURUSD,SELL,1.13836,WIN,16.51715,25m,25.0,0.285167,cautious,[score_cautious],EURUSD-2020-03-10T17:30:00Z-000122,train,1.651715,2.0,20.0
2020-03,2020-03-10 18:20:00+0000,EURUSD,SELL,1.13352,WIN,16.031599999999997,25m,25.0,0.204283,cautious,[score_cautious],EURUSD-2020-03-10T18:20:00Z-000126,train,1.60316,2.0,20.0
2020-03,2020-03-10 18:45:00+0000,EURUSD,SELL,1.13204,WIN,16.77774,10m,10.0,0.283024,cautious,[score_cautious],EURUSD-2020-03-10T18:45:00Z-000127,train,1.677774,2.0,20.0
2020-03,2020-03-10 19:05:00+0000,EURUSD,BUY,1.13095,WIN,17.20868,1h 05m,65.0,0.309965,normal,[score_normal],EURUSD-2020-03-10T19:05:00Z-000129,train,1.720868,2.0,20.0
2020-03,2020-03-10 21:00:00+0000,EURUSD,SELL,1.1295,WIN,17.32383,25m,25.0,0.429726,premium,[score_premium],EURUSD-2020-03-10T21:00:00Z-000130,train,1.732383,2.0,20.0
2020-03,2020-03-10 21:30:00+0000,EURUSD,SELL,1.12968,LOSS,-13.52918,45m,45.0,0.242444,cautious,[score_cautious],EURUSD-2020-03-10T21:30:00Z-000131,train,-1.352918,-1.0,-10.0
2020-03,2020-03-11 08:20:00+0000,EURUSD,SELL,1.13566,WIN,15.54855,1h 00m,60.0,0.677736,premium,[score_premium],EURUSD-2020-03-11T08:20:00Z-000136,train,1.554855,2.0,20.0
2020-03,2020-03-11 09:20:00+0000,EURUSD,SELL,1.13461,WIN,17.30598,45m,45.0,0.645862,premium,[score_premium],EURUSD-2020-03-11T09:20:00Z-000137,train,1.730598,2.0,20.0
2020-03,2020-03-11 10:05:00+0000,EURUSD,SELL,1.13285,WIN,15.536430000000001,1h 40m,100.0,0.60443,premium,[score_premium],EURUSD-2020-03-11T10:05:00Z-000138,train,1.553643,2.0,20.0
2020-03,2020-03-11 11:45:00+0000,EURUSD,SELL,1.13068,LOSS,-13.10229,30m,30.0,0.228583,cautious,[score_cautious],EURUSD-2020-03-11T11:45:00Z-000139,train,-1.310229,-1.0,-10.0
2020-03,2020-03-11 12:15:00+0000,EURUSD,BUY,1.13175,WIN,16.929570000000002,1h 15m,75.0,0.474248,premium,[score_premium],EURUSD-2020-03-11T12:15:00Z-000140,train,1.692957,2.0,20.0
2020-03,2020-03-11 14:00:00+0000,EURUSD,BUY,1.13288,WIN,16.30152,30m,30.0,0.548073,premium,[score_premium],EURUSD-2020-03-11T14:00:00Z-000141,train,1.630152,2.0,20.0
2020-03,2020-03-11 14:30:00+0000,EURUSD,SELL,1.13476,WIN,17.9618,1h 40m,100.0,0.570517,premium,[score_premium],EURUSD-2020-03-11T14:30:00Z-000142,train,1.79618,2.0,20.0
2020-03,2020-03-11 17:00:00+0000,EURUSD,SELL,1.13071,WIN,16.44013,15m,15.0,0.527432,premium,[score_premium],EURUSD-2020-03-11T17:00:00Z-000143,train,1.644013,2.0,20.0
2020-03,2020-03-11 17:15:00+0000,EURUSD,SELL,1.12831,WIN,18.16658,25m,25.0,0.51123,premium,[score_premium],EURUSD-2020-03-11T17:15:00Z-000144,train,1.816658,2.0,20.0
2020-03,2020-03-11 17:40:00+0000,EURUSD,SELL,1.12641,LOSS,-13.209280000000001,20m,20.0,0.327304,normal,[score_normal],EURUSD-2020-03-11T17:40:00Z-000145,train,-1.320928,-1.0,-10.0
2020-03,2020-03-11 18:00:00+0000,EURUSD,SELL,1.128,WIN,4.92302,4h 00m,240.0,0.47099,premium,[score_premium],EURUSD-2020-03-11T18:00:00Z-000146,train,0.492302,0.74,7.4
