month,entry_time,exit_time,symbol,direction,entry_price,result,realized_R,net_pips,gross_pips,duration_minutes,duration,aggression_mode,score,reason_code,gaspar_p_deteriorating,melchor_signal,decision_id,split
2020-03,2020-03-03T14:35:00Z,2020-03-03T14:40:00Z,EURUSD,BUY,1.11105,WIN,1.637405,16.37405,20.0,5.0,5m,normal,0.335333,score_normal,0.076952,APPROVE,EURUSD-2020-03-03T14:35:00Z-000093,train
2020-03,2020-03-04T14:25:00Z,2020-03-04T15:00:00Z,EURUSD,SELL,1.11358,WIN,1.689098,16.89098,20.0,35.0,35m,cautious,0.261521,score_cautious,0.071205,APPROVE,EURUSD-2020-03-04T14:25:00Z-000096,train
2020-03,2020-03-04T18:30:00Z,2020-03-04T22:30:00Z,EURUSD,BUY,1.11288,WIN,0.274015,2.74015,5.3,240.0,4h 00m,cautious,0.240272,score_cautious,0.33573,APPROVE,EURUSD-2020-03-04T18:30:00Z-000098,train
2020-03,2020-03-05T10:00:00Z,2020-03-05T11:20:00Z,EURUSD,BUY,1.1123,WIN,1.697872,16.97872,20.0,80.0,1h 20m,premium,0.589949,score_premium,0.038199,APPROVE,EURUSD-2020-03-05T10:00:00Z-000099,train
2020-03,2020-03-10T07:10:00Z,2020-03-10T07:35:00Z,EURUSD,SELL,1.13574,WIN,1.654424,16.54424,20.0,25.0,25m,premium,0.539914,score_premium,0.057442,APPROVE,EURUSD-2020-03-10T07:10:00Z-000101,train
2020-03,2020-03-10T07:35:00Z,2020-03-10T07:45:00Z,EURUSD,SELL,1.13464,LOSS,-1.339234,-13.39234,-10.0,10.0,10m,cautious,0.277947,score_cautious,0.156115,APPROVE,EURUSD-2020-03-10T07:35:00Z-000102,train
2020-03,2020-03-10T07:45:00Z,2020-03-10T08:00:00Z,EURUSD,SELL,1.13594,WIN,1.53796,15.3796,20.0,15.0,15m,premium,0.59079,score_premium,0.106357,APPROVE,EURUSD-2020-03-10T07:45:00Z-000103,train
2020-03,2020-03-10T08:00:00Z,2020-03-10T08:05:00Z,EURUSD,SELL,1.1341,LOSS,-1.43713,-14.3713,-10.0,5.0,5m,cautious,0.234414,score_cautious,0.209194,APPROVE,EURUSD-2020-03-10T08:00:00Z-000104,train
2020-03,2020-03-10T08:05:00Z,2020-03-10T08:10:00Z,EURUSD,SELL,1.13539,LOSS,-1.382912,-13.82912,-10.0,5.0,5m,cautious,0.238912,score_cautious,0.185659,APPROVE,EURUSD-2020-03-10T08:05:00Z-000105,train
2020-03,2020-03-10T08:10:00Z,2020-03-10T08:35:00Z,EURUSD,SELL,1.13686,WIN,1.728679,17.28679,20.0,25.0,25m,premium,0.446276,score_premium,0.208659,APPROVE,EURUSD-2020-03-10T08:10:00Z-000106,train
2020-03,2020-03-10T08:35:00Z,2020-03-10T09:25:00Z,EURUSD,SELL,1.13508,LOSS,-1.431305,-14.31305,-10.0,50.0,50m,normal,0.329744,score_normal,0.07837,APPROVE,EURUSD-2020-03-10T08:35:00Z-000107,train
2020-03,2020-03-10T09:25:00Z,2020-03-10T09:40:00Z,EURUSD,BUY,1.13576,LOSS,-1.304768,-13.04768,-10.0,15.0,15m,cautious,0.244056,score_cautious,0.114793,APPROVE,EURUSD-2020-03-10T09:25:00Z-000108,train
2020-03,2020-03-10T09:40:00Z,2020-03-10T09:50:00Z,EURUSD,BUY,1.13514,WIN,1.681677,16.81677,20.0,10.0,10m,premium,0.499607,score_premium,0.049319,APPROVE,EURUSD-2020-03-10T09:40:00Z-000109,train
2020-03,2020-03-10T09:50:00Z,2020-03-10T09:55:00Z,EURUSD,SELL,1.13686,LOSS,-1.296936,-12.96936,-10.0,5.0,5m,cautious,0.257833,score_cautious,0.078691,APPROVE,EURUSD-2020-03-10T09:50:00Z-000110,train
2020-03,2020-03-10T09:55:00Z,2020-03-10T10:05:00Z,EURUSD,SELL,1.13764,LOSS,-1.316899,-13.16899,-10.0,10.0,10m,cautious,0.245551,score_cautious,0.104139,APPROVE,EURUSD-2020-03-10T09:55:00Z-000111,train
2020-03,2020-03-10T10:05:00Z,2020-03-10T10:15:00Z,EURUSD,SELL,1.13885,LOSS,-1.355797,-13.55797,-10.0,10.0,10m,cautious,0.248537,score_cautious,0.138977,APPROVE,EURUSD-2020-03-10T10:05:00Z-000112,train
2020-03,2020-03-10T10:20:00Z,2020-03-10T10:55:00Z,EURUSD,SELL,1.13849,WIN,1.68786,16.8786,20.0,35.0,35m,premium,0.468851,score_premium,0.161653,APPROVE,EURUSD-2020-03-10T10:20:00Z-000113,train
2020-03,2020-03-10T10:55:00Z,2020-03-10T11:45:00Z,EURUSD,SELL,1.13662,WIN,1.553808,15.53808,20.0,50.0,50m,premium,0.630364,score_premium,0.061848,APPROVE,EURUSD-2020-03-10T10:55:00Z-000114,train
2020-03,2020-03-10T11:45:00Z,2020-03-10T12:00:00Z,EURUSD,SELL,1.1346,LOSS,-1.345558,-13.45558,-10.0,15.0,15m,cautious,0.22247,score_cautious,0.150565,APPROVE,EURUSD-2020-03-10T11:45:00Z-000115,train
2020-03,2020-03-10T12:40:00Z,2020-03-10T13:25:00Z,EURUSD,BUY,1.13407,WIN,1.569357,15.69357,20.0,45.0,45m,cautious,0.223076,score_cautious,0.212531,APPROVE,EURUSD-2020-03-10T12:40:00Z-000117,train
2020-03,2020-03-10T14:00:00Z,2020-03-10T14:10:00Z,EURUSD,BUY,1.13594,WIN,1.662892,16.62892,20.0,10.0,10m,cautious,0.240252,score_cautious,0.232419,APPROVE,EURUSD-2020-03-10T14:00:00Z-000118,train
2020-03,2020-03-10T14:35:00Z,2020-03-10T15:35:00Z,EURUSD,SELL,1.13883,WIN,1.553935,15.53935,20.0,60.0,1h 00m,normal,0.324555,score_normal,0.139808,APPROVE,EURUSD-2020-03-10T14:35:00Z-000120,train
2020-03,2020-03-10T17:30:00Z,2020-03-10T17:55:00Z,EURUSD,SELL,1.13836,WIN,1.651715,16.51715,20.0,25.0,25m,cautious,0.285167,score_cautious,0.231199,APPROVE,EURUSD-2020-03-10T17:30:00Z-000122,train
2020-03,2020-03-10T18:20:00Z,2020-03-10T18:45:00Z,EURUSD,SELL,1.13352,WIN,1.60316,16.0316,20.0,25.0,25m,cautious,0.204283,score_cautious,0.303577,APPROVE,EURUSD-2020-03-10T18:20:00Z-000126,train
2020-03,2020-03-10T18:45:00Z,2020-03-10T18:55:00Z,EURUSD,SELL,1.13204,WIN,1.677774,16.77774,20.0,10.0,10m,cautious,0.283024,score_cautious,0.207801,APPROVE,EURUSD-2020-03-10T18:45:00Z-000127,train
2020-03,2020-03-10T19:05:00Z,2020-03-10T20:10:00Z,EURUSD,BUY,1.13095,WIN,1.720868,17.20868,20.0,65.0,1h 05m,normal,0.309965,score_normal,0.208981,APPROVE,EURUSD-2020-03-10T19:05:00Z-000129,train
2020-03,2020-03-10T21:00:00Z,2020-03-10T21:25:00Z,EURUSD,SELL,1.1295,WIN,1.732383,17.32383,20.0,25.0,25m,premium,0.429726,score_premium,0.147532,APPROVE,EURUSD-2020-03-10T21:00:00Z-000130,train
2020-03,2020-03-10T21:30:00Z,2020-03-10T22:15:00Z,EURUSD,SELL,1.12968,LOSS,-1.352918,-13.52918,-10.0,45.0,45m,cautious,0.242444,score_cautious,0.130071,APPROVE,EURUSD-2020-03-10T21:30:00Z-000131,train
2020-03,2020-03-11T08:20:00Z,2020-03-11T09:20:00Z,EURUSD,SELL,1.13566,WIN,1.554855,15.54855,20.0,60.0,1h 00m,premium,0.677736,score_premium,0.08719,APPROVE,EURUSD-2020-03-11T08:20:00Z-000136,train
2020-03,2020-03-11T09:20:00Z,2020-03-11T10:05:00Z,EURUSD,SELL,1.13461,WIN,1.730598,17.30598,20.0,45.0,45m,premium,0.645862,score_premium,0.047466,APPROVE,EURUSD-2020-03-11T09:20:00Z-000137,train
2020-03,2020-03-11T10:05:00Z,2020-03-11T11:45:00Z,EURUSD,SELL,1.13285,WIN,1.553643,15.53643,20.0,100.0,1h 40m,premium,0.60443,score_premium,0.062149,APPROVE,EURUSD-2020-03-11T10:05:00Z-000138,train
2020-03,2020-03-11T11:45:00Z,2020-03-11T12:15:00Z,EURUSD,SELL,1.13068,LOSS,-1.310229,-13.10229,-10.0,30.0,30m,cautious,0.228583,score_cautious,0.032558,APPROVE,EURUSD-2020-03-11T11:45:00Z-000139,train
2020-03,2020-03-11T12:15:00Z,2020-03-11T13:30:00Z,EURUSD,BUY,1.13175,WIN,1.692957,16.92957,20.0,75.0,1h 15m,premium,0.474248,score_premium,0.025472,APPROVE,EURUSD-2020-03-11T12:15:00Z-000140,train
2020-03,2020-03-11T14:00:00Z,2020-03-11T14:30:00Z,EURUSD,BUY,1.13288,WIN,1.630152,16.30152,20.0,30.0,30m,premium,0.548073,score_premium,0.044554,APPROVE,EURUSD-2020-03-11T14:00:00Z-000141,train
