feature,importance
numeric__forward_return,0.999999999999981
numeric__anchor_close,1.8929302569857243e-14
numeric__anchor_open,0.0
numeric__anchor_low,0.0
numeric__anchor_high,0.0
numeric__ema_50,0.0
numeric__ema_200,0.0
numeric__rsi_14,0.0
numeric__current_price,0.0
numeric__recent_range,0.0
numeric__open_positions_count,0.0
numeric__entry_price,0.0
numeric__ema_20,0.0
numeric__sl,0.0
numeric__tp,0.0
numeric__floating_pnl,0.0
numeric__future_price,0.0
categorical__market_structure_breakout,0.0
categorical__market_structure_range,0.0
categorical__market_structure_trend,0.0
categorical__structure_direction_bearish,0.0
categorical__structure_direction_bullish,0.0
categorical__structure_direction_neutral,0.0
categorical__momentum_bearish,0.0
categorical__momentum_bullish,0.0
categorical__momentum_weak,0.0
categorical__has_open_position_False,0.0
categorical__position_type_nan,0.0
categorical__validation_is_valid_True,0.0
