feature,importance
numeric__forward_return,0.7895259101116812
numeric__recent_range,0.044043274361902786
numeric__future_price,0.04304656363478059
numeric__ema_50,0.01593234295553587
numeric__anchor_close,0.014185706815452209
numeric__current_price,0.014116234627620787
numeric__anchor_high,0.013395068738195804
numeric__ema_200,0.01338551773261671
numeric__anchor_low,0.013053643057244189
numeric__ema_20,0.011903208684779936
numeric__anchor_open,0.01079107741538414
numeric__rsi_14,0.010738051522505192
categorical__structure_direction_bullish,0.0012872045890728304
categorical__market_structure_trend,0.0008695065170562243
categorical__structure_direction_bearish,0.000825565188808598
categorical__market_structure_breakout,0.0007965255405282158
categorical__momentum_weak,0.0005661642232234693
categorical__momentum_bullish,0.0004904422500530794
categorical__momentum_bearish,0.0004568695406617535
categorical__market_structure_range,0.000306676327589621
categorical__structure_direction_neutral,0.0002844461653069255
numeric__sl,0.0
numeric__entry_price,0.0
numeric__open_positions_count,0.0
numeric__tp,0.0
numeric__floating_pnl,0.0
categorical__has_open_position_False,0.0
categorical__position_type_nan,0.0
categorical__validation_is_valid_True,0.0
