feature_stat,BUY,NEUTRAL,SELL
anchor_open__mean,1.171178732142857,1.1732955771043772,1.1726234764309764
anchor_open__median,1.172455,1.174715,1.17349
anchor_open__std,0.01412870699713811,0.01130519642316557,0.01378990973421341
anchor_high__mean,1.1714245714285714,1.1734616969696972,1.1728781776094277
anchor_high__median,1.172715,1.1748,1.17369
anchor_high__std,0.014123158356403558,0.011299496683352886,0.013803208450960204
anchor_low__mean,1.170907892857143,1.1731221548821549,1.1723705808080807
anchor_low__median,1.17229,1.17461,1.173235
anchor_low__std,0.014134747893556935,0.011303419373395499,0.01379170346180313
anchor_close__mean,1.1711591339285714,1.173295367003367,1.1726349537037035
anchor_close__median,1.1724350000000001,1.17471,1.17348
anchor_close__std,0.014129215670768984,0.011300876190971556,0.013807940061999226
ema_20__mean,1.1714539598214284,1.17335518989899,1.1728780218855217
ema_20__median,1.17348,1.17437,1.17372
ema_20__std,0.01380412107098446,0.011116853808346898,0.013332855795528942
ema_50__mean,1.1716307991071429,1.1735075070707073,1.1730954335016834
ema_50__median,1.17331,1.174275,1.17436
ema_50__std,0.01303657811146908,0.01072471535205354,0.012714388599303607
ema_200__mean,1.1722998303571428,1.174003150841751,1.1735872180134679
ema_200__median,1.17244,1.1735,1.1743
ema_200__std,0.009623015838373912,0.008612907559169877,0.009308219234092335
rsi_14__mean,49.02090178571429,49.07045723905724,48.6364898989899
rsi_14__median,48.19,47.86,47.11
rsi_14__std,14.080709663449062,11.694037386247695,12.66635082954683
current_price__mean,1.1711590535714285,1.173295882828283,1.172632622053872
current_price__median,1.17243,1.174715,1.173485
current_price__std,0.014131926413927933,0.011300951742007247,0.01381125029996382
recent_range__mean,0.004415116071428572,0.0032740619528619525,0.004138880471380471
recent_range__median,0.00393,0.00276,0.00372
recent_range__std,0.0021692425421582047,0.001888561654033516,0.0021104052613610887
open_positions_count__mean,0.0,0.0,0.0
open_positions_count__median,0.0,0.0,0.0
open_positions_count__std,0.0,0.0,0.0
position_type__mean,,,
position_type__median,,,
position_type__std,,,
entry_price__mean,,,
entry_price__median,,,
entry_price__std,,,
sl__mean,,,
sl__median,,,
sl__std,,,
tp__mean,,,
tp__median,,,
tp__std,,,
floating_pnl__mean,,,
floating_pnl__median,,,
floating_pnl__std,,,
