feature,f_score,p_value
recent_range,473.1293565566175,2.2977451626684913e-201
ema_200,36.779794968145865,1.1398489278652179e-16
anchor_low,34.75648030809378,8.557438801644431e-16
current_price,31.99193364601629,1.3454503878591191e-14
anchor_close,31.964061268944832,1.3833525063028046e-14
anchor_open,31.48287893700877,2.2347486037857876e-14
anchor_high,28.850830406665846,3.0816287514346284e-13
ema_50,27.20950641450428,1.5832554820951107e-12
ema_20,25.90291183118954,5.827114236822108e-12
rsi_14,1.31530759119429,0.26841561141313625
open_positions_count,0.0,1.0
