fold,model_name,train_rows,test_rows,test_start,test_end,accuracy,precision_macro,recall_macro,f1_macro,error
1,baseline_tree,12166,3041,2026-02-13 08:40:00+00:00,2026-03-02 03:25:00+00:00,0.314370272936534,0.3558287561474141,0.34738269365175384,0.22437920088929172,
1,random_forest,12166,3041,2026-02-13 08:40:00+00:00,2026-03-02 03:25:00+00:00,0.4656363038474186,0.3543229288541072,0.36985132754759587,0.30522376550989166,
1,hist_gradient_boosting,12166,3041,2026-02-13 08:40:00+00:00,2026-03-02 03:25:00+00:00,,,,,[WinError 5] Acceso denegado
2,baseline_tree,15207,3041,2026-03-02 03:30:00+00:00,2026-03-16 17:45:00+00:00,0.27655376520881286,0.32946923376980086,0.34144890689033575,0.1955653442488877,
2,random_forest,15207,3041,2026-03-02 03:30:00+00:00,2026-03-16 17:45:00+00:00,0.3373890167707991,0.2680613940409578,0.3421546291517123,0.24990286384875982,
2,hist_gradient_boosting,15207,3041,2026-03-02 03:30:00+00:00,2026-03-16 17:45:00+00:00,,,,,[WinError 5] Acceso denegado
3,baseline_tree,18248,3041,2026-03-16 17:50:00+00:00,2026-03-31 09:10:00+00:00,0.2660309108845774,0.40394548129935925,0.37569682674778787,0.2673872769953825,
3,random_forest,18248,3041,2026-03-16 17:50:00+00:00,2026-03-31 09:10:00+00:00,0.21210128247287077,0.3209624768504068,0.4180585598540488,0.21683220051963678,
3,hist_gradient_boosting,18248,3041,2026-03-16 17:50:00+00:00,2026-03-31 09:10:00+00:00,,,,,[WinError 5] Acceso denegado
4,baseline_tree,21289,3041,2026-03-31 09:15:00+00:00,2026-04-14 22:35:00+00:00,0.2249260111805327,0.3686140195646607,0.38808783379323436,0.21248154785027826,
4,random_forest,21289,3041,2026-03-31 09:15:00+00:00,2026-04-14 22:35:00+00:00,0.21374547846103256,0.3522103510398111,0.3675728419935857,0.20774061874231275,
4,hist_gradient_boosting,21289,3041,2026-03-31 09:15:00+00:00,2026-04-14 22:35:00+00:00,,,,,[WinError 5] Acceso denegado
