feature,importance
numeric__candle_range_ratio,0.3909794921598164
numeric__normalized_recent_range,0.1367767268747019
numeric__ema_gap_50_200,0.12883217570000083
numeric__ema_gap_20_50,0.07551564763482924
numeric__price_vs_ema20,0.07082043662120723
numeric__rsi_14,0.06247898042438451
numeric__ema_gap_20_200,0.06199541576753486
categorical__structure_direction_bullish,0.04409494721541045
numeric__price_vs_ema200,0.028506177602114418
numeric__candle_body_ratio,0.0
numeric__lower_wick_ratio,0.0
numeric__upper_wick_ratio,0.0
categorical__market_structure_breakout,0.0
numeric__price_vs_ema50,0.0
categorical__market_structure_range,0.0
categorical__market_structure_trend,0.0
categorical__structure_direction_bearish,0.0
categorical__structure_direction_neutral,0.0
categorical__momentum_bearish,0.0
categorical__momentum_bullish,0.0
categorical__momentum_weak,0.0
categorical__has_open_position_False,0.0
