feature,importance
numeric__candle_range_ratio,0.16653442417811692
numeric__normalized_recent_range,0.13372695745436375
numeric__ema_gap_20_200,0.11390254464025407
numeric__ema_gap_50_200,0.11195324600861882
numeric__ema_gap_20_50,0.08129812183856046
numeric__price_vs_ema200,0.08000647485774265
numeric__price_vs_ema20,0.07736253556952309
numeric__rsi_14,0.07295382881390314
numeric__price_vs_ema50,0.05895612349424364
numeric__upper_wick_ratio,0.030852828977184457
numeric__lower_wick_ratio,0.018016618197159717
numeric__candle_body_ratio,0.011072917742739675
categorical__structure_direction_bullish,0.010667183530597027
categorical__structure_direction_bearish,0.006278891708202371
categorical__market_structure_trend,0.004914525589270225
categorical__momentum_weak,0.004724809100854122
categorical__momentum_bearish,0.00446081288340831
categorical__structure_direction_neutral,0.0041254901601838
categorical__market_structure_range,0.0034071016728169966
categorical__market_structure_breakout,0.002753141730700207
categorical__momentum_bullish,0.0020314218515565825
categorical__has_open_position_False,0.0
