feature,importance
numeric__recent_range,0.17631708651295205
numeric__ema_200,0.13029806052788753
numeric__ema_50,0.12717487704686956
numeric__ema_20,0.09839003440119642
numeric__rsi_14,0.09617291143853915
numeric__anchor_low,0.07036420953151117
numeric__current_price,0.06717390923961296
numeric__anchor_high,0.06553436762445977
numeric__anchor_close,0.06131545433394972
numeric__anchor_open,0.05605757131450761
categorical__structure_direction_bearish,0.009983690637564454
categorical__structure_direction_bullish,0.008426355946507195
categorical__market_structure_trend,0.007945206280240784
categorical__market_structure_breakout,0.005220051573694802
categorical__momentum_weak,0.0046926908189313605
categorical__momentum_bearish,0.004646872284200794
categorical__momentum_bullish,0.003863975528904306
categorical__structure_direction_neutral,0.00328159646233769
categorical__market_structure_range,0.0031410784961327844
numeric__open_positions_count,0.0
numeric__sl,0.0
numeric__tp,0.0
numeric__floating_pnl,0.0
numeric__entry_price,0.0
categorical__has_open_position_False,0.0
categorical__position_type_nan,0.0
categorical__validation_is_valid_True,0.0
