feature,importance
numeric__recent_range,0.22932422190882654
numeric__ema_50,0.11707900670572
numeric__ema_200,0.11322131069318055
numeric__rsi_14,0.09618235887968478
numeric__ema_20,0.08465177040219868
numeric__anchor_low,0.07102950660283226
numeric__anchor_high,0.06226406234909016
numeric__anchor_open,0.06110312295890937
numeric__current_price,0.05997557032290555
numeric__anchor_close,0.05707393050263349
categorical__structure_direction_bearish,0.00812688210611925
categorical__structure_direction_bullish,0.00789573160251652
categorical__momentum_weak,0.007127874418847115
categorical__market_structure_breakout,0.0063155190947206084
categorical__market_structure_trend,0.006190283142349981
categorical__momentum_bearish,0.0052050291347854605
categorical__momentum_bullish,0.002619618120024127
categorical__structure_direction_neutral,0.002351540130740693
categorical__market_structure_range,0.0022626609239149603
numeric__open_positions_count,0.0
numeric__sl,0.0
numeric__tp,0.0
numeric__floating_pnl,0.0
numeric__entry_price,0.0
categorical__has_open_position_False,0.0
categorical__position_type_nan,0.0
categorical__validation_is_valid_True,0.0
