direction,session,daily_range_bucket,h4_market_structure,d1_market_structure,trades,avg_r,total_r,profit_factor,max_drawdown_r,win_rate,gaspar_blocked,gaspar_block_rate
SELL,new_york,mid,breakout,breakout,12,-1.0,-12.0,0.0,12.0,0.0,0,0.0
SELL,overlap,mid_high,breakout,trend,6,-1.0,-6.0,0.0,6.0,0.0,0,0.0
SELL,london,mid,breakout,breakout,3,-1.0,-3.0,0.0,3.0,0.0,0,0.0
SELL,london,mid,trend,breakout,2,-1.0,-2.0,0.0,2.0,0.0,0,0.0
BUY,london,mid,breakout,trend,1,-1.0,-1.0,0.0,1.0,0.0,0,0.0
SELL,london,mid_high,breakout,trend,48,-0.984583,-47.26,0.0,47.26,0.0,0,0.0
SELL,overlap,mid_high,breakout,breakout,24,-0.875,-21.0,0.086957,22.0,0.041667,0,0.0
SELL,new_york,mid,range,breakout,8,-0.805,-6.44,0.009231,6.5,0.125,0,0.0
SELL,asia,mid,breakout,breakout,12,-0.756667,-9.08,0.0,9.08,0.0,0,0.0
SELL,london,mid_high,range,breakout,31,-0.516129,-16.0,0.384615,26.0,0.16129,0,0.0
SELL,london,mid,range,breakout,92,-0.515435,-47.42,0.262749,50.42,0.141304,0,0.0
SELL,overlap,mid,breakout,trend,24,-0.3625,-8.7,0.346356,12.71,0.208333,0,0.0
SELL,new_york,mid_high,trend,breakout,21,-0.142857,-3.0,0.8,10.0,0.285714,0,0.0
SELL,new_york,mid_high,range,breakout,3,-0.006667,-0.02,0.8,0.1,0.333333,0,0.0
BUY,asia,mid_high,breakout,trend,1,0.09,0.09,inf,0.0,1.0,0,0.0
SELL,asia,mid_high,range,trend,12,0.165833,1.99,4.372881,0.47,0.5,0,0.0
SELL,london,mid_high,range,trend,12,0.253333,3.04,4.41573,0.63,0.75,0,0.0
SELL,new_york,mid,trend,trend,22,0.487273,10.72,2.34,6.0,0.636364,0,0.0
SELL,london,mid,breakout,trend,47,0.67,31.49,3.367669,10.0,0.638298,0,0.0
SELL,overlap,mid,breakout,breakout,48,1.165417,55.94,5.634631,12.07,0.729167,0,0.0
SELL,london,mid,range,trend,12,1.449167,17.39,inf,0.0,1.0,0,0.0
SELL,asia,mid,range,trend,18,2.0,36.0,inf,0.0,1.0,0,0.0
