feature,2026Q2_mean,2026Q2_median,2025Q4_mean,2025Q4_median,2026Q1_mean,2026Q1_median
realized_R,-0.057211,-1.0,0.219564,-0.25,0.090428,-1.0
gaspar_p_deteriorating,0.098761,0.068086,0.186834,0.132788,0.183898,0.132852
atr,0.935748,1.0,0.82226,0.834958,0.873059,1.0
daily_range_position,0.599601,0.54152,0.401965,0.386335,0.394039,0.398859
volatility_12,0.000231,0.000195,0.000211,0.000193,0.000273,0.000232
ema_20_50_distance,11.310458,8.6,-1.414143,-2.6,-1.438639,-5.2
ema_50_200_distance,13.454248,3.3,-6.793278,-1.5,-2.308064,-13.5
close_to_ema20,0.915686,1.4,-1.744692,-2.0,-2.95419,-3.2
close_to_ema50,12.226144,4.1,-3.158835,-3.8,-4.392829,-7.8
close_to_ema200,25.680392,8.3,-9.952113,-1.1,-6.700893,-16.4
rsi_14,51.485664,51.19,48.640166,48.34,48.084513,46.8
momentum,,,,,,
rolling_avg_R_50,-0.043486,-0.1812,0.22982,0.2176,0.094358,0.118
rolling_pf_50,1.745802,0.74166,3.582953,1.451887,2.983759,1.223034
rolling_sell_avg_R_50,-0.039485,-0.1812,0.263768,0.2176,0.159772,0.2
rolling_sell_pf_50,1.773728,0.74166,3.849544,1.459818,1.736832,1.333333
rolling_drawdown_50,24.05366,20.06,18.836945,16.0,20.571805,18.0
rolling_unfavorable_rate_50,0.620697,0.64,0.50973,0.5,0.588652,0.58
recent_loss_streak,12.437908,5.0,7.403993,1.0,8.245338,2.0
recent_sell_loss_streak,12.431373,5.0,7.382363,1.0,6.718413,2.0
