feature,importance
numeric__hour,0.1035793925
categorical__melchor_signal_BLOCK,0.0766263108
categorical__melchor_risk_flags_LOW,0.0666137713
categorical__mage_agreement_BLOCKED_BY_MELCHOR,0.065893388
categorical__melchor_risk_flags_HIGH,0.0652410598
categorical__melchor_signal_APPROVE,0.058454809
categorical__baltasar_signal_NEUTRAL,0.0520513235
categorical__mage_agreement_ACTIONABLE_CONSENSUS,0.0429068543
categorical__session_asia,0.0366156931
categorical__session_overlap,0.0341820101
categorical__weekday_friday,0.0320254128
categorical__baltasar_gaspar_alignment_BALTASAR_NEUTRAL,0.0320102259
numeric__daily_range_position,0.026642531
numeric__atr,0.0232205051
categorical__session_new_york,0.0198790615
numeric__baltasar_confidence,0.0198736613
numeric__spread_pips,0.0185246592
categorical__session_london,0.0175399461
categorical__baltasar_signal_BUY,0.015891103
categorical__session_inactive,0.0140955008
categorical__baltasar_gaspar_alignment_QUALITY_SUPPORTS_DIRECTION,0.0136233357
categorical__mage_agreement_NO_DIRECTION,0.0118396315
numeric__gaspar_confidence,0.0091227799
categorical__baltasar_signal_SELL,0.0080674838
categorical__weekday_wednesday,0.0079556033
categorical__weekday_tuesday,0.0072734139
categorical__weekday_thursday,0.0069134514
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_normal|d1pos_low,0.0056670614
categorical__regime_asia|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_low,0.0040073504
categorical__baltasar_gaspar_alignment_DIRECTION_MISMATCH,0.0030748206
categorical__gaspar_signal_GOOD,0.0028303609
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_normal|d1pos_low,0.0027847291
categorical__regime_london|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0026823283
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_extended|d1pos_high,0.0025803288
categorical__gaspar_signal_FAIR,0.0025474111
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_extended|d1pos_low,0.0024575393
categorical__gaspar_signal_POOR,0.0021059751
categorical__baltasar_gaspar_alignment_DIRECTION_MATCH,0.0020465309
categorical__regime_london|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,0.0020399386
categorical__baltasar_gaspar_alignment_DIRECTION_REJECTED_BY_GASPAR,0.0020173652
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_normal|d1pos_mid_high,0.0020133345
categorical__regime_asia|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0019234121
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_normal|d1pos_low,0.0017782351
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_normal|d1pos_high,0.0017606089
categorical__regime_london|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_high,0.0017205859
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_normal|d1pos_mid_low,0.0016676316
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_normal|d1pos_high,0.0016006623
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_low,0.0015601382
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_extended|d1pos_high,0.0013159465
categorical__mage_agreement_DIRECTION_WITH_POOR_QUALITY,0.0013147132
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_normal|d1pos_mid_low,0.0013126713
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_low,0.0013033244
categorical__regime_overlap|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_low,0.0012589431
categorical__regime_london|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_low,0.0012569079
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_low,0.0011611445
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_low|d1pos_mid_low,0.0011547396
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_normal|d1pos_mid_high,0.0011132776
categorical__regime_london|h4_range|d1_range|align_neutral|atr_extended|d1pos_high,0.0010982386
categorical__regime_asia|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_high,0.0010766866
categorical__regime_overlap|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_low,0.0010235521
categorical__regime_asia|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_low,0.0009907186
categorical__regime_new_york|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0009762347
categorical__regime_london|h4_range|d1_range|align_neutral|atr_normal|d1pos_low,0.0009191666
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_low|d1pos_low,0.0009139782
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_extended|d1pos_low,0.0008971925
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_extended|d1pos_low,0.0008909787
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0008845521
categorical__regime_london|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,0.0008622882
categorical__regime_asia|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0007972666
categorical__regime_london|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,0.0007693439
categorical__regime_overlap|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0007691604
categorical__regime_london|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0007585711
categorical__regime_london|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_high,0.0006497937
categorical__regime_new_york|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_low,0.000647269
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_low|d1pos_low,0.000642999
categorical__regime_london|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_high,0.0006362848
categorical__regime_asia|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_low,0.0006267668
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_normal|d1pos_low,0.0006145328
categorical__regime_london|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_low,0.0005933115
categorical__regime_inactive|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_high,0.0005824024
categorical__regime_inactive|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_low,0.0005682504
categorical__regime_london|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_low,0.0005524598
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_extended|d1pos_low,0.0005392573
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0005341528
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_high,0.0005054312
categorical__regime_asia|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_low,0.0004978713
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0004943774
categorical__regime_inactive|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0004879205
categorical__regime_london|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0004840811
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_low|d1pos_mid_high,0.0004830242
categorical__regime_asia|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,0.0004823124
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0004776973
categorical__regime_asia|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_low,0.0004731282
categorical__regime_inactive|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0004636626
categorical__regime_new_york|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_low,0.0004605703
