feature,status,available_source_or_gap,needs_bot_a_export
trend_h1,ready,features.H1.structure_direction / features.H1.market_structure,False
trend_h4,ready,features.H4.structure_direction / features.H4.market_structure,False
trend_d1,ready,features.D1.structure_direction / features.D1.market_structure,False
ema_fast_m5,ready,ema_20,False
ema_slow_m5,ready,ema_200,False
ema_distance,derivable,"anchor_close, ema_20, ema_50, ema_200",False
ema_slope,derivable,lagged EMA time series,False
rsi_m5,ready,rsi_14,False
rsi_h1,ready,features.H1.rsi_14,False
atr_m5,derivable,M5 OHLC rolling true range,False
atr_h1,needs_bot_a_export,H1 ATR or H1 OHLC bars,True
momentum_m5,ready,momentum,False
momentum_h1,derivable,H1 EMA/RSI/structure proxy; direct label missing,False
candle_body_pct,derivable,M5 OHLC,False
upper_wick_pct,derivable,M5 OHLC,False
lower_wick_pct,derivable,M5 OHLC,False
distance_to_recent_high,derivable,rolling M5 highs,False
distance_to_recent_low,derivable,rolling M5 lows,False
support_distance_pips,ready,support_levels,False
resistance_distance_pips,ready,resistance_levels,False
structure_h1,ready,features.H1.market_structure,False
structure_h4,ready,features.H4.market_structure,False
mtf_trend_alignment,ready,mtf_alignment_status / gaspar_context.higher_timeframe_confluence.directional_alignment,False
