feature,importance,method
hour_bucket,0.0614014855,permutation_f1_macro
weekday_bucket,0.0107411659,permutation_f1_macro
spread_pips,0.0020365308,permutation_f1_macro
m15_recent_range,0.0016515882,permutation_f1_macro
structure_direction,0.0016314504,permutation_f1_macro
d1_ema_50,0.0014394569,permutation_f1_macro
h4_market_structure,0.0009404529,permutation_f1_macro
volatility_12,0.0009293379,permutation_f1_macro
h4_structure_direction,0.000918203,permutation_f1_macro
ema_20,0.0005632805,permutation_f1_macro
m15_structure_direction,0.0005230255,permutation_f1_macro
h1_candle_pattern,0.0003273873,permutation_f1_macro
ema_200,0.0003251025,permutation_f1_macro
h4_candle_pattern,0.0003160521,permutation_f1_macro
market_structure,0.0001403334,permutation_f1_macro
resistance_distance_pips,9.2226e-05,permutation_f1_macro
close_to_ema50,1.44328e-05,permutation_f1_macro
candle_body_pct,0.0,permutation_f1_macro
upper_wick_pct,0.0,permutation_f1_macro
lower_wick_pct,0.0,permutation_f1_macro
ema_20_slope,0.0,permutation_f1_macro
ema_50_slope,0.0,permutation_f1_macro
mtf_alignment_status,0.0,permutation_f1_macro
m15_market_structure,0.0,permutation_f1_macro
m15_candle_pattern,0.0,permutation_f1_macro
h1_rsi_14,0.0,permutation_f1_macro
h1_market_structure,0.0,permutation_f1_macro
h1_structure_direction,0.0,permutation_f1_macro
h1_recent_range,0.0,permutation_f1_macro
htf_directional_alignment,-0.0001640167,permutation_f1_macro
ema_50,-0.0001735731,permutation_f1_macro
h1_ema_200,-0.0002024603,permutation_f1_macro
anchor_high,-0.0002684123,permutation_f1_macro
htf_d1_structure,-0.0004858872,permutation_f1_macro
returns_1,-0.0005325419,permutation_f1_macro
d1_market_structure,-0.000633525,permutation_f1_macro
h1_ema_20,-0.0009808091,permutation_f1_macro
h1_ema_50,-0.000985328,permutation_f1_macro
session,-0.0011794198,permutation_f1_macro
h4_ema_50,-0.0012812779,permutation_f1_macro
h4_ema_20,-0.0013860276,permutation_f1_macro
close_to_ema20,-0.0015616395,permutation_f1_macro
anchor_low,-0.0017192969,permutation_f1_macro
ema_50_200_distance,-0.0017464086,permutation_f1_macro
returns_6,-0.0020058721,permutation_f1_macro
d1_candle_pattern,-0.00222131,permutation_f1_macro
momentum,-0.0025366553,permutation_f1_macro
returns_3,-0.0025860531,permutation_f1_macro
m15_ema_20,-0.0029296317,permutation_f1_macro
close_to_ema200,-0.0029688216,permutation_f1_macro
htf_h4_structure,-0.0031028396,permutation_f1_macro
support_distance_pips,-0.0032315135,permutation_f1_macro
d1_ema_200,-0.003308909,permutation_f1_macro
recent_range,-0.0042134761,permutation_f1_macro
h4_ema_200,-0.0042774709,permutation_f1_macro
m15_ema_200,-0.0044109882,permutation_f1_macro
h4_rsi_14,-0.0044497574,permutation_f1_macro
anchor_close,-0.0048977771,permutation_f1_macro
m15_ema_50,-0.0052213315,permutation_f1_macro
atr,-0.0056288234,permutation_f1_macro
d1_rsi_14,-0.0056771807,permutation_f1_macro
anchor_open,-0.0058711627,permutation_f1_macro
d1_recent_range,-0.0060516206,permutation_f1_macro
d1_structure_direction,-0.0061826653,permutation_f1_macro
ema_20_50_distance,-0.0065579318,permutation_f1_macro
rsi_14,-0.0072855934,permutation_f1_macro
h4_recent_range,-0.0085053192,permutation_f1_macro
d1_ema_20,-0.0093679046,permutation_f1_macro
daily_range_position,-0.0095676501,permutation_f1_macro
m15_rsi_14,-0.0098170005,permutation_f1_macro
