threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,2020-01,3168,364,0.114899,0.645604,1.27261,463.23,7.704733,30.0,0.757353,0.578947,0.735681,"{""DO_NOTHING"": 2804, ""ENTER_BUY"": 136, ""ENTER_SELL"": 228}","{""DO_NOTHING"": 2783, ""ENTER_BUY"": 188, ""ENTER_SELL"": 197}","{""DO_NOTHING"": {""DO_NOTHING"": 2654, ""ENTER_BUY"": 33, ""ENTER_SELL"": 96}, ""ENTER_BUY"": {""DO_NOTHING"": 85, ""ENTER_BUY"": 103, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 65, ""ENTER_BUY"": 0, ""ENTER_SELL"": 132}}",False
0.40,2020-02,4608,1497,0.32487,0.663995,1.212812,1815.58,6.831315,26.0,0.650955,0.678371,0.772518,"{""DO_NOTHING"": 3111, ""ENTER_BUY"": 785, ""ENTER_SELL"": 712}","{""DO_NOTHING"": 3325, ""ENTER_BUY"": 637, ""ENTER_SELL"": 646}","{""DO_NOTHING"": {""DO_NOTHING"": 2856, ""ENTER_BUY"": 252, ""ENTER_SELL"": 217}, ""ENTER_BUY"": {""DO_NOTHING"": 114, ""ENTER_BUY"": 511, ""ENTER_SELL"": 12}, ""ENTER_SELL"": {""DO_NOTHING"": 141, ""ENTER_BUY"": 22, ""ENTER_SELL"": 483}}",False
0.40,2020-03,4862,4388,0.902509,0.523701,0.581144,2550.06,2.237365,61.0,0.552567,0.498506,0.521662,"{""DO_NOTHING"": 474, ""ENTER_BUY"": 2045, ""ENTER_SELL"": 2343}","{""DO_NOTHING"": 1796, ""ENTER_BUY"": 1567, ""ENTER_SELL"": 1499}","{""DO_NOTHING"": {""DO_NOTHING"": 376, ""ENTER_BUY"": 649, ""ENTER_SELL"": 771}, ""ENTER_BUY"": {""DO_NOTHING"": 33, ""ENTER_BUY"": 1130, ""ENTER_SELL"": 404}, ""ENTER_SELL"": {""DO_NOTHING"": 65, ""ENTER_BUY"": 266, ""ENTER_SELL"": 1168}}",False
0.40,2020-04,5184,3158,0.609182,0.560481,0.756729,2389.75,2.918199,52.87,0.526816,0.604532,0.620574,"{""DO_NOTHING"": 2026, ""ENTER_BUY"": 1790, ""ENTER_SELL"": 1368}","{""DO_NOTHING"": 2511, ""ENTER_BUY"": 1315, ""ENTER_SELL"": 1358}","{""DO_NOTHING"": {""DO_NOTHING"": 1469, ""ENTER_BUY"": 593, ""ENTER_SELL"": 449}, ""ENTER_BUY"": {""DO_NOTHING"": 280, ""ENTER_BUY"": 943, ""ENTER_SELL"": 92}, ""ENTER_SELL"": {""DO_NOTHING"": 277, ""ENTER_BUY"": 254, ""ENTER_SELL"": 827}}",False
0.40,2020-05,4895,2706,0.552809,0.573171,0.874627,2366.74,3.60637,48.82,0.545351,0.624344,0.658659,"{""DO_NOTHING"": 2189, ""ENTER_BUY"": 1753, ""ENTER_SELL"": 953}","{""DO_NOTHING"": 2692, ""ENTER_BUY"": 1273, ""ENTER_SELL"": 930}","{""DO_NOTHING"": {""DO_NOTHING"": 1738, ""ENTER_BUY"": 663, ""ENTER_SELL"": 291}, ""ENTER_BUY"": {""DO_NOTHING"": 250, ""ENTER_BUY"": 956, ""ENTER_SELL"": 67}, ""ENTER_SELL"": {""DO_NOTHING"": 201, ""ENTER_BUY"": 134, ""ENTER_SELL"": 595}}",False
0.40,2020-06,4897,2641,0.53931,0.588035,0.845793,2233.74,3.340539,33.0,0.59564,0.579163,0.671615,"{""DO_NOTHING"": 2256, ""ENTER_BUY"": 1422, ""ENTER_SELL"": 1219}","{""DO_NOTHING"": 2681, ""ENTER_BUY"": 1121, ""ENTER_SELL"": 1095}","{""DO_NOTHING"": {""DO_NOTHING"": 1823, ""ENTER_BUY"": 448, ""ENTER_SELL"": 410}, ""ENTER_BUY"": {""DO_NOTHING"": 171, ""ENTER_BUY"": 847, ""ENTER_SELL"": 103}, ""ENTER_SELL"": {""DO_NOTHING"": 262, ""ENTER_BUY"": 127, ""ENTER_SELL"": 706}}",False
0.40,2020-07,5471,3042,0.556023,0.558185,0.780582,2374.53,3.030589,61.41,0.618486,0.49021,0.651689,"{""DO_NOTHING"": 2429, ""ENTER_BUY"": 1612, ""ENTER_SELL"": 1430}","{""DO_NOTHING"": 3026, ""ENTER_BUY"": 1358, ""ENTER_SELL"": 1087}","{""DO_NOTHING"": {""DO_NOTHING"": 1982, ""ENTER_BUY"": 483, ""ENTER_SELL"": 561}, ""ENTER_BUY"": {""DO_NOTHING"": 193, ""ENTER_BUY"": 997, ""ENTER_SELL"": 168}, ""ENTER_SELL"": {""DO_NOTHING"": 254, ""ENTER_BUY"": 132, ""ENTER_SELL"": 701}}",False
0.40,2020-08,4609,2888,0.6266,0.557479,0.77277,2231.76,3.052269,71.0,0.582031,0.517336,0.643515,"{""DO_NOTHING"": 1721, ""ENTER_BUY"": 1792, ""ENTER_SELL"": 1096}","{""DO_NOTHING"": 2426, ""ENTER_BUY"": 1278, ""ENTER_SELL"": 905}","{""DO_NOTHING"": {""DO_NOTHING"": 1419, ""ENTER_BUY"": 592, ""ENTER_SELL"": 415}, ""ENTER_BUY"": {""DO_NOTHING"": 121, ""ENTER_BUY"": 1043, ""ENTER_SELL"": 114}, ""ENTER_SELL"": {""DO_NOTHING"": 181, ""ENTER_BUY"": 157, ""ENTER_SELL"": 567}}",False
0.40,2020-09,5184,3048,0.587963,0.629921,0.993743,3028.93,4.220724,41.86,0.680743,0.597639,0.703328,"{""DO_NOTHING"": 2136, ""ENTER_BUY"": 1184, ""ENTER_SELL"": 1864}","{""DO_NOTHING"": 2723, ""ENTER_BUY"": 1104, ""ENTER_SELL"": 1357}","{""DO_NOTHING"": {""DO_NOTHING"": 1734, ""ENTER_BUY"": 339, ""ENTER_SELL"": 650}, ""ENTER_BUY"": {""DO_NOTHING"": 198, ""ENTER_BUY"": 806, ""ENTER_SELL"": 100}, ""ENTER_SELL"": {""DO_NOTHING"": 204, ""ENTER_BUY"": 39, ""ENTER_SELL"": 1114}}",False
0.40,2020-10,5171,2170,0.419648,0.566359,0.867161,1881.74,3.593858,54.58,0.596847,0.545242,0.67839,"{""DO_NOTHING"": 3001, ""ENTER_BUY"": 888, ""ENTER_SELL"": 1282}","{""DO_NOTHING"": 3335, ""ENTER_BUY"": 848, ""ENTER_SELL"": 988}","{""DO_NOTHING"": {""DO_NOTHING"": 2562, ""ENTER_BUY"": 316, ""ENTER_SELL"": 457}, ""ENTER_BUY"": {""DO_NOTHING"": 192, ""ENTER_BUY"": 530, ""ENTER_SELL"": 126}, ""ENTER_SELL"": {""DO_NOTHING"": 247, ""ENTER_BUY"": 42, ""ENTER_SELL"": 699}}",False
