threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,2020Q1,12638,6249,0.494461,0.56441,0.772743,4828.87,2.977975,61.0,0.587997,0.543101,0.702855,"{""DO_NOTHING"": 6389, ""ENTER_BUY"": 2966, ""ENTER_SELL"": 3283}","{""DO_NOTHING"": 7904, ""ENTER_BUY"": 2392, ""ENTER_SELL"": 2342}","{""DO_NOTHING"": {""DO_NOTHING"": 5886, ""ENTER_BUY"": 934, ""ENTER_SELL"": 1084}, ""ENTER_BUY"": {""DO_NOTHING"": 232, ""ENTER_BUY"": 1744, ""ENTER_SELL"": 416}, ""ENTER_SELL"": {""DO_NOTHING"": 271, ""ENTER_BUY"": 288, ""ENTER_SELL"": 1783}}",False
0.40,2020Q2,14976,8505,0.567909,0.573075,0.821897,6990.23,3.248921,52.87,0.553072,0.60113,0.649573,"{""DO_NOTHING"": 6471, ""ENTER_BUY"": 4965, ""ENTER_SELL"": 3540}","{""DO_NOTHING"": 7884, ""ENTER_BUY"": 3709, ""ENTER_SELL"": 3383}","{""DO_NOTHING"": {""DO_NOTHING"": 5030, ""ENTER_BUY"": 1704, ""ENTER_SELL"": 1150}, ""ENTER_BUY"": {""DO_NOTHING"": 701, ""ENTER_BUY"": 2746, ""ENTER_SELL"": 262}, ""ENTER_SELL"": {""DO_NOTHING"": 740, ""ENTER_BUY"": 515, ""ENTER_SELL"": 2128}}",False
0.40,2020Q3,15264,8978,0.588181,0.582312,0.850437,7635.22,3.388029,71.0,0.620314,0.542597,0.669749,"{""DO_NOTHING"": 6286, ""ENTER_BUY"": 4588, ""ENTER_SELL"": 4390}","{""DO_NOTHING"": 8175, ""ENTER_BUY"": 3740, ""ENTER_SELL"": 3349}","{""DO_NOTHING"": {""DO_NOTHING"": 5135, ""ENTER_BUY"": 1414, ""ENTER_SELL"": 1626}, ""ENTER_BUY"": {""DO_NOTHING"": 512, ""ENTER_BUY"": 2846, ""ENTER_SELL"": 382}, ""ENTER_SELL"": {""DO_NOTHING"": 639, ""ENTER_BUY"": 328, ""ENTER_SELL"": 2382}}",False
0.40,2020Q4,14896,7140,0.479323,0.587675,0.948542,6772.59,4.113333,60.85,0.626312,0.54572,0.694211,"{""DO_NOTHING"": 7756, ""ENTER_BUY"": 3717, ""ENTER_SELL"": 3423}","{""DO_NOTHING"": 9190, ""ENTER_BUY"": 3077, ""ENTER_SELL"": 2629}","{""DO_NOTHING"": {""DO_NOTHING"": 6609, ""ENTER_BUY"": 1224, ""ENTER_SELL"": 1357}, ""ENTER_BUY"": {""DO_NOTHING"": 551, ""ENTER_BUY"": 2328, ""ENTER_SELL"": 198}, ""ENTER_SELL"": {""DO_NOTHING"": 596, ""ENTER_BUY"": 165, ""ENTER_SELL"": 1868}}",False
0.40,2021Q1,14378,7753,0.539227,0.627112,1.091896,8465.47,5.237778,47.16,0.628337,0.626151,0.733663,"{""DO_NOTHING"": 6625, ""ENTER_BUY"": 3409, ""ENTER_SELL"": 4344}","{""DO_NOTHING"": 8485, ""ENTER_BUY"": 2646, ""ENTER_SELL"": 3247}","{""DO_NOTHING"": {""DO_NOTHING"": 5869, ""ENTER_BUY"": 1156, ""ENTER_SELL"": 1460}, ""ENTER_BUY"": {""DO_NOTHING"": 340, ""ENTER_BUY"": 2142, ""ENTER_SELL"": 164}, ""ENTER_SELL"": {""DO_NOTHING"": 416, ""ENTER_BUY"": 111, ""ENTER_SELL"": 2720}}",False
0.40,2021Q2,14891,5353,0.359479,0.650103,1.139957,6102.19,5.684156,55.11,0.707075,0.599577,0.746681,"{""DO_NOTHING"": 9538, ""ENTER_BUY"": 2516, ""ENTER_SELL"": 2837}","{""DO_NOTHING"": 10156, ""ENTER_BUY"": 2448, ""ENTER_SELL"": 2287}","{""DO_NOTHING"": {""DO_NOTHING"": 8462, ""ENTER_BUY"": 698, ""ENTER_SELL"": 996}, ""ENTER_BUY"": {""DO_NOTHING"": 529, ""ENTER_BUY"": 1779, ""ENTER_SELL"": 140}, ""ENTER_SELL"": {""DO_NOTHING"": 547, ""ENTER_BUY"": 39, ""ENTER_SELL"": 1701}}",False
0.40,2021Q3,15264,3669,0.240369,0.718179,1.365713,5010.8,9.666355,23.0,0.771169,0.684375,0.767452,"{""DO_NOTHING"": 11595, ""ENTER_BUY"": 1429, ""ENTER_SELL"": 2240}","{""DO_NOTHING"": 11389, ""ENTER_BUY"": 1710, ""ENTER_SELL"": 2165}","{""DO_NOTHING"": {""DO_NOTHING"": 10391, ""ENTER_BUY"": 314, ""ENTER_SELL"": 684}, ""ENTER_BUY"": {""DO_NOTHING"": 585, ""ENTER_BUY"": 1102, ""ENTER_SELL"": 23}, ""ENTER_SELL"": {""DO_NOTHING"": 619, ""ENTER_BUY"": 13, ""ENTER_SELL"": 1533}}",False
0.40,2021Q4,15206,6194,0.407339,0.618179,1.078231,6678.56,5.20877,41.0,0.674408,0.586346,0.732452,"{""DO_NOTHING"": 9012, ""ENTER_BUY"": 2239, ""ENTER_SELL"": 3955}","{""DO_NOTHING"": 10141, ""ENTER_BUY"": 2238, ""ENTER_SELL"": 2827}","{""DO_NOTHING"": {""DO_NOTHING"": 8034, ""ENTER_BUY"": 660, ""ENTER_SELL"": 1447}, ""ENTER_BUY"": {""DO_NOTHING"": 539, ""ENTER_BUY"": 1510, ""ENTER_SELL"": 189}, ""ENTER_SELL"": {""DO_NOTHING"": 439, ""ENTER_BUY"": 69, ""ENTER_SELL"": 2319}}",False
0.40,2022Q1,14663,8332,0.568233,0.553769,0.797014,6640.72,3.175873,88.16,0.619908,0.519877,0.653757,"{""DO_NOTHING"": 6331, ""ENTER_BUY"": 2823, ""ENTER_SELL"": 5509}","{""DO_NOTHING"": 8182, ""ENTER_BUY"": 2866, ""ENTER_SELL"": 3615}","{""DO_NOTHING"": {""DO_NOTHING"": 5212, ""ENTER_BUY"": 875, ""ENTER_SELL"": 2095}, ""ENTER_BUY"": {""DO_NOTHING"": 566, ""ENTER_BUY"": 1750, ""ENTER_SELL"": 550}, ""ENTER_SELL"": {""DO_NOTHING"": 553, ""ENTER_BUY"": 198, ""ENTER_SELL"": 2864}}",False
0.40,2022Q2,14978,9569,0.63887,0.580207,0.844596,8081.94,3.343787,52.0,0.616419,0.558667,0.661456,"{""DO_NOTHING"": 5409, ""ENTER_BUY"": 3569, ""ENTER_SELL"": 6000}","{""DO_NOTHING"": 7506, ""ENTER_BUY"": 3318, ""ENTER_SELL"": 4154}","{""DO_NOTHING"": {""DO_NOTHING"": 4425, ""ENTER_BUY"": 1121, ""ENTER_SELL"": 1960}, ""ENTER_BUY"": {""DO_NOTHING"": 430, ""ENTER_BUY"": 2200, ""ENTER_SELL"": 688}, ""ENTER_SELL"": {""DO_NOTHING"": 554, ""ENTER_BUY"": 248, ""ENTER_SELL"": 3352}}",False
