threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,0.15-0.35,23403,9725,0.415545,0.243907,-0.017927,-174.34,0.969981,548.51,0.254892,0.228529,0.421634,"{""DO_NOTHING"": 13678, ""ENTER_BUY"": 5673, ""ENTER_SELL"": 4052}","{""DO_NOTHING"": 15316, ""ENTER_BUY"": 4235, ""ENTER_SELL"": 3852}","{""DO_NOTHING"": {""DO_NOTHING"": 10709, ""ENTER_BUY"": 2729, ""ENTER_SELL"": 1878}, ""ENTER_BUY"": {""DO_NOTHING"": 1541, ""ENTER_BUY"": 1446, ""ENTER_SELL"": 1248}, ""ENTER_SELL"": {""DO_NOTHING"": 1428, ""ENTER_BUY"": 1498, ""ENTER_SELL"": 926}}",False
0.40,0.35-0.65,38711,16631,0.429619,0.272804,0.052251,868.98,1.090071,495.97,0.277697,0.268766,0.440039,"{""DO_NOTHING"": 22080, ""ENTER_BUY"": 7519, ""ENTER_SELL"": 9112}","{""DO_NOTHING"": 24902, ""ENTER_BUY"": 7221, ""ENTER_SELL"": 6588}","{""DO_NOTHING"": {""DO_NOTHING"": 17027, ""ENTER_BUY"": 3773, ""ENTER_SELL"": 4102}, ""ENTER_BUY"": {""DO_NOTHING"": 2572, ""ENTER_BUY"": 2088, ""ENTER_SELL"": 2561}, ""ENTER_SELL"": {""DO_NOTHING"": 2481, ""ENTER_BUY"": 1658, ""ENTER_SELL"": 2449}}",False
0.40,0.65-0.85,31700,13902,0.438549,0.271616,-0.007244,-100.7,0.988198,744.15,0.25563,0.286508,0.437967,"{""DO_NOTHING"": 17798, ""ENTER_BUY"": 6705, ""ENTER_SELL"": 7197}","{""DO_NOTHING"": 20051, ""ENTER_BUY"": 5215, ""ENTER_SELL"": 6434}","{""DO_NOTHING"": {""DO_NOTHING"": 13697, ""ENTER_BUY"": 3243, ""ENTER_SELL"": 3111}, ""ENTER_BUY"": {""DO_NOTHING"": 1477, ""ENTER_BUY"": 1714, ""ENTER_SELL"": 2024}, ""ENTER_SELL"": {""DO_NOTHING"": 2624, ""ENTER_BUY"": 1748, ""ENTER_SELL"": 2062}}",False
0.40,<=0.15,20285,7938,0.391324,0.266944,0.066616,528.8,1.11807,422.58,0.27679,0.256687,0.439668,"{""DO_NOTHING"": 12347, ""ENTER_BUY"": 4050, ""ENTER_SELL"": 3888}","{""DO_NOTHING"": 13496, ""ENTER_BUY"": 3156, ""ENTER_SELL"": 3633}","{""DO_NOTHING"": {""DO_NOTHING"": 9594, ""ENTER_BUY"": 1852, ""ENTER_SELL"": 2050}, ""ENTER_BUY"": {""DO_NOTHING"": 1195, ""ENTER_BUY"": 1121, ""ENTER_SELL"": 840}, ""ENTER_SELL"": {""DO_NOTHING"": 1558, ""ENTER_BUY"": 1077, ""ENTER_SELL"": 998}}",False
0.40,>0.85,20270,8875,0.437839,0.247775,-0.063457,-563.18,0.898987,741.31,0.202214,0.267802,0.401209,"{""DO_NOTHING"": 11395, ""ENTER_BUY"": 2710, ""ENTER_SELL"": 6165}","{""DO_NOTHING"": 12459, ""ENTER_BUY"": 3927, ""ENTER_SELL"": 3884}","{""DO_NOTHING"": {""DO_NOTHING"": 8467, ""ENTER_BUY"": 1306, ""ENTER_SELL"": 2686}, ""ENTER_BUY"": {""DO_NOTHING"": 1551, ""ENTER_BUY"": 548, ""ENTER_SELL"": 1828}, ""ENTER_SELL"": {""DO_NOTHING"": 1377, ""ENTER_BUY"": 856, ""ENTER_SELL"": 1651}}",False
0.50,0.15-0.35,23403,1208,0.051617,0.258278,-0.042988,-51.93,0.931038,178.52,0.242656,0.287059,0.307453,"{""DO_NOTHING"": 22195, ""ENTER_BUY"": 783, ""ENTER_SELL"": 425}","{""DO_NOTHING"": 15316, ""ENTER_BUY"": 4235, ""ENTER_SELL"": 3852}","{""DO_NOTHING"": {""DO_NOTHING"": 14809, ""ENTER_BUY"": 356, ""ENTER_SELL"": 151}, ""ENTER_BUY"": {""DO_NOTHING"": 3893, ""ENTER_BUY"": 190, ""ENTER_SELL"": 152}, ""ENTER_SELL"": {""DO_NOTHING"": 3493, ""ENTER_BUY"": 237, ""ENTER_SELL"": 122}}",False
0.50,0.35-0.65,38711,3041,0.078556,0.295298,0.085005,258.5,1.14627,399.95,0.303699,0.286667,0.330137,"{""DO_NOTHING"": 35670, ""ENTER_BUY"": 1541, ""ENTER_SELL"": 1500}","{""DO_NOTHING"": 24902, ""ENTER_BUY"": 7221, ""ENTER_SELL"": 6588}","{""DO_NOTHING"": {""DO_NOTHING"": 23540, ""ENTER_BUY"": 743, ""ENTER_SELL"": 619}, ""ENTER_BUY"": {""DO_NOTHING"": 6302, ""ENTER_BUY"": 468, ""ENTER_SELL"": 451}, ""ENTER_SELL"": {""DO_NOTHING"": 5828, ""ENTER_BUY"": 330, ""ENTER_SELL"": 430}}",False
0.50,0.65-0.85,31700,2408,0.075962,0.281561,-0.006964,-16.77,0.988824,207.35,0.240361,0.323802,0.32075,"{""DO_NOTHING"": 29292, ""ENTER_BUY"": 1219, ""ENTER_SELL"": 1189}","{""DO_NOTHING"": 20051, ""ENTER_BUY"": 5215, ""ENTER_SELL"": 6434}","{""DO_NOTHING"": {""DO_NOTHING"": 19001, ""ENTER_BUY"": 570, ""ENTER_SELL"": 480}, ""ENTER_BUY"": {""DO_NOTHING"": 4598, ""ENTER_BUY"": 293, ""ENTER_SELL"": 324}, ""ENTER_SELL"": {""DO_NOTHING"": 5693, ""ENTER_BUY"": 356, ""ENTER_SELL"": 385}}",False
0.50,<=0.15,20285,1545,0.076165,0.319094,0.188369,291.03,1.355183,69.25,0.335394,0.30735,0.342516,"{""DO_NOTHING"": 18740, ""ENTER_BUY"": 647, ""ENTER_SELL"": 898}","{""DO_NOTHING"": 13496, ""ENTER_BUY"": 3156, ""ENTER_SELL"": 3633}","{""DO_NOTHING"": {""DO_NOTHING"": 12759, ""ENTER_BUY"": 300, ""ENTER_SELL"": 437}, ""ENTER_BUY"": {""DO_NOTHING"": 2754, ""ENTER_BUY"": 217, ""ENTER_SELL"": 185}, ""ENTER_SELL"": {""DO_NOTHING"": 3227, ""ENTER_BUY"": 130, ""ENTER_SELL"": 276}}",False
0.50,>0.85,20270,2400,0.118402,0.260417,-0.061104,-146.65,0.904923,224.23,0.251208,0.262336,0.327113,"{""DO_NOTHING"": 17870, ""ENTER_BUY"": 414, ""ENTER_SELL"": 1986}","{""DO_NOTHING"": 12459, ""ENTER_BUY"": 3927, ""ENTER_SELL"": 3884}","{""DO_NOTHING"": {""DO_NOTHING"": 11463, ""ENTER_BUY"": 170, ""ENTER_SELL"": 826}, ""ENTER_BUY"": {""DO_NOTHING"": 3184, ""ENTER_BUY"": 104, ""ENTER_SELL"": 639}, ""ENTER_SELL"": {""DO_NOTHING"": 3223, ""ENTER_BUY"": 140, ""ENTER_SELL"": 521}}",False
0.60,0.15-0.35,23403,20,0.000855,0.15,-0.5285,-10.57,0.3621,12.57,0.133333,0.2,0.264249,"{""DO_NOTHING"": 23383, ""ENTER_BUY"": 15, ""ENTER_SELL"": 5}","{""DO_NOTHING"": 15316, ""ENTER_BUY"": 4235, ""ENTER_SELL"": 3852}","{""DO_NOTHING"": {""DO_NOTHING"": 15311, ""ENTER_BUY"": 5, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 4229, ""ENTER_BUY"": 2, ""ENTER_SELL"": 4}, ""ENTER_SELL"": {""DO_NOTHING"": 3843, ""ENTER_BUY"": 8, ""ENTER_SELL"": 1}}",True
0.60,0.35-0.65,38711,219,0.005657,0.39726,0.265753,58.2,1.488542,43.0,0.352381,0.438596,0.269469,"{""DO_NOTHING"": 38492, ""ENTER_BUY"": 105, ""ENTER_SELL"": 114}","{""DO_NOTHING"": 24902, ""ENTER_BUY"": 7221, ""ENTER_SELL"": 6588}","{""DO_NOTHING"": {""DO_NOTHING"": 24831, ""ENTER_BUY"": 28, ""ENTER_SELL"": 43}, ""ENTER_BUY"": {""DO_NOTHING"": 7163, ""ENTER_BUY"": 37, ""ENTER_SELL"": 21}, ""ENTER_SELL"": {""DO_NOTHING"": 6498, ""ENTER_BUY"": 40, ""ENTER_SELL"": 50}}",False
0.60,0.65-0.85,31700,60,0.001893,0.4,0.2,12.0,1.333333,13.0,0.241379,0.548387,0.26096,"{""DO_NOTHING"": 31640, ""ENTER_BUY"": 29, ""ENTER_SELL"": 31}","{""DO_NOTHING"": 20051, ""ENTER_BUY"": 5215, ""ENTER_SELL"": 6434}","{""DO_NOTHING"": {""DO_NOTHING"": 20029, ""ENTER_BUY"": 16, ""ENTER_SELL"": 6}, ""ENTER_BUY"": {""DO_NOTHING"": 5200, ""ENTER_BUY"": 7, ""ENTER_SELL"": 8}, ""ENTER_SELL"": {""DO_NOTHING"": 6411, ""ENTER_BUY"": 6, ""ENTER_SELL"": 17}}",True
0.60,<=0.15,20285,94,0.004634,0.5,0.715426,67.25,2.921429,10.0,0.538462,0.485294,0.275251,"{""DO_NOTHING"": 20191, ""ENTER_BUY"": 26, ""ENTER_SELL"": 68}","{""DO_NOTHING"": 13496, ""ENTER_BUY"": 3156, ""ENTER_SELL"": 3633}","{""DO_NOTHING"": {""DO_NOTHING"": 13460, ""ENTER_BUY"": 11, ""ENTER_SELL"": 25}, ""ENTER_BUY"": {""DO_NOTHING"": 3132, ""ENTER_BUY"": 14, ""ENTER_SELL"": 10}, ""ENTER_SELL"": {""DO_NOTHING"": 3599, ""ENTER_BUY"": 1, ""ENTER_SELL"": 33}}",True
0.60,>0.85,20270,124,0.006117,0.467742,0.426935,52.94,1.835147,35.0,0.347826,0.49505,0.263807,"{""DO_NOTHING"": 20146, ""ENTER_BUY"": 23, ""ENTER_SELL"": 101}","{""DO_NOTHING"": 12459, ""ENTER_BUY"": 3927, ""ENTER_SELL"": 3884}","{""DO_NOTHING"": {""DO_NOTHING"": 12427, ""ENTER_BUY"": 9, ""ENTER_SELL"": 23}, ""ENTER_BUY"": {""DO_NOTHING"": 3891, ""ENTER_BUY"": 8, ""ENTER_SELL"": 28}, ""ENTER_SELL"": {""DO_NOTHING"": 3828, ""ENTER_BUY"": 6, ""ENTER_SELL"": 50}}",False
