threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,asia_core,16882,1087,0.064388,0.306348,0.273404,297.19,1.572477,63.0,0.298319,0.321716,0.403996,"{""DO_NOTHING"": 15795, ""ENTER_BUY"": 714, ""ENTER_SELL"": 373}","{""DO_NOTHING"": 13815, ""ENTER_BUY"": 1581, ""ENTER_SELL"": 1486}","{""DO_NOTHING"": {""DO_NOTHING"": 13284, ""ENTER_BUY"": 389, ""ENTER_SELL"": 142}, ""ENTER_BUY"": {""DO_NOTHING"": 1257, ""ENTER_BUY"": 213, ""ENTER_SELL"": 111}, ""ENTER_SELL"": {""DO_NOTHING"": 1254, ""ENTER_BUY"": 112, ""ENTER_SELL"": 120}}",False
0.40,inactive,27811,2684,0.096509,0.264903,0.033819,90.77,1.05837,158.99,0.302827,0.226866,0.404284,"{""DO_NOTHING"": 25127, ""ENTER_BUY"": 1344, ""ENTER_SELL"": 1340}","{""DO_NOTHING"": 21868, ""ENTER_BUY"": 2796, ""ENTER_SELL"": 3147}","{""DO_NOTHING"": {""DO_NOTHING"": 20695, ""ENTER_BUY"": 615, ""ENTER_SELL"": 558}, ""ENTER_BUY"": {""DO_NOTHING"": 1911, ""ENTER_BUY"": 407, ""ENTER_SELL"": 478}, ""ENTER_SELL"": {""DO_NOTHING"": 2521, ""ENTER_BUY"": 322, ""ENTER_SELL"": 304}}",False
0.40,late_us,22414,3608,0.160971,0.229767,-0.12791,-461.5,0.800278,471.67,0.239249,0.221768,0.386442,"{""DO_NOTHING"": 18806, ""ENTER_BUY"": 1651, ""ENTER_SELL"": 1957}","{""DO_NOTHING"": 16014, ""ENTER_BUY"": 3131, ""ENTER_SELL"": 3269}","{""DO_NOTHING"": {""DO_NOTHING"": 14416, ""ENTER_BUY"": 684, ""ENTER_SELL"": 914}, ""ENTER_BUY"": {""DO_NOTHING"": 2127, ""ENTER_BUY"": 395, ""ENTER_SELL"": 609}, ""ENTER_SELL"": {""DO_NOTHING"": 2263, ""ENTER_BUY"": 572, ""ENTER_SELL"": 434}}",False
0.40,london_mid,11204,7401,0.660568,0.250777,0.045126,333.98,1.080356,293.22,0.22836,0.269671,0.365233,"{""DO_NOTHING"": 3803, ""ENTER_BUY"": 3385, ""ENTER_SELL"": 4016}","{""DO_NOTHING"": 6324, ""ENTER_BUY"": 2327, ""ENTER_SELL"": 2553}","{""DO_NOTHING"": {""DO_NOTHING"": 2508, ""ENTER_BUY"": 1757, ""ENTER_SELL"": 2059}, ""ENTER_BUY"": {""DO_NOTHING"": 680, ""ENTER_BUY"": 773, ""ENTER_SELL"": 874}, ""ENTER_SELL"": {""DO_NOTHING"": 615, ""ENTER_BUY"": 855, ""ENTER_SELL"": 1083}}",False
0.40,london_open,16801,9206,0.547944,0.232457,-0.032833,-302.26,0.944889,514.36,0.254317,0.211923,0.366691,"{""DO_NOTHING"": 7595, ""ENTER_BUY"": 4459, ""ENTER_SELL"": 4747}","{""DO_NOTHING"": 9513, ""ENTER_BUY"": 3650, ""ENTER_SELL"": 3638}","{""DO_NOTHING"": {""DO_NOTHING"": 4965, ""ENTER_BUY"": 2145, ""ENTER_SELL"": 2403}, ""ENTER_BUY"": {""DO_NOTHING"": 1178, ""ENTER_BUY"": 1134, ""ENTER_SELL"": 1338}, ""ENTER_SELL"": {""DO_NOTHING"": 1452, ""ENTER_BUY"": 1180, ""ENTER_SELL"": 1006}}",False
0.40,new_york_mid,16846,11798,0.700344,0.25089,0.000955,11.27,1.001613,494.67,0.248046,0.253269,0.348753,"{""DO_NOTHING"": 5048, ""ENTER_BUY"": 5374, ""ENTER_SELL"": 6424}","{""DO_NOTHING"": 9039, ""ENTER_BUY"": 3897, ""ENTER_SELL"": 3910}","{""DO_NOTHING"": {""DO_NOTHING"": 3126, ""ENTER_BUY"": 2836, ""ENTER_SELL"": 3077}, ""ENTER_BUY"": {""DO_NOTHING"": 844, ""ENTER_BUY"": 1333, ""ENTER_SELL"": 1720}, ""ENTER_SELL"": {""DO_NOTHING"": 1078, ""ENTER_BUY"": 1205, ""ENTER_SELL"": 1627}}",False
0.40,overlap,22411,21287,0.949846,0.290036,0.027722,590.11,1.045294,491.62,0.273587,0.303885,0.271623,"{""DO_NOTHING"": 1124, ""ENTER_BUY"": 9730, ""ENTER_SELL"": 11557}","{""DO_NOTHING"": 9651, ""ENTER_BUY"": 6372, ""ENTER_SELL"": 6388}","{""DO_NOTHING"": {""DO_NOTHING"": 500, ""ENTER_BUY"": 4477, ""ENTER_SELL"": 4674}, ""ENTER_BUY"": {""DO_NOTHING"": 339, ""ENTER_BUY"": 2662, ""ENTER_SELL"": 3371}, ""ENTER_SELL"": {""DO_NOTHING"": 285, ""ENTER_BUY"": 2591, ""ENTER_SELL"": 3512}}",False
0.50,asia_core,16882,297,0.017593,0.478114,0.568855,168.95,2.290187,31.0,0.486772,0.462963,0.356616,"{""DO_NOTHING"": 16585, ""ENTER_BUY"": 189, ""ENTER_SELL"": 108}","{""DO_NOTHING"": 13815, ""ENTER_BUY"": 1581, ""ENTER_SELL"": 1486}","{""DO_NOTHING"": {""DO_NOTHING"": 13728, ""ENTER_BUY"": 69, ""ENTER_SELL"": 18}, ""ENTER_BUY"": {""DO_NOTHING"": 1449, ""ENTER_BUY"": 92, ""ENTER_SELL"": 40}, ""ENTER_SELL"": {""DO_NOTHING"": 1408, ""ENTER_BUY"": 28, ""ENTER_SELL"": 50}}",False
0.50,inactive,27811,527,0.018949,0.256167,-0.135863,-71.6,0.797854,112.58,0.226667,0.278146,0.321748,"{""DO_NOTHING"": 27284, ""ENTER_BUY"": 225, ""ENTER_SELL"": 302}","{""DO_NOTHING"": 21868, ""ENTER_BUY"": 2796, ""ENTER_SELL"": 3147}","{""DO_NOTHING"": {""DO_NOTHING"": 21695, ""ENTER_BUY"": 81, ""ENTER_SELL"": 92}, ""ENTER_BUY"": {""DO_NOTHING"": 2619, ""ENTER_BUY"": 51, ""ENTER_SELL"": 126}, ""ENTER_SELL"": {""DO_NOTHING"": 2970, ""ENTER_BUY"": 93, ""ENTER_SELL"": 84}}",False
0.50,late_us,22414,600,0.026769,0.253333,-0.164017,-98.41,0.761355,98.41,0.263514,0.243421,0.307857,"{""DO_NOTHING"": 21814, ""ENTER_BUY"": 296, ""ENTER_SELL"": 304}","{""DO_NOTHING"": 16014, ""ENTER_BUY"": 3131, ""ENTER_SELL"": 3269}","{""DO_NOTHING"": {""DO_NOTHING"": 15824, ""ENTER_BUY"": 85, ""ENTER_SELL"": 105}, ""ENTER_BUY"": {""DO_NOTHING"": 2928, ""ENTER_BUY"": 78, ""ENTER_SELL"": 125}, ""ENTER_SELL"": {""DO_NOTHING"": 3062, ""ENTER_BUY"": 133, ""ENTER_SELL"": 74}}",False
0.50,london_mid,11204,1026,0.091574,0.279727,0.101326,103.96,1.182348,131.2,0.230277,0.321364,0.298558,"{""DO_NOTHING"": 10178, ""ENTER_BUY"": 469, ""ENTER_SELL"": 557}","{""DO_NOTHING"": 6324, ""ENTER_BUY"": 2327, ""ENTER_SELL"": 2553}","{""DO_NOTHING"": {""DO_NOTHING"": 5803, ""ENTER_BUY"": 243, ""ENTER_SELL"": 278}, ""ENTER_BUY"": {""DO_NOTHING"": 2119, ""ENTER_BUY"": 108, ""ENTER_SELL"": 100}, ""ENTER_SELL"": {""DO_NOTHING"": 2256, ""ENTER_BUY"": 118, ""ENTER_SELL"": 179}}",False
0.50,london_open,16801,1196,0.071186,0.240803,-0.093587,-111.93,0.853234,202.4,0.316163,0.173776,0.282776,"{""DO_NOTHING"": 15605, ""ENTER_BUY"": 563, ""ENTER_SELL"": 633}","{""DO_NOTHING"": 9513, ""ENTER_BUY"": 3650, ""ENTER_SELL"": 3638}","{""DO_NOTHING"": {""DO_NOTHING"": 8946, ""ENTER_BUY"": 243, ""ENTER_SELL"": 324}, ""ENTER_BUY"": {""DO_NOTHING"": 3273, ""ENTER_BUY"": 178, ""ENTER_SELL"": 199}, ""ENTER_SELL"": {""DO_NOTHING"": 3386, ""ENTER_BUY"": 142, ""ENTER_SELL"": 110}}",False
0.50,new_york_mid,16846,1647,0.097768,0.234366,-0.055367,-91.19,0.908107,174.32,0.244275,0.225319,0.279927,"{""DO_NOTHING"": 15199, ""ENTER_BUY"": 786, ""ENTER_SELL"": 861}","{""DO_NOTHING"": 9039, ""ENTER_BUY"": 3897, ""ENTER_SELL"": 3910}","{""DO_NOTHING"": {""DO_NOTHING"": 8198, ""ENTER_BUY"": 461, ""ENTER_SELL"": 380}, ""ENTER_BUY"": {""DO_NOTHING"": 3418, ""ENTER_BUY"": 192, ""ENTER_SELL"": 287}, ""ENTER_SELL"": {""DO_NOTHING"": 3583, ""ENTER_BUY"": 133, ""ENTER_SELL"": 194}}",False
0.50,overlap,22411,5309,0.236893,0.304389,0.081823,434.4,1.137465,166.99,0.276012,0.322611,0.301345,"{""DO_NOTHING"": 17102, ""ENTER_BUY"": 2076, ""ENTER_SELL"": 3233}","{""DO_NOTHING"": 9651, ""ENTER_BUY"": 6372, ""ENTER_SELL"": 6388}","{""DO_NOTHING"": {""DO_NOTHING"": 7378, ""ENTER_BUY"": 957, ""ENTER_SELL"": 1316}, ""ENTER_BUY"": {""DO_NOTHING"": 4925, ""ENTER_BUY"": 573, ""ENTER_SELL"": 874}, ""ENTER_SELL"": {""DO_NOTHING"": 4799, ""ENTER_BUY"": 546, ""ENTER_SELL"": 1043}}",False
0.60,asia_core,16882,63,0.003732,0.571429,0.752063,47.38,2.822308,22.0,0.857143,0.535714,0.31594,"{""DO_NOTHING"": 16819, ""ENTER_BUY"": 7, ""ENTER_SELL"": 56}","{""DO_NOTHING"": 13815, ""ENTER_BUY"": 1581, ""ENTER_SELL"": 1486}","{""DO_NOTHING"": {""DO_NOTHING"": 13806, ""ENTER_BUY"": 1, ""ENTER_SELL"": 8}, ""ENTER_BUY"": {""DO_NOTHING"": 1557, ""ENTER_BUY"": 6, ""ENTER_SELL"": 18}, ""ENTER_SELL"": {""DO_NOTHING"": 1456, ""ENTER_BUY"": 0, ""ENTER_SELL"": 30}}",True
0.60,inactive,27811,52,0.00187,0.442308,0.383462,19.94,1.755589,9.0,0.0,0.522727,0.298382,"{""DO_NOTHING"": 27759, ""ENTER_BUY"": 8, ""ENTER_SELL"": 44}","{""DO_NOTHING"": 21868, ""ENTER_BUY"": 2796, ""ENTER_SELL"": 3147}","{""DO_NOTHING"": {""DO_NOTHING"": 21854, ""ENTER_BUY"": 0, ""ENTER_SELL"": 14}, ""ENTER_BUY"": {""DO_NOTHING"": 2789, ""ENTER_BUY"": 0, ""ENTER_SELL"": 7}, ""ENTER_SELL"": {""DO_NOTHING"": 3116, ""ENTER_BUY"": 8, ""ENTER_SELL"": 23}}",True
0.60,late_us,22414,25,0.001115,0.2,-0.4,-10.0,0.5,14.0,0.3125,0.0,0.278954,"{""DO_NOTHING"": 22389, ""ENTER_BUY"": 16, ""ENTER_SELL"": 9}","{""DO_NOTHING"": 16014, ""ENTER_BUY"": 3131, ""ENTER_SELL"": 3269}","{""DO_NOTHING"": {""DO_NOTHING"": 16008, ""ENTER_BUY"": 5, ""ENTER_SELL"": 1}, ""ENTER_BUY"": {""DO_NOTHING"": 3118, ""ENTER_BUY"": 5, ""ENTER_SELL"": 8}, ""ENTER_SELL"": {""DO_NOTHING"": 3263, ""ENTER_BUY"": 6, ""ENTER_SELL"": 0}}",True
0.60,london_mid,11204,15,0.001339,0.533333,0.6,9.0,2.285714,7.0,0.363636,1.0,0.242691,"{""DO_NOTHING"": 11189, ""ENTER_BUY"": 11, ""ENTER_SELL"": 4}","{""DO_NOTHING"": 6324, ""ENTER_BUY"": 2327, ""ENTER_SELL"": 2553}","{""DO_NOTHING"": {""DO_NOTHING"": 6318, ""ENTER_BUY"": 6, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 2323, ""ENTER_BUY"": 4, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 2548, ""ENTER_BUY"": 1, ""ENTER_SELL"": 4}}",True
0.60,london_open,16801,64,0.003809,0.28125,-0.15625,-10.0,0.782609,31.0,0.0,0.486486,0.244484,"{""DO_NOTHING"": 16737, ""ENTER_BUY"": 27, ""ENTER_SELL"": 37}","{""DO_NOTHING"": 9513, ""ENTER_BUY"": 3650, ""ENTER_SELL"": 3638}","{""DO_NOTHING"": {""DO_NOTHING"": 9498, ""ENTER_BUY"": 9, ""ENTER_SELL"": 6}, ""ENTER_BUY"": {""DO_NOTHING"": 3637, ""ENTER_BUY"": 0, ""ENTER_SELL"": 13}, ""ENTER_SELL"": {""DO_NOTHING"": 3602, ""ENTER_BUY"": 18, ""ENTER_SELL"": 18}}",True
0.60,new_york_mid,16846,22,0.001306,0.181818,-0.345,-7.59,0.541943,13.57,0.222222,0.0,0.233343,"{""DO_NOTHING"": 16824, ""ENTER_BUY"": 18, ""ENTER_SELL"": 4}","{""DO_NOTHING"": 9039, ""ENTER_BUY"": 3897, ""ENTER_SELL"": 3910}","{""DO_NOTHING"": {""DO_NOTHING"": 9026, ""ENTER_BUY"": 11, ""ENTER_SELL"": 2}, ""ENTER_BUY"": {""DO_NOTHING"": 3891, ""ENTER_BUY"": 4, ""ENTER_SELL"": 2}, ""ENTER_SELL"": {""DO_NOTHING"": 3907, ""ENTER_BUY"": 3, ""ENTER_SELL"": 0}}",True
0.60,overlap,22411,276,0.012315,0.452899,0.474964,131.09,2.023102,28.65,0.441441,0.460606,0.213027,"{""DO_NOTHING"": 22135, ""ENTER_BUY"": 111, ""ENTER_SELL"": 165}","{""DO_NOTHING"": 9651, ""ENTER_BUY"": 6372, ""ENTER_SELL"": 6388}","{""DO_NOTHING"": {""DO_NOTHING"": 9548, ""ENTER_BUY"": 37, ""ENTER_SELL"": 66}, ""ENTER_BUY"": {""DO_NOTHING"": 6300, ""ENTER_BUY"": 49, ""ENTER_SELL"": 23}, ""ENTER_SELL"": {""DO_NOTHING"": 6287, ""ENTER_BUY"": 25, ""ENTER_SELL"": 76}}",False
