threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,asia,39224,2787,0.071053,0.293147,0.199591,556.26,1.39401,95.63,0.289014,0.298734,0.400364,"{""DO_NOTHING"": 36437, ""ENTER_BUY"": 1602, ""ENTER_SELL"": 1185}","{""DO_NOTHING"": 31612, ""ENTER_BUY"": 3624, ""ENTER_SELL"": 3988}","{""DO_NOTHING"": {""DO_NOTHING"": 30181, ""ENTER_BUY"": 910, ""ENTER_SELL"": 521}, ""ENTER_BUY"": {""DO_NOTHING"": 2851, ""ENTER_BUY"": 463, ""ENTER_SELL"": 310}, ""ENTER_SELL"": {""DO_NOTHING"": 3405, ""ENTER_BUY"": 229, ""ENTER_SELL"": 354}}",False
0.40,inactive,11059,2102,0.190071,0.239296,-0.137398,-288.81,0.790605,303.79,0.344027,0.160267,0.431213,"{""DO_NOTHING"": 8957, ""ENTER_BUY"": 904, ""ENTER_SELL"": 1198}","{""DO_NOTHING"": 8216, ""ENTER_BUY"": 1473, ""ENTER_SELL"": 1370}","{""DO_NOTHING"": {""DO_NOTHING"": 7577, ""ENTER_BUY"": 199, ""ENTER_SELL"": 440}, ""ENTER_BUY"": {""DO_NOTHING"": 596, ""ENTER_BUY"": 311, ""ENTER_SELL"": 566}, ""ENTER_SELL"": {""DO_NOTHING"": 784, ""ENTER_BUY"": 394, ""ENTER_SELL"": 192}}",False
0.40,london,28003,16607,0.593044,0.240621,0.00191,31.72,1.00329,619.52,0.243116,0.238389,0.36802,"{""DO_NOTHING"": 11396, ""ENTER_BUY"": 7844, ""ENTER_SELL"": 8763}","{""DO_NOTHING"": 15835, ""ENTER_BUY"": 5977, ""ENTER_SELL"": 6191}","{""DO_NOTHING"": {""DO_NOTHING"": 7471, ""ENTER_BUY"": 3902, ""ENTER_SELL"": 4462}, ""ENTER_BUY"": {""DO_NOTHING"": 1858, ""ENTER_BUY"": 1907, ""ENTER_SELL"": 2212}, ""ENTER_SELL"": {""DO_NOTHING"": 2067, ""ENTER_BUY"": 2035, ""ENTER_SELL"": 2089}}",False
0.40,new_york,33672,14288,0.424329,0.245871,-0.023077,-329.72,0.961579,652.24,0.239319,0.251459,0.400439,"{""DO_NOTHING"": 19384, ""ENTER_BUY"": 6577, ""ENTER_SELL"": 7711}","{""DO_NOTHING"": 20910, ""ENTER_BUY"": 6308, ""ENTER_SELL"": 6454}","{""DO_NOTHING"": {""DO_NOTHING"": 13765, ""ENTER_BUY"": 3415, ""ENTER_SELL"": 3730}, ""ENTER_BUY"": {""DO_NOTHING"": 2692, ""ENTER_BUY"": 1574, ""ENTER_SELL"": 2042}, ""ENTER_SELL"": {""DO_NOTHING"": 2927, ""ENTER_BUY"": 1588, ""ENTER_SELL"": 1939}}",False
0.40,overlap,22411,21287,0.949846,0.290036,0.027722,590.11,1.045294,491.62,0.273587,0.303885,0.271623,"{""DO_NOTHING"": 1124, ""ENTER_BUY"": 9730, ""ENTER_SELL"": 11557}","{""DO_NOTHING"": 9651, ""ENTER_BUY"": 6372, ""ENTER_SELL"": 6388}","{""DO_NOTHING"": {""DO_NOTHING"": 500, ""ENTER_BUY"": 4477, ""ENTER_SELL"": 4674}, ""ENTER_BUY"": {""DO_NOTHING"": 339, ""ENTER_BUY"": 2662, ""ENTER_SELL"": 3371}, ""ENTER_SELL"": {""DO_NOTHING"": 285, ""ENTER_BUY"": 2591, ""ENTER_SELL"": 3512}}",False
0.50,asia,39224,561,0.014302,0.418895,0.376275,211.09,1.742647,71.38,0.415162,0.422535,0.336494,"{""DO_NOTHING"": 38663, ""ENTER_BUY"": 277, ""ENTER_SELL"": 284}","{""DO_NOTHING"": 31612, ""ENTER_BUY"": 3624, ""ENTER_SELL"": 3988}","{""DO_NOTHING"": {""DO_NOTHING"": 31425, ""ENTER_BUY"": 113, ""ENTER_SELL"": 74}, ""ENTER_BUY"": {""DO_NOTHING"": 3419, ""ENTER_BUY"": 115, ""ENTER_SELL"": 90}, ""ENTER_SELL"": {""DO_NOTHING"": 3819, ""ENTER_BUY"": 49, ""ENTER_SELL"": 120}}",False
0.50,inactive,11059,533,0.048196,0.146341,-0.494465,-263.55,0.377906,263.55,0.20155,0.094545,0.316802,"{""DO_NOTHING"": 10526, ""ENTER_BUY"": 258, ""ENTER_SELL"": 275}","{""DO_NOTHING"": 8216, ""ENTER_BUY"": 1473, ""ENTER_SELL"": 1370}","{""DO_NOTHING"": {""DO_NOTHING"": 8047, ""ENTER_BUY"": 73, ""ENTER_SELL"": 96}, ""ENTER_BUY"": {""DO_NOTHING"": 1268, ""ENTER_BUY"": 52, ""ENTER_SELL"": 153}, ""ENTER_SELL"": {""DO_NOTHING"": 1211, ""ENTER_BUY"": 133, ""ENTER_SELL"": 26}}",False
0.50,london,28003,2222,0.079349,0.258776,-0.003587,-7.97,0.99402,249.73,0.277132,0.242857,0.289545,"{""DO_NOTHING"": 25781, ""ENTER_BUY"": 1032, ""ENTER_SELL"": 1190}","{""DO_NOTHING"": 15835, ""ENTER_BUY"": 5977, ""ENTER_SELL"": 6191}","{""DO_NOTHING"": {""DO_NOTHING"": 14747, ""ENTER_BUY"": 486, ""ENTER_SELL"": 602}, ""ENTER_BUY"": {""DO_NOTHING"": 5392, ""ENTER_BUY"": 286, ""ENTER_SELL"": 299}, ""ENTER_SELL"": {""DO_NOTHING"": 5642, ""ENTER_BUY"": 260, ""ENTER_SELL"": 289}}",False
0.50,new_york,33672,1977,0.058713,0.25392,-0.020126,-39.79,0.966336,148.29,0.255983,0.251969,0.298553,"{""DO_NOTHING"": 31695, ""ENTER_BUY"": 961, ""ENTER_SELL"": 1016}","{""DO_NOTHING"": 20910, ""ENTER_BUY"": 6308, ""ENTER_SELL"": 6454}","{""DO_NOTHING"": {""DO_NOTHING"": 19975, ""ENTER_BUY"": 510, ""ENTER_SELL"": 425}, ""ENTER_BUY"": {""DO_NOTHING"": 5727, ""ENTER_BUY"": 246, ""ENTER_SELL"": 335}, ""ENTER_SELL"": {""DO_NOTHING"": 5993, ""ENTER_BUY"": 205, ""ENTER_SELL"": 256}}",False
0.50,overlap,22411,5309,0.236893,0.304389,0.081823,434.4,1.137465,166.99,0.276012,0.322611,0.301345,"{""DO_NOTHING"": 17102, ""ENTER_BUY"": 2076, ""ENTER_SELL"": 3233}","{""DO_NOTHING"": 9651, ""ENTER_BUY"": 6372, ""ENTER_SELL"": 6388}","{""DO_NOTHING"": {""DO_NOTHING"": 7378, ""ENTER_BUY"": 957, ""ENTER_SELL"": 1316}, ""ENTER_BUY"": {""DO_NOTHING"": 4925, ""ENTER_BUY"": 573, ""ENTER_SELL"": 874}, ""ENTER_SELL"": {""DO_NOTHING"": 4799, ""ENTER_BUY"": 546, ""ENTER_SELL"": 1043}}",False
