threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,UNKNOWN,109,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 109}","{""DO_NOTHING"": 109}","{""DO_NOTHING"": {""DO_NOTHING"": 109, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,early_week,34045,13083,0.384286,0.272262,0.037458,490.06,1.063421,311.94,0.261543,0.28229,0.444401,"{""DO_NOTHING"": 20962, ""ENTER_BUY"": 6324, ""ENTER_SELL"": 6759}","{""DO_NOTHING"": 22398, ""ENTER_BUY"": 5709, ""ENTER_SELL"": 5938}","{""DO_NOTHING"": {""DO_NOTHING"": 16428, ""ENTER_BUY"": 3033, ""ENTER_SELL"": 2937}, ""ENTER_BUY"": {""DO_NOTHING"": 2141, ""ENTER_BUY"": 1654, ""ENTER_SELL"": 1914}, ""ENTER_SELL"": {""DO_NOTHING"": 2393, ""ENTER_BUY"": 1637, ""ENTER_SELL"": 1908}}",False
0.40,late_week,33431,16472,0.492716,0.247754,-0.042341,-697.44,0.930846,1178.88,0.266167,0.232935,0.407713,"{""DO_NOTHING"": 16959, ""ENTER_BUY"": 7345, ""ENTER_SELL"": 9127}","{""DO_NOTHING"": 20071, ""ENTER_BUY"": 6982, ""ENTER_SELL"": 6378}","{""DO_NOTHING"": {""DO_NOTHING"": 12516, ""ENTER_BUY"": 3372, ""ENTER_SELL"": 4183}, ""ENTER_BUY"": {""DO_NOTHING"": 2209, ""ENTER_BUY"": 1955, ""ENTER_SELL"": 2818}, ""ENTER_SELL"": {""DO_NOTHING"": 2234, ""ENTER_BUY"": 2018, ""ENTER_SELL"": 2126}}",False
0.40,mid_week,66784,27516,0.412015,0.267481,0.027873,766.94,1.047255,550.65,0.254697,0.27891,0.437996,"{""DO_NOTHING"": 39268, ""ENTER_BUY"": 12988, ""ENTER_SELL"": 14528}","{""DO_NOTHING"": 43646, ""ENTER_BUY"": 11063, ""ENTER_SELL"": 12075}","{""DO_NOTHING"": {""DO_NOTHING"": 30441, ""ENTER_BUY"": 6498, ""ENTER_SELL"": 6707}, ""ENTER_BUY"": {""DO_NOTHING"": 3986, ""ENTER_BUY"": 3308, ""ENTER_SELL"": 3769}, ""ENTER_SELL"": {""DO_NOTHING"": 4841, ""ENTER_BUY"": 3182, ""ENTER_SELL"": 4052}}",False
0.50,UNKNOWN,109,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 109}","{""DO_NOTHING"": 109}","{""DO_NOTHING"": {""DO_NOTHING"": 109, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.50,early_week,34045,2367,0.069526,0.316434,0.172543,408.41,1.315848,232.17,0.303863,0.328619,0.334423,"{""DO_NOTHING"": 31678, ""ENTER_BUY"": 1165, ""ENTER_SELL"": 1202}","{""DO_NOTHING"": 22398, ""ENTER_BUY"": 5709, ""ENTER_SELL"": 5938}","{""DO_NOTHING"": {""DO_NOTHING"": 21350, ""ENTER_BUY"": 544, ""ENTER_SELL"": 504}, ""ENTER_BUY"": {""DO_NOTHING"": 5052, ""ENTER_BUY"": 354, ""ENTER_SELL"": 303}, ""ENTER_SELL"": {""DO_NOTHING"": 5276, ""ENTER_BUY"": 267, ""ENTER_SELL"": 395}}",False
0.50,late_week,33431,3109,0.092998,0.264394,-0.080431,-250.06,0.876375,293.68,0.248844,0.275538,0.31562,"{""DO_NOTHING"": 30322, ""ENTER_BUY"": 1298, ""ENTER_SELL"": 1811}","{""DO_NOTHING"": 20071, ""ENTER_BUY"": 6982, ""ENTER_SELL"": 6378}","{""DO_NOTHING"": {""DO_NOTHING"": 18821, ""ENTER_BUY"": 542, ""ENTER_SELL"": 708}, ""ENTER_BUY"": {""DO_NOTHING"": 6055, ""ENTER_BUY"": 323, ""ENTER_SELL"": 604}, ""ENTER_SELL"": {""DO_NOTHING"": 5446, ""ENTER_BUY"": 433, ""ENTER_SELL"": 499}}",False
0.50,mid_week,66784,5126,0.076755,0.279945,0.034302,175.83,1.057331,362.85,0.277908,0.281407,0.328641,"{""DO_NOTHING"": 61658, ""ENTER_BUY"": 2141, ""ENTER_SELL"": 2985}","{""DO_NOTHING"": 43646, ""ENTER_BUY"": 11063, ""ENTER_SELL"": 12075}","{""DO_NOTHING"": {""DO_NOTHING"": 41292, ""ENTER_BUY"": 1053, ""ENTER_SELL"": 1301}, ""ENTER_BUY"": {""DO_NOTHING"": 9624, ""ENTER_BUY"": 595, ""ENTER_SELL"": 844}, ""ENTER_SELL"": {""DO_NOTHING"": 10742, ""ENTER_BUY"": 493, ""ENTER_SELL"": 840}}",False
0.60,UNKNOWN,109,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 109}","{""DO_NOTHING"": 109}","{""DO_NOTHING"": {""DO_NOTHING"": 109, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.60,early_week,34045,119,0.003495,0.672269,1.016807,121.0,4.102564,15.0,0.679245,0.666667,0.273959,"{""DO_NOTHING"": 33926, ""ENTER_BUY"": 53, ""ENTER_SELL"": 66}","{""DO_NOTHING"": 22398, ""ENTER_BUY"": 5709, ""ENTER_SELL"": 5938}","{""DO_NOTHING"": {""DO_NOTHING"": 22381, ""ENTER_BUY"": 6, ""ENTER_SELL"": 11}, ""ENTER_BUY"": {""DO_NOTHING"": 5662, ""ENTER_BUY"": 36, ""ENTER_SELL"": 11}, ""ENTER_SELL"": {""DO_NOTHING"": 5883, ""ENTER_BUY"": 11, ""ENTER_SELL"": 44}}",False
0.60,late_week,33431,121,0.003619,0.239669,-0.233471,-28.25,0.678831,47.06,0.188889,0.387097,0.25304,"{""DO_NOTHING"": 33310, ""ENTER_BUY"": 90, ""ENTER_SELL"": 31}","{""DO_NOTHING"": 20071, ""ENTER_BUY"": 6982, ""ENTER_SELL"": 6378}","{""DO_NOTHING"": {""DO_NOTHING"": 20033, ""ENTER_BUY"": 28, ""ENTER_SELL"": 10}, ""ENTER_BUY"": {""DO_NOTHING"": 6956, ""ENTER_BUY"": 17, ""ENTER_SELL"": 9}, ""ENTER_SELL"": {""DO_NOTHING"": 6321, ""ENTER_BUY"": 45, ""ENTER_SELL"": 12}}",False
0.60,mid_week,66784,277,0.004148,0.397112,0.314332,87.07,1.608328,47.79,0.272727,0.427928,0.269532,"{""DO_NOTHING"": 66507, ""ENTER_BUY"": 55, ""ENTER_SELL"": 222}","{""DO_NOTHING"": 43646, ""ENTER_BUY"": 11063, ""ENTER_SELL"": 12075}","{""DO_NOTHING"": {""DO_NOTHING"": 43535, ""ENTER_BUY"": 35, ""ENTER_SELL"": 76}, ""ENTER_BUY"": {""DO_NOTHING"": 10997, ""ENTER_BUY"": 15, ""ENTER_SELL"": 51}, ""ENTER_SELL"": {""DO_NOTHING"": 11975, ""ENTER_BUY"": 5, ""ENTER_SELL"": 95}}",False
