threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,2020,57774,30872,0.534358,0.577384,0.849537,26226.91,3.401244,71.0,0.59522,0.557598,0.679098,"{""DO_NOTHING"": 26902, ""ENTER_BUY"": 16236, ""ENTER_SELL"": 14636}","{""DO_NOTHING"": 33153, ""ENTER_BUY"": 12918, ""ENTER_SELL"": 11703}","{""DO_NOTHING"": {""DO_NOTHING"": 22660, ""ENTER_BUY"": 5276, ""ENTER_SELL"": 5217}, ""ENTER_BUY"": {""DO_NOTHING"": 1996, ""ENTER_BUY"": 9664, ""ENTER_SELL"": 1258}, ""ENTER_SELL"": {""DO_NOTHING"": 2246, ""ENTER_BUY"": 1296, ""ENTER_SELL"": 8161}}",False
0.40,2021,59739,22969,0.384489,0.644608,1.14315,26257.02,5.804262,55.11,0.681017,0.618496,0.748285,"{""DO_NOTHING"": 36770, ""ENTER_BUY"": 9593, ""ENTER_SELL"": 13376}","{""DO_NOTHING"": 40171, ""ENTER_BUY"": 9042, ""ENTER_SELL"": 10526}","{""DO_NOTHING"": {""DO_NOTHING"": 32756, ""ENTER_BUY"": 2828, ""ENTER_SELL"": 4587}, ""ENTER_BUY"": {""DO_NOTHING"": 1993, ""ENTER_BUY"": 6533, ""ENTER_SELL"": 516}, ""ENTER_SELL"": {""DO_NOTHING"": 2021, ""ENTER_BUY"": 232, ""ENTER_SELL"": 8273}}",False
0.40,2022,59868,40557,0.67744,0.57233,0.819185,33223.7,3.223992,88.16,0.574727,0.570094,0.655606,"{""DO_NOTHING"": 19311, ""ENTER_BUY"": 19578, ""ENTER_SELL"": 20979}","{""DO_NOTHING"": 29639, ""ENTER_BUY"": 14710, ""ENTER_SELL"": 15519}","{""DO_NOTHING"": {""DO_NOTHING"": 16034, ""ENTER_BUY"": 6587, ""ENTER_SELL"": 7018}, ""ENTER_BUY"": {""DO_NOTHING"": 1457, ""ENTER_BUY"": 11252, ""ENTER_SELL"": 2001}, ""ENTER_SELL"": {""DO_NOTHING"": 1820, ""ENTER_BUY"": 1739, ""ENTER_SELL"": 11960}}",False
0.40,2023,59751,27714,0.463825,0.58696,0.909799,25214.18,3.745019,93.56,0.582735,0.591312,0.690378,"{""DO_NOTHING"": 32037, ""ENTER_BUY"": 14063, ""ENTER_SELL"": 13651}","{""DO_NOTHING"": 36672, ""ENTER_BUY"": 11540, ""ENTER_SELL"": 11539}","{""DO_NOTHING"": {""DO_NOTHING"": 27143, ""ENTER_BUY"": 4976, ""ENTER_SELL"": 4553}, ""ENTER_BUY"": {""DO_NOTHING"": 2319, ""ENTER_BUY"": 8195, ""ENTER_SELL"": 1026}, ""ENTER_SELL"": {""DO_NOTHING"": 2575, ""ENTER_BUY"": 892, ""ENTER_SELL"": 8072}}",False
0.40,2024,59378,20043,0.337549,0.23719,0.00399,79.98,1.006912,608.79,0.232808,0.244551,0.431448,"{""DO_NOTHING"": 39335, ""ENTER_BUY"": 12564, ""ENTER_SELL"": 7479}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}","{""DO_NOTHING"": {""DO_NOTHING"": 32179, ""ENTER_BUY"": 6584, ""ENTER_SELL"": 3687}, ""ENTER_BUY"": {""DO_NOTHING"": 3260, ""ENTER_BUY"": 2925, ""ENTER_SELL"": 1963}, ""ENTER_SELL"": {""DO_NOTHING"": 3896, ""ENTER_BUY"": 3055, ""ENTER_SELL"": 1829}}",False
0.40,2025,58681,29509,0.502871,0.284015,0.033947,1001.73,1.05648,631.63,0.297405,0.275391,0.425335,"{""DO_NOTHING"": 29172, ""ENTER_BUY"": 11560, ""ENTER_SELL"": 17949}","{""DO_NOTHING"": 34044, ""ENTER_BUY"": 12416, ""ENTER_SELL"": 12221}","{""DO_NOTHING"": {""DO_NOTHING"": 20910, ""ENTER_BUY"": 5126, ""ENTER_SELL"": 8008}, ""ENTER_BUY"": {""DO_NOTHING"": 3980, ""ENTER_BUY"": 3438, ""ENTER_SELL"": 4998}, ""ENTER_SELL"": {""DO_NOTHING"": 4282, ""ENTER_BUY"": 2996, ""ENTER_SELL"": 4943}}",False
0.40,2026,16310,7519,0.461006,0.248437,-0.069444,-522.15,0.889718,679.75,0.218713,0.263538,0.399669,"{""DO_NOTHING"": 8791, ""ENTER_BUY"": 2533, ""ENTER_SELL"": 4986}","{""DO_NOTHING"": 9730, ""ENTER_BUY"": 3190, ""ENTER_SELL"": 3390}","{""DO_NOTHING"": {""DO_NOTHING"": 6405, ""ENTER_BUY"": 1193, ""ENTER_SELL"": 2132}, ""ENTER_BUY"": {""DO_NOTHING"": 1096, ""ENTER_BUY"": 554, ""ENTER_SELL"": 1540}, ""ENTER_SELL"": {""DO_NOTHING"": 1290, ""ENTER_BUY"": 786, ""ENTER_SELL"": 1314}}",False
0.50,2020,57774,10503,0.181795,0.772732,1.389024,14588.92,8.351322,26.0,0.776756,0.767411,0.563394,"{""DO_NOTHING"": 47271, ""ENTER_BUY"": 5980, ""ENTER_SELL"": 4523}","{""DO_NOTHING"": 33153, ""ENTER_BUY"": 12918, ""ENTER_SELL"": 11703}","{""DO_NOTHING"": {""DO_NOTHING"": 30994, ""ENTER_BUY"": 1209, ""ENTER_SELL"": 950}, ""ENTER_BUY"": {""DO_NOTHING"": 8171, ""ENTER_BUY"": 4645, ""ENTER_SELL"": 102}, ""ENTER_SELL"": {""DO_NOTHING"": 8106, ""ENTER_BUY"": 126, ""ENTER_SELL"": 3471}}",False
0.50,2021,59739,11843,0.198246,0.804019,1.542262,18265.01,12.979491,31.0,0.833509,0.784222,0.689304,"{""DO_NOTHING"": 47896, ""ENTER_BUY"": 4757, ""ENTER_SELL"": 7086}","{""DO_NOTHING"": 40171, ""ENTER_BUY"": 9042, ""ENTER_SELL"": 10526}","{""DO_NOTHING"": {""DO_NOTHING"": 37965, ""ENTER_BUY"": 760, ""ENTER_SELL"": 1446}, ""ENTER_BUY"": {""DO_NOTHING"": 4994, ""ENTER_BUY"": 3965, ""ENTER_SELL"": 83}, ""ENTER_SELL"": {""DO_NOTHING"": 4937, ""ENTER_BUY"": 32, ""ENTER_SELL"": 5557}}",False
0.50,2022,59868,16054,0.268157,0.758316,1.350425,21679.72,7.717166,44.0,0.751266,0.765139,0.589186,"{""DO_NOTHING"": 43814, ""ENTER_BUY"": 7896, ""ENTER_SELL"": 8158}","{""DO_NOTHING"": 29639, ""ENTER_BUY"": 14710, ""ENTER_SELL"": 15519}","{""DO_NOTHING"": {""DO_NOTHING"": 26277, ""ENTER_BUY"": 1700, ""ENTER_SELL"": 1662}, ""ENTER_BUY"": {""DO_NOTHING"": 8524, ""ENTER_BUY"": 5932, ""ENTER_SELL"": 254}, ""ENTER_SELL"": {""DO_NOTHING"": 9013, ""ENTER_BUY"": 264, ""ENTER_SELL"": 6242}}",False
