feature,importance,method
hour,0.036725145,permutation_f1_macro
weekday,0.0183875126,permutation_f1_macro
session,0.0156268726,permutation_f1_macro
volatility_12,0.0042624323,permutation_f1_macro
d1_market_structure,0.0014012945,permutation_f1_macro
h1_ema_20,0.0011516072,permutation_f1_macro
htf_h4_structure,0.0009861202,permutation_f1_macro
ema_20_50_distance,0.0009097906,permutation_f1_macro
ema_20,0.000874098,permutation_f1_macro
returns_3,0.0006796518,permutation_f1_macro
returns_6,0.0006172617,permutation_f1_macro
close_to_ema20,0.0004689389,permutation_f1_macro
m15_recent_range,0.0002998043,permutation_f1_macro
h4_market_structure,0.0002869228,permutation_f1_macro
h4_ema_20,0.0002437507,permutation_f1_macro
returns_1,0.0002363625,permutation_f1_macro
close_to_ema50,0.0001327409,permutation_f1_macro
anchor_high,0.0001088095,permutation_f1_macro
h4_ema_200,4.30027e-05,permutation_f1_macro
momentum,1.479e-06,permutation_f1_macro
candle_body_pct,0.0,permutation_f1_macro
upper_wick_pct,0.0,permutation_f1_macro
lower_wick_pct,0.0,permutation_f1_macro
ema_20_slope,0.0,permutation_f1_macro
ema_50_slope,0.0,permutation_f1_macro
market_structure,0.0,permutation_f1_macro
mtf_alignment_status,0.0,permutation_f1_macro
m15_market_structure,0.0,permutation_f1_macro
m15_structure_direction,0.0,permutation_f1_macro
m15_candle_pattern,0.0,permutation_f1_macro
h1_ema_50,0.0,permutation_f1_macro
h1_ema_200,0.0,permutation_f1_macro
h1_rsi_14,0.0,permutation_f1_macro
h1_market_structure,0.0,permutation_f1_macro
h1_structure_direction,0.0,permutation_f1_macro
h1_recent_range,0.0,permutation_f1_macro
d1_ema_50,-0.0001006073,permutation_f1_macro
h4_ema_50,-0.0001423913,permutation_f1_macro
m15_ema_200,-0.0002106065,permutation_f1_macro
anchor_close,-0.0002158435,permutation_f1_macro
structure_direction,-0.0002795376,permutation_f1_macro
h1_candle_pattern,-0.0003394037,permutation_f1_macro
htf_directional_alignment,-0.0005701683,permutation_f1_macro
htf_d1_structure,-0.0007609533,permutation_f1_macro
d1_ema_200,-0.0008250475,permutation_f1_macro
anchor_open,-0.000874326,permutation_f1_macro
spread_pips,-0.0008885334,permutation_f1_macro
recent_range,-0.0008950999,permutation_f1_macro
resistance_distance_pips,-0.0009174842,permutation_f1_macro
m15_ema_50,-0.0011308182,permutation_f1_macro
h4_candle_pattern,-0.0013935715,permutation_f1_macro
anchor_low,-0.0015405376,permutation_f1_macro
support_distance_pips,-0.0016059942,permutation_f1_macro
d1_candle_pattern,-0.0016582258,permutation_f1_macro
h4_structure_direction,-0.0021850395,permutation_f1_macro
ema_200,-0.0021887285,permutation_f1_macro
ema_50,-0.0023284361,permutation_f1_macro
close_to_ema200,-0.0023598247,permutation_f1_macro
d1_ema_20,-0.0027484166,permutation_f1_macro
m15_ema_20,-0.0036303915,permutation_f1_macro
atr,-0.0036916069,permutation_f1_macro
d1_recent_range,-0.003874751,permutation_f1_macro
daily_range_position,-0.0039529612,permutation_f1_macro
h4_rsi_14,-0.0039558923,permutation_f1_macro
ema_50_200_distance,-0.0039841033,permutation_f1_macro
regime,-0.0051310704,permutation_f1_macro
d1_rsi_14,-0.0055307484,permutation_f1_macro
d1_structure_direction,-0.0056131997,permutation_f1_macro
m15_rsi_14,-0.0062371402,permutation_f1_macro
rsi_14,-0.0064790801,permutation_f1_macro
h4_recent_range,-0.0068412776,permutation_f1_macro
