variant,threshold,quarter,rows,trades,coverage,trade_precision,buy_precision,sell_precision,avg_r,total_r,profit_factor,max_drawdown_r,prediction_distribution,target_distribution,low_sample
no_policy,0.40,2024Q1,14657,4937,0.336836,0.236581,0.222718,0.250405,-0.014928,-73.7,0.975031,420.28,"{""DO_NOTHING"": 9720, ""ENTER_BUY"": 2465, ""ENTER_SELL"": 2472}","{""DO_NOTHING"": 10616, ""ENTER_BUY"": 1838, ""ENTER_SELL"": 2203}",False
no_policy,0.40,2024Q2,14989,4954,0.330509,0.208115,0.218328,0.183978,-0.028557,-141.47,0.95036,548.52,"{""DO_NOTHING"": 10035, ""ENTER_BUY"": 3481, ""ENTER_SELL"": 1473}","{""DO_NOTHING"": 11119, ""ENTER_BUY"": 1910, ""ENTER_SELL"": 1960}",False
no_policy,0.40,2024Q3,14801,4418,0.298493,0.224083,0.225,0.22314,0.025661,113.37,1.046723,382.72,"{""DO_NOTHING"": 10383, ""ENTER_BUY"": 2240, ""ENTER_SELL"": 2178}","{""DO_NOTHING"": 11126, ""ENTER_BUY"": 1944, ""ENTER_SELL"": 1731}",False
no_policy,0.40,2024Q4,14931,6255,0.418927,0.278337,0.25516,0.316099,0.06487,405.76,1.112027,391.76,"{""DO_NOTHING"": 8676, ""ENTER_BUY"": 3876, ""ENTER_SELL"": 2379}","{""DO_NOTHING"": 9589, ""ENTER_BUY"": 2456, ""ENTER_SELL"": 2886}",False
no_policy,0.40,2025Q1,14033,7572,0.539585,0.283281,0.294922,0.267874,0.018658,141.28,1.03072,473.62,"{""DO_NOTHING"": 6461, ""ENTER_BUY"": 4313, ""ENTER_SELL"": 3259}","{""DO_NOTHING"": 8014, ""ENTER_BUY"": 2997, ""ENTER_SELL"": 3022}",False
no_policy,0.40,2025Q2,14977,8421,0.562262,0.34414,0.404128,0.304647,0.085496,719.96,1.137266,392.52,"{""DO_NOTHING"": 6556, ""ENTER_BUY"": 3343, ""ENTER_SELL"": 5078}","{""DO_NOTHING"": 6935, ""ENTER_BUY"": 4443, ""ENTER_SELL"": 3599}",False
no_policy,0.40,2025Q3,15034,6874,0.45723,0.295461,0.255196,0.309024,0.036491,250.84,1.059627,366.02,"{""DO_NOTHING"": 8160, ""ENTER_BUY"": 1732, ""ENTER_SELL"": 5142}","{""DO_NOTHING"": 8829, ""ENTER_BUY"": 2783, ""ENTER_SELL"": 3422}",False
no_policy,0.40,2025Q4,14637,5286,0.36114,0.267877,0.278081,0.265736,0.135626,716.92,1.256844,293.09,"{""DO_NOTHING"": 9351, ""ENTER_BUY"": 917, ""ENTER_SELL"": 4369}","{""DO_NOTHING"": 10266, ""ENTER_BUY"": 2193, ""ENTER_SELL"": 2178}",False
no_policy,0.40,2026Q1,14016,5929,0.423017,0.307303,0.304975,0.308497,0.096421,571.68,1.166248,301.7,"{""DO_NOTHING"": 8087, ""ENTER_BUY"": 2010, ""ENTER_SELL"": 3919}","{""DO_NOTHING"": 8447, ""ENTER_BUY"": 2498, ""ENTER_SELL"": 3071}",False
no_policy,0.40,2026Q2,2294,1160,0.505667,0.159483,0.666667,0.152838,-0.318733,-369.73,0.548477,430.54,"{""DO_NOTHING"": 1134, ""ENTER_BUY"": 15, ""ENTER_SELL"": 1145}","{""DO_NOTHING"": 1283, ""ENTER_BUY"": 692, ""ENTER_SELL"": 319}",False
rich_policy_light,0.40,2024Q1,14657,4359,0.297401,0.247993,0.244215,0.251289,0.028986,126.35,1.049882,378.28,"{""DO_NOTHING"": 10298, ""ENTER_BUY"": 2031, ""ENTER_SELL"": 2328}","{""DO_NOTHING"": 10616, ""ENTER_BUY"": 1838, ""ENTER_SELL"": 2203}",False
rich_policy_light,0.40,2024Q2,14989,4231,0.282274,0.210116,0.225687,0.172938,-0.014339,-60.67,0.97487,417.78,"{""DO_NOTHING"": 10758, ""ENTER_BUY"": 2982, ""ENTER_SELL"": 1249}","{""DO_NOTHING"": 11119, ""ENTER_BUY"": 1910, ""ENTER_SELL"": 1960}",False
rich_policy_light,0.40,2024Q3,14801,3127,0.21127,0.213303,0.23193,0.19401,0.035241,110.2,1.065921,416.28,"{""DO_NOTHING"": 11674, ""ENTER_BUY"": 1591, ""ENTER_SELL"": 1536}","{""DO_NOTHING"": 11126, ""ENTER_BUY"": 1944, ""ENTER_SELL"": 1731}",False
rich_policy_light,0.40,2024Q4,14931,6016,0.40292,0.281416,0.257304,0.320788,0.080849,486.39,1.141191,353.76,"{""DO_NOTHING"": 8915, ""ENTER_BUY"": 3731, ""ENTER_SELL"": 2285}","{""DO_NOTHING"": 9589, ""ENTER_BUY"": 2456, ""ENTER_SELL"": 2886}",False
rich_policy_light,0.40,2025Q1,14033,5408,0.385377,0.279956,0.289679,0.262699,0.035595,192.5,1.059722,270.51,"{""DO_NOTHING"": 8625, ""ENTER_BUY"": 3459, ""ENTER_SELL"": 1949}","{""DO_NOTHING"": 8014, ""ENTER_BUY"": 2997, ""ENTER_SELL"": 3022}",False
rich_policy_light,0.40,2025Q2,14977,6064,0.404887,0.333113,0.392953,0.287866,0.049573,300.61,1.078099,296.47,"{""DO_NOTHING"": 8913, ""ENTER_BUY"": 2611, ""ENTER_SELL"": 3453}","{""DO_NOTHING"": 6935, ""ENTER_BUY"": 4443, ""ENTER_SELL"": 3599}",False
rich_policy_light,0.40,2025Q3,15034,5805,0.386125,0.294574,0.266176,0.303262,0.047006,272.87,1.077424,301.69,"{""DO_NOTHING"": 9229, ""ENTER_BUY"": 1360, ""ENTER_SELL"": 4445}","{""DO_NOTHING"": 8829, ""ENTER_BUY"": 2783, ""ENTER_SELL"": 3422}",False
