trades,coverage,avg_r,total_r,profit_factor,max_drawdown_r,win_rate,trade_precision,threshold,split,month,buy_trades,buy_avg_r,buy_total_r,buy_profit_factor,buy_max_drawdown_r,buy_win_rate,buy_precision,sell_trades,sell_avg_r,sell_total_r,sell_profit_factor,sell_max_drawdown_r,sell_win_rate,sell_precision
1783,0.368084,-0.067902,-121.07,0.892305,197.59,0.342681,0.255749,040,test,2025-01,1106,-0.038418,-42.49,0.937844,190.86,0.355335,0.264014,677,-0.116071,-78.58,0.821648,125.11,0.322009,0.242245
1641,0.355811,0.057008,93.55,1.100866,197.69,0.393662,0.258988,040,test,2025-02,1152,0.120747,139.1,1.228145,149.85,0.426215,0.260417,489,-0.093149,-45.55,0.856657,153.23,0.316973,0.255624
604,0.131964,0.287748,173.8,1.556623,62.94,0.466887,0.357616,040,test,2025-03,406,0.352586,143.15,1.72492,72.37,0.495074,0.362069,198,0.154798,30.65,1.267056,53.5,0.409091,0.348485
1828,0.352352,0.175016,319.93,1.288868,118.38,0.393873,0.386214,040,test,2025-04,864,0.416586,359.93,1.797134,54.0,0.476852,0.460648,964,-0.041494,-40.0,0.939024,133.0,0.319502,0.319502
1942,0.375193,-0.020865,-40.52,0.967737,185.84,0.340371,0.299691,040,test,2025-05,865,0.137561,118.99,1.229489,81.39,0.387283,0.358382,1077,-0.148106,-159.51,0.783689,193.7,0.302693,0.252553
793,0.171905,-0.021602,-17.13,0.966051,110.1,0.349306,0.282472,040,test,2025-06,324,0.145031,46.99,1.246511,39.09,0.401235,0.351852,469,-0.136716,-64.12,0.79577,120.89,0.313433,0.234542
1486,0.283859,0.234522,348.5,1.437765,85.71,0.444818,0.347914,040,test,2025-07,473,-0.0374,-17.69,0.938392,105.4,0.344609,0.251586,1013,0.361491,366.19,1.719501,96.14,0.491609,0.392892
1484,0.302981,-0.062008,-92.02,0.904353,249.54,0.34097,0.251348,040,test,2025-08,197,0.602843,118.76,2.38093,24.75,0.563452,0.456853,1287,-0.163776,-210.78,0.759406,308.8,0.306915,0.219891
1135,0.231585,0.191648,217.52,1.36237,135.0,0.443172,0.315419,040,test,2025-09,348,-0.183994,-64.03,0.721172,161.17,0.301724,0.206897,787,0.357751,281.55,1.759652,44.39,0.505718,0.363405
1483,0.273163,0.299258,443.8,1.649524,86.92,0.498989,0.306811,040,test,2025-10,283,0.090424,25.59,1.156294,65.75,0.40636,0.30742,1200,0.348508,418.21,1.804962,72.63,0.520833,0.306667
