trades,coverage,avg_r,total_r,profit_factor,max_drawdown_r,win_rate,trade_precision,threshold,split,quarter,buy_trades,buy_avg_r,buy_total_r,buy_profit_factor,buy_max_drawdown_r,buy_win_rate,buy_precision,sell_trades,sell_avg_r,sell_total_r,sell_profit_factor,sell_max_drawdown_r,sell_win_rate,sell_precision
4028,0.287038,0.036316,146.28,1.061881,197.69,0.382075,0.272344,040,test,2025Q1,2664,0.09,239.76,1.16083,190.86,0.407282,0.277402,1364,-0.068534,-93.48,0.892937,170.34,0.332845,0.262463
4563,0.304667,0.05748,262.28,1.09145,266.14,0.363357,0.331361,040,test,2025Q2,2053,0.256167,525.91,1.453117,81.39,0.42718,0.40039,2510,-0.105032,-263.63,0.845593,353.6,0.311155,0.2749
4105,0.273048,0.115469,474.0,1.20098,255.74,0.406821,0.304019,040,test,2025Q3,1018,0.036385,37.04,1.061449,161.17,0.372299,0.276031,3087,0.141548,436.96,1.248886,315.0,0.418205,0.313249
3005,0.205302,0.219564,659.79,1.449543,101.57,0.473211,0.281531,040,test,2025Q4,524,0.231718,121.42,1.468496,65.75,0.48855,0.290076,2481,0.216997,538.37,1.445479,95.56,0.469972,0.279726
3807,0.271618,0.090428,344.26,1.159589,145.87,0.399002,0.287103,040,test,2026Q1,1326,0.00546,7.24,1.009153,121.95,0.377074,0.269985,2481,0.13584,337.02,1.246693,155.59,0.410721,0.296252
459,0.200087,-0.057211,-26.26,0.900311,93.66,0.342048,0.22658,040,test,2026Q2,2,-0.455,-0.91,0.09,1.0,0.5,0.0,457,-0.05547,-25.35,0.903399,93.75,0.341357,0.227571
2755,0.187965,0.038399,105.79,1.066518,295.84,0.388748,0.251543,040,validation,2024Q1,1249,0.043187,53.94,1.075557,169.56,0.40032,0.23779,1506,0.034429,51.85,1.059156,209.15,0.37915,0.262948
2613,0.174328,0.047382,123.81,1.087932,270.64,0.409108,0.213165,040,validation,2024Q2,1845,0.157669,290.9,1.316502,122.19,0.454743,0.23523,768,-0.217565,-167.09,0.65824,266.91,0.299479,0.160156
1907,0.128843,0.023608,45.02,1.046021,290.64,0.4258,0.188254,040,validation,2024Q3,976,0.182172,177.8,1.413354,76.44,0.502049,0.195697,931,-0.142621,-132.78,0.757749,238.3,0.345865,0.180451
4150,0.277945,0.086858,360.46,1.1563,283.61,0.413012,0.271325,040,validation,2024Q4,2636,0.080816,213.03,1.143782,237.59,0.411608,0.271624,1514,0.097378,147.43,1.178792,150.73,0.415456,0.270806
436,0.03107,0.009404,4.1,1.015368,62.71,0.348624,0.284404,050,test,2025Q1,266,0.024398,6.49,1.040268,56.54,0.353383,0.281955,170,-0.014059,-2.39,0.977372,46.27,0.341176,0.288235
593,0.039594,0.060304,35.76,1.094105,134.09,0.359191,0.347386,050,test,2025Q2,257,0.639961,164.47,2.417845,48.38,0.548638,0.540856,336,-0.383065,-128.71,0.512462,142.71,0.214286,0.199405
724,0.048158,0.173909,125.91,1.309688,72.42,0.418508,0.334254,050,test,2025Q3,159,0.302327,48.07,1.543963,61.0,0.433962,0.408805,565,0.13777,77.84,1.244626,46.99,0.414159,0.313274
363,0.0248,0.449972,163.34,2.108066,38.42,0.53719,0.374656,050,test,2025Q4,36,0.410833,14.79,1.980769,12.0,0.555556,0.361111,327,0.454281,148.55,2.122572,38.42,0.535168,0.376147
766,0.054652,0.237689,182.07,1.438417,80.0,0.43342,0.365535,050,test,2026Q1,123,0.163171,20.07,1.329503,25.0,0.471545,0.260163,643,0.251944,162.0,1.457136,80.0,0.426128,0.385692
113,0.049259,-0.201062,-22.72,0.688767,53.89,0.300885,0.20354,050,test,2026Q2,0,0.0,0.0,0.0,0.0,0.0,0.0,113,-0.201062,-22.72,0.688767,53.89,0.300885,0.20354
553,0.037729,0.250922,138.76,1.481806,75.21,0.464738,0.321881,050,validation,2024Q1,232,0.089698,20.81,1.162654,77.21,0.431034,0.237069,321,0.367445,117.95,1.736911,50.82,0.489097,0.383178
392,0.026153,0.336352,131.85,1.708528,67.19,0.497449,0.334184,050,validation,2024Q2,319,0.38558,123.0,1.859959,50.19,0.523511,0.332288,73,0.121233,8.85,1.205527,28.8,0.383562,0.342466
172,0.011621,0.258372,44.44,1.597794,26.31,0.488372,0.267442,050,validation,2024Q3,110,0.204,22.44,1.491782,26.31,0.509091,0.190909,62,0.354839,22.0,1.766284,19.74,0.451613,0.403226
795,0.053245,0.157899,125.53,1.298717,60.98,0.442767,0.295597,050,validation,2024Q4,531,0.161488,85.75,1.303938,62.86,0.436911,0.310734,264,0.150682,39.78,1.288052,64.27,0.454545,0.265152
