threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,2020-01,3168,464,0.146465,0.549569,0.983082,456.15,4.483657,45.0,0.916667,0.438202,0.723777,"{""DO_NOTHING"": 2704, ""ENTER_BUY"": 108, ""ENTER_SELL"": 356}","{""DO_NOTHING"": 2783, ""ENTER_BUY"": 188, ""ENTER_SELL"": 197}","{""DO_NOTHING"": {""DO_NOTHING"": 2574, ""ENTER_BUY"": 9, ""ENTER_SELL"": 200}, ""ENTER_BUY"": {""DO_NOTHING"": 89, ""ENTER_BUY"": 99, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 41, ""ENTER_BUY"": 0, ""ENTER_SELL"": 156}}",False
0.40,2020-02,4608,1574,0.34158,0.645489,1.173399,1846.93,6.308948,28.64,0.630653,0.660668,0.770662,"{""DO_NOTHING"": 3034, ""ENTER_BUY"": 796, ""ENTER_SELL"": 778}","{""DO_NOTHING"": 3325, ""ENTER_BUY"": 637, ""ENTER_SELL"": 646}","{""DO_NOTHING"": {""DO_NOTHING"": 2828, ""ENTER_BUY"": 265, ""ENTER_SELL"": 232}, ""ENTER_BUY"": {""DO_NOTHING"": 103, ""ENTER_BUY"": 502, ""ENTER_SELL"": 32}, ""ENTER_SELL"": {""DO_NOTHING"": 103, ""ENTER_BUY"": 29, ""ENTER_SELL"": 514}}",False
0.40,2020-03,4862,4339,0.892431,0.545517,0.6479,2811.24,2.446751,49.77,0.56474,0.527605,0.543828,"{""DO_NOTHING"": 523, ""ENTER_BUY"": 2093, ""ENTER_SELL"": 2246}","{""DO_NOTHING"": 1796, ""ENTER_BUY"": 1567, ""ENTER_SELL"": 1499}","{""DO_NOTHING"": {""DO_NOTHING"": 409, ""ENTER_BUY"": 660, ""ENTER_SELL"": 727}, ""ENTER_BUY"": {""DO_NOTHING"": 51, ""ENTER_BUY"": 1182, ""ENTER_SELL"": 334}, ""ENTER_SELL"": {""DO_NOTHING"": 63, ""ENTER_BUY"": 251, ""ENTER_SELL"": 1185}}",False
0.40,2020-04,5184,3327,0.641782,0.577397,0.815705,2713.85,3.193967,47.0,0.549127,0.61204,0.641972,"{""DO_NOTHING"": 1857, ""ENTER_BUY"": 1832, ""ENTER_SELL"": 1495}","{""DO_NOTHING"": 2511, ""ENTER_BUY"": 1315, ""ENTER_SELL"": 1358}","{""DO_NOTHING"": {""DO_NOTHING"": 1409, ""ENTER_BUY"": 602, ""ENTER_SELL"": 500}, ""ENTER_BUY"": {""DO_NOTHING"": 229, ""ENTER_BUY"": 1006, ""ENTER_SELL"": 80}, ""ENTER_SELL"": {""DO_NOTHING"": 219, ""ENTER_BUY"": 224, ""ENTER_SELL"": 915}}",False
0.40,2020-05,4895,2543,0.51951,0.621313,1.005423,2556.79,4.376147,57.0,0.629161,0.60999,0.690817,"{""DO_NOTHING"": 2352, ""ENTER_BUY"": 1502, ""ENTER_SELL"": 1041}","{""DO_NOTHING"": 2692, ""ENTER_BUY"": 1273, ""ENTER_SELL"": 930}","{""DO_NOTHING"": {""DO_NOTHING"": 1884, ""ENTER_BUY"": 478, ""ENTER_SELL"": 330}, ""ENTER_BUY"": {""DO_NOTHING"": 252, ""ENTER_BUY"": 945, ""ENTER_SELL"": 76}, ""ENTER_SELL"": {""DO_NOTHING"": 216, ""ENTER_BUY"": 79, ""ENTER_SELL"": 635}}",False
0.40,2020-06,4897,2608,0.532571,0.543712,0.695464,1813.77,2.666654,50.0,0.530599,0.564027,0.631468,"{""DO_NOTHING"": 2289, ""ENTER_BUY"": 1585, ""ENTER_SELL"": 1023}","{""DO_NOTHING"": 2681, ""ENTER_BUY"": 1121, ""ENTER_SELL"": 1095}","{""DO_NOTHING"": {""DO_NOTHING"": 1809, ""ENTER_BUY"": 519, ""ENTER_SELL"": 353}, ""ENTER_BUY"": {""DO_NOTHING"": 187, ""ENTER_BUY"": 841, ""ENTER_SELL"": 93}, ""ENTER_SELL"": {""DO_NOTHING"": 293, ""ENTER_BUY"": 225, ""ENTER_SELL"": 577}}",False
0.40,2020-07,5471,2954,0.539938,0.572783,0.784005,2315.95,2.996905,68.83,0.580803,0.559459,0.658944,"{""DO_NOTHING"": 2517, ""ENTER_BUY"": 1844, ""ENTER_SELL"": 1110}","{""DO_NOTHING"": 3026, ""ENTER_BUY"": 1358, ""ENTER_SELL"": 1087}","{""DO_NOTHING"": {""DO_NOTHING"": 2058, ""ENTER_BUY"": 593, ""ENTER_SELL"": 375}, ""ENTER_BUY"": {""DO_NOTHING"": 173, ""ENTER_BUY"": 1071, ""ENTER_SELL"": 114}, ""ENTER_SELL"": {""DO_NOTHING"": 286, ""ENTER_BUY"": 180, ""ENTER_SELL"": 621}}",False
0.40,2020-08,4609,2721,0.590367,0.583976,0.846251,2302.65,3.372667,65.32,0.609814,0.542857,0.664882,"{""DO_NOTHING"": 1888, ""ENTER_BUY"": 1671, ""ENTER_SELL"": 1050}","{""DO_NOTHING"": 2426, ""ENTER_BUY"": 1278, ""ENTER_SELL"": 905}","{""DO_NOTHING"": {""DO_NOTHING"": 1554, ""ENTER_BUY"": 496, ""ENTER_SELL"": 376}, ""ENTER_BUY"": {""DO_NOTHING"": 155, ""ENTER_BUY"": 1019, ""ENTER_SELL"": 104}, ""ENTER_SELL"": {""DO_NOTHING"": 179, ""ENTER_BUY"": 156, ""ENTER_SELL"": 570}}",False
0.40,2020-09,5184,2950,0.569059,0.621695,0.940614,2774.81,3.823286,40.0,0.58751,0.648518,0.691226,"{""DO_NOTHING"": 2234, ""ENTER_BUY"": 1297, ""ENTER_SELL"": 1653}","{""DO_NOTHING"": 2723, ""ENTER_BUY"": 1104, ""ENTER_SELL"": 1357}","{""DO_NOTHING"": {""DO_NOTHING"": 1801, ""ENTER_BUY"": 452, ""ENTER_SELL"": 470}, ""ENTER_BUY"": {""DO_NOTHING"": 231, ""ENTER_BUY"": 762, ""ENTER_SELL"": 111}, ""ENTER_SELL"": {""DO_NOTHING"": 202, ""ENTER_BUY"": 83, ""ENTER_SELL"": 1072}}",False
0.40,2020-10,5171,2082,0.40263,0.556196,0.825183,1718.03,3.352435,64.69,0.560372,0.552561,0.662017,"{""DO_NOTHING"": 3089, ""ENTER_BUY"": 969, ""ENTER_SELL"": 1113}","{""DO_NOTHING"": 3335, ""ENTER_BUY"": 848, ""ENTER_SELL"": 988}","{""DO_NOTHING"": {""DO_NOTHING"": 2579, ""ENTER_BUY"": 352, ""ENTER_SELL"": 404}, ""ENTER_BUY"": {""DO_NOTHING"": 211, ""ENTER_BUY"": 543, ""ENTER_SELL"": 94}, ""ENTER_SELL"": {""DO_NOTHING"": 299, ""ENTER_BUY"": 74, ""ENTER_SELL"": 615}}",False
