threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,2020Q1,12638,6377,0.504589,0.570488,0.801995,5114.32,3.111636,49.77,0.594928,0.548817,0.710189,"{""DO_NOTHING"": 6261, ""ENTER_BUY"": 2997, ""ENTER_SELL"": 3380}","{""DO_NOTHING"": 7904, ""ENTER_BUY"": 2392, ""ENTER_SELL"": 2342}","{""DO_NOTHING"": {""DO_NOTHING"": 5811, ""ENTER_BUY"": 934, ""ENTER_SELL"": 1159}, ""ENTER_BUY"": {""DO_NOTHING"": 243, ""ENTER_BUY"": 1783, ""ENTER_SELL"": 366}, ""ENTER_SELL"": {""DO_NOTHING"": 207, ""ENTER_BUY"": 280, ""ENTER_SELL"": 1855}}",False
0.40,2020Q2,14976,8478,0.566106,0.580208,0.835623,7084.41,3.298238,57.0,0.567595,0.59764,0.656495,"{""DO_NOTHING"": 6498, ""ENTER_BUY"": 4919, ""ENTER_SELL"": 3559}","{""DO_NOTHING"": 7884, ""ENTER_BUY"": 3709, ""ENTER_SELL"": 3383}","{""DO_NOTHING"": {""DO_NOTHING"": 5102, ""ENTER_BUY"": 1599, ""ENTER_SELL"": 1183}, ""ENTER_BUY"": {""DO_NOTHING"": 668, ""ENTER_BUY"": 2792, ""ENTER_SELL"": 249}, ""ENTER_SELL"": {""DO_NOTHING"": 728, ""ENTER_BUY"": 528, ""ENTER_SELL"": 2127}}",False
0.40,2020Q3,15264,8625,0.565055,0.593043,0.857207,7393.41,3.374943,68.83,0.592685,0.593496,0.676573,"{""DO_NOTHING"": 6639, ""ENTER_BUY"": 4812, ""ENTER_SELL"": 3813}","{""DO_NOTHING"": 8175, ""ENTER_BUY"": 3740, ""ENTER_SELL"": 3349}","{""DO_NOTHING"": {""DO_NOTHING"": 5413, ""ENTER_BUY"": 1541, ""ENTER_SELL"": 1221}, ""ENTER_BUY"": {""DO_NOTHING"": 559, ""ENTER_BUY"": 2852, ""ENTER_SELL"": 329}, ""ENTER_SELL"": {""DO_NOTHING"": 667, ""ENTER_BUY"": 419, ""ENTER_SELL"": 2263}}",False
0.40,2020Q4,14896,6978,0.468448,0.596303,0.939814,6558.02,3.986226,64.69,0.617984,0.570985,0.698643,"{""DO_NOTHING"": 7918, ""ENTER_BUY"": 3759, ""ENTER_SELL"": 3219}","{""DO_NOTHING"": 9190, ""ENTER_BUY"": 3077, ""ENTER_SELL"": 2629}","{""DO_NOTHING"": {""DO_NOTHING"": 6738, ""ENTER_BUY"": 1241, ""ENTER_SELL"": 1211}, ""ENTER_BUY"": {""DO_NOTHING"": 584, ""ENTER_BUY"": 2323, ""ENTER_SELL"": 170}, ""ENTER_SELL"": {""DO_NOTHING"": 596, ""ENTER_BUY"": 195, ""ENTER_SELL"": 1838}}",False
0.40,2021Q1,14378,7486,0.520657,0.63385,1.081475,8095.92,4.989455,49.16,0.632357,0.635035,0.734945,"{""DO_NOTHING"": 6892, ""ENTER_BUY"": 3313, ""ENTER_SELL"": 4173}","{""DO_NOTHING"": 8485, ""ENTER_BUY"": 2646, ""ENTER_SELL"": 3247}","{""DO_NOTHING"": {""DO_NOTHING"": 6054, ""ENTER_BUY"": 1084, ""ENTER_SELL"": 1347}, ""ENTER_BUY"": {""DO_NOTHING"": 375, ""ENTER_BUY"": 2095, ""ENTER_SELL"": 176}, ""ENTER_SELL"": {""DO_NOTHING"": 463, ""ENTER_BUY"": 134, ""ENTER_SELL"": 2650}}",False
0.40,2021Q2,14891,5734,0.385065,0.639867,1.119928,6421.67,5.551826,80.49,0.666311,0.614491,0.752623,"{""DO_NOTHING"": 9157, ""ENTER_BUY"": 2808, ""ENTER_SELL"": 2926}","{""DO_NOTHING"": 10156, ""ENTER_BUY"": 2448, ""ENTER_SELL"": 2287}","{""DO_NOTHING"": {""DO_NOTHING"": 8267, ""ENTER_BUY"": 880, ""ENTER_SELL"": 1009}, ""ENTER_BUY"": {""DO_NOTHING"": 458, ""ENTER_BUY"": 1871, ""ENTER_SELL"": 119}, ""ENTER_SELL"": {""DO_NOTHING"": 432, ""ENTER_BUY"": 57, ""ENTER_SELL"": 1798}}",False
0.40,2021Q3,15264,3861,0.252948,0.708625,1.333515,5148.7,8.72962,30.08,0.722003,0.699957,0.771008,"{""DO_NOTHING"": 11403, ""ENTER_BUY"": 1518, ""ENTER_SELL"": 2343}","{""DO_NOTHING"": 11389, ""ENTER_BUY"": 1710, ""ENTER_SELL"": 2165}","{""DO_NOTHING"": {""DO_NOTHING"": 10329, ""ENTER_BUY"": 402, ""ENTER_SELL"": 658}, ""ENTER_BUY"": {""DO_NOTHING"": 569, ""ENTER_BUY"": 1096, ""ENTER_SELL"": 45}, ""ENTER_SELL"": {""DO_NOTHING"": 505, ""ENTER_BUY"": 20, ""ENTER_SELL"": 1640}}",False
0.40,2021Q4,15206,5909,0.388597,0.645795,1.12157,6627.36,5.419979,53.86,0.700092,0.61419,0.747395,"{""DO_NOTHING"": 9297, ""ENTER_BUY"": 2174, ""ENTER_SELL"": 3735}","{""DO_NOTHING"": 10141, ""ENTER_BUY"": 2238, ""ENTER_SELL"": 2827}","{""DO_NOTHING"": {""DO_NOTHING"": 8291, ""ENTER_BUY"": 594, ""ENTER_SELL"": 1256}, ""ENTER_BUY"": {""DO_NOTHING"": 531, ""ENTER_BUY"": 1522, ""ENTER_SELL"": 185}, ""ENTER_SELL"": {""DO_NOTHING"": 475, ""ENTER_BUY"": 58, ""ENTER_SELL"": 2294}}",False
0.40,2022Q1,14663,8152,0.555957,0.571394,0.831923,6781.84,3.306733,78.49,0.630952,0.539275,0.667453,"{""DO_NOTHING"": 6511, ""ENTER_BUY"": 2856, ""ENTER_SELL"": 5296}","{""DO_NOTHING"": 8182, ""ENTER_BUY"": 2866, ""ENTER_SELL"": 3615}","{""DO_NOTHING"": {""DO_NOTHING"": 5374, ""ENTER_BUY"": 921, ""ENTER_SELL"": 1887}, ""ENTER_BUY"": {""DO_NOTHING"": 511, ""ENTER_BUY"": 1802, ""ENTER_SELL"": 553}, ""ENTER_SELL"": {""DO_NOTHING"": 626, ""ENTER_BUY"": 133, ""ENTER_SELL"": 2856}}",False
0.40,2022Q2,14978,9469,0.632194,0.598585,0.889818,8425.69,3.563618,54.98,0.628378,0.5807,0.675676,"{""DO_NOTHING"": 5509, ""ENTER_BUY"": 3552, ""ENTER_SELL"": 5917}","{""DO_NOTHING"": 7506, ""ENTER_BUY"": 3318, ""ENTER_SELL"": 4154}","{""DO_NOTHING"": {""DO_NOTHING"": 4522, ""ENTER_BUY"": 1070, ""ENTER_SELL"": 1914}, ""ENTER_BUY"": {""DO_NOTHING"": 519, ""ENTER_BUY"": 2232, ""ENTER_SELL"": 567}, ""ENTER_SELL"": {""DO_NOTHING"": 468, ""ENTER_BUY"": 250, ""ENTER_SELL"": 3436}}",False
0.40,2022Q3,15262,10994,0.720351,0.600327,0.871494,9581.21,3.417483,48.73,0.577402,0.625816,0.668785,"{""DO_NOTHING"": 4268, ""ENTER_BUY"": 5788, ""ENTER_SELL"": 5206}","{""DO_NOTHING"": 7079, ""ENTER_BUY"": 4048, ""ENTER_SELL"": 4135}","{""DO_NOTHING"": {""DO_NOTHING"": 3570, ""ENTER_BUY"": 1977, ""ENTER_SELL"": 1532}, ""ENTER_BUY"": {""DO_NOTHING"": 290, ""ENTER_BUY"": 3342, ""ENTER_SELL"": 416}, ""ENTER_SELL"": {""DO_NOTHING"": 408, ""ENTER_BUY"": 469, ""ENTER_SELL"": 3258}}",False
