threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,0.15-0.35,23403,9402,0.401743,0.276005,0.050599,475.73,1.086779,359.02,0.301117,0.25137,0.449881,"{""DO_NOTHING"": 14001, ""ENTER_BUY"": 4656, ""ENTER_SELL"": 4746}","{""DO_NOTHING"": 15316, ""ENTER_BUY"": 4235, ""ENTER_SELL"": 3852}","{""DO_NOTHING"": {""DO_NOTHING"": 11093, ""ENTER_BUY"": 2006, ""ENTER_SELL"": 2217}, ""ENTER_BUY"": {""DO_NOTHING"": 1497, ""ENTER_BUY"": 1402, ""ENTER_SELL"": 1336}, ""ENTER_SELL"": {""DO_NOTHING"": 1411, ""ENTER_BUY"": 1248, ""ENTER_SELL"": 1193}}",False
0.40,0.35-0.65,38711,16580,0.428302,0.282328,0.095348,1580.87,1.168568,495.24,0.287142,0.278892,0.447518,"{""DO_NOTHING"": 22131, ""ENTER_BUY"": 6906, ""ENTER_SELL"": 9674}","{""DO_NOTHING"": 24902, ""ENTER_BUY"": 7221, ""ENTER_SELL"": 6588}","{""DO_NOTHING"": {""DO_NOTHING"": 17167, ""ENTER_BUY"": 3338, ""ENTER_SELL"": 4397}, ""ENTER_BUY"": {""DO_NOTHING"": 2659, ""ENTER_BUY"": 1983, ""ENTER_SELL"": 2579}, ""ENTER_SELL"": {""DO_NOTHING"": 2305, ""ENTER_BUY"": 1585, ""ENTER_SELL"": 2698}}",False
0.40,0.65-0.85,31700,13944,0.439874,0.267283,-0.023452,-327.02,0.962307,855.01,0.249013,0.280399,0.433812,"{""DO_NOTHING"": 17756, ""ENTER_BUY"": 5827, ""ENTER_SELL"": 8117}","{""DO_NOTHING"": 20051, ""ENTER_BUY"": 5215, ""ENTER_SELL"": 6434}","{""DO_NOTHING"": {""DO_NOTHING"": 13720, ""ENTER_BUY"": 2722, ""ENTER_SELL"": 3609}, ""ENTER_BUY"": {""DO_NOTHING"": 1532, ""ENTER_BUY"": 1451, ""ENTER_SELL"": 2232}, ""ENTER_SELL"": {""DO_NOTHING"": 2504, ""ENTER_BUY"": 1654, ""ENTER_SELL"": 2276}}",False
0.40,<=0.15,20285,7768,0.382943,0.278321,0.080153,622.63,1.141392,283.96,0.279939,0.276684,0.451552,"{""DO_NOTHING"": 12517, ""ENTER_BUY"": 3908, ""ENTER_SELL"": 3860}","{""DO_NOTHING"": 13496, ""ENTER_BUY"": 3156, ""ENTER_SELL"": 3633}","{""DO_NOTHING"": {""DO_NOTHING"": 9883, ""ENTER_BUY"": 1745, ""ENTER_SELL"": 1868}, ""ENTER_BUY"": {""DO_NOTHING"": 1138, ""ENTER_BUY"": 1094, ""ENTER_SELL"": 924}, ""ENTER_SELL"": {""DO_NOTHING"": 1496, ""ENTER_BUY"": 1069, ""ENTER_SELL"": 1068}}",False
0.40,>0.85,20270,8112,0.400197,0.278846,-0.002133,-17.3,0.996547,445.21,0.263328,0.288419,0.428621,"{""DO_NOTHING"": 12158, ""ENTER_BUY"": 3095, ""ENTER_SELL"": 5017}","{""DO_NOTHING"": 12459, ""ENTER_BUY"": 3927, ""ENTER_SELL"": 3884}","{""DO_NOTHING"": {""DO_NOTHING"": 8968, ""ENTER_BUY"": 1393, ""ENTER_SELL"": 2098}, ""ENTER_BUY"": {""DO_NOTHING"": 1640, ""ENTER_BUY"": 815, ""ENTER_SELL"": 1472}, ""ENTER_SELL"": {""DO_NOTHING"": 1550, ""ENTER_BUY"": 887, ""ENTER_SELL"": 1447}}",False
0.50,0.15-0.35,23403,1591,0.067983,0.263985,-0.017278,-27.49,0.971345,274.53,0.258248,0.271067,0.320047,"{""DO_NOTHING"": 21812, ""ENTER_BUY"": 879, ""ENTER_SELL"": 712}","{""DO_NOTHING"": 15316, ""ENTER_BUY"": 4235, ""ENTER_SELL"": 3852}","{""DO_NOTHING"": {""DO_NOTHING"": 14606, ""ENTER_BUY"": 361, ""ENTER_SELL"": 349}, ""ENTER_BUY"": {""DO_NOTHING"": 3838, ""ENTER_BUY"": 227, ""ENTER_SELL"": 170}, ""ENTER_SELL"": {""DO_NOTHING"": 3368, ""ENTER_BUY"": 291, ""ENTER_SELL"": 193}}",False
0.50,0.35-0.65,38711,2592,0.066958,0.341049,0.236323,612.55,1.441074,149.98,0.33209,0.347368,0.332303,"{""DO_NOTHING"": 36119, ""ENTER_BUY"": 1072, ""ENTER_SELL"": 1520}","{""DO_NOTHING"": 24902, ""ENTER_BUY"": 7221, ""ENTER_SELL"": 6588}","{""DO_NOTHING"": {""DO_NOTHING"": 23823, ""ENTER_BUY"": 509, ""ENTER_SELL"": 570}, ""ENTER_BUY"": {""DO_NOTHING"": 6443, ""ENTER_BUY"": 356, ""ENTER_SELL"": 422}, ""ENTER_SELL"": {""DO_NOTHING"": 5853, ""ENTER_BUY"": 207, ""ENTER_SELL"": 528}}",False
0.50,0.65-0.85,31700,2558,0.080694,0.278342,-0.046697,-119.45,0.927859,343.38,0.240798,0.291186,0.319043,"{""DO_NOTHING"": 29142, ""ENTER_BUY"": 652, ""ENTER_SELL"": 1906}","{""DO_NOTHING"": 20051, ""ENTER_BUY"": 5215, ""ENTER_SELL"": 6434}","{""DO_NOTHING"": {""DO_NOTHING"": 18952, ""ENTER_BUY"": 298, ""ENTER_SELL"": 801}, ""ENTER_BUY"": {""DO_NOTHING"": 4508, ""ENTER_BUY"": 157, ""ENTER_SELL"": 550}, ""ENTER_SELL"": {""DO_NOTHING"": 5682, ""ENTER_BUY"": 197, ""ENTER_SELL"": 555}}",False
0.50,<=0.15,20285,1688,0.083214,0.373223,0.331836,560.14,1.670891,75.57,0.38246,0.364475,0.366259,"{""DO_NOTHING"": 18597, ""ENTER_BUY"": 821, ""ENTER_SELL"": 867}","{""DO_NOTHING"": 13496, ""ENTER_BUY"": 3156, ""ENTER_SELL"": 3633}","{""DO_NOTHING"": {""DO_NOTHING"": 12844, ""ENTER_BUY"": 314, ""ENTER_SELL"": 338}, ""ENTER_BUY"": {""DO_NOTHING"": 2629, ""ENTER_BUY"": 314, ""ENTER_SELL"": 213}, ""ENTER_SELL"": {""DO_NOTHING"": 3124, ""ENTER_BUY"": 193, ""ENTER_SELL"": 316}}",False
0.50,>0.85,20270,1996,0.098471,0.285571,-0.042244,-84.32,0.934833,326.58,0.297821,0.282375,0.326746,"{""DO_NOTHING"": 18274, ""ENTER_BUY"": 413, ""ENTER_SELL"": 1583}","{""DO_NOTHING"": 12459, ""ENTER_BUY"": 3927, ""ENTER_SELL"": 3884}","{""DO_NOTHING"": {""DO_NOTHING"": 11679, ""ENTER_BUY"": 145, ""ENTER_SELL"": 635}, ""ENTER_BUY"": {""DO_NOTHING"": 3303, ""ENTER_BUY"": 123, ""ENTER_SELL"": 501}, ""ENTER_SELL"": {""DO_NOTHING"": 3292, ""ENTER_BUY"": 145, ""ENTER_SELL"": 447}}",False
