threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,0,5714,397,0.069478,0.345088,0.239723,95.17,1.474616,36.96,0.314815,0.479452,0.432246,"{""DO_NOTHING"": 5317, ""ENTER_BUY"": 324, ""ENTER_SELL"": 73}","{""DO_NOTHING"": 4781, ""ENTER_BUY"": 600, ""ENTER_SELL"": 333}","{""DO_NOTHING"": {""DO_NOTHING"": 4562, ""ENTER_BUY"": 190, ""ENTER_SELL"": 29}, ""ENTER_BUY"": {""DO_NOTHING"": 489, ""ENTER_BUY"": 102, ""ENTER_SELL"": 9}, ""ENTER_SELL"": {""DO_NOTHING"": 266, ""ENTER_BUY"": 32, ""ENTER_SELL"": 35}}",False
0.40,1,5576,330,0.059182,0.381818,0.503939,166.3,2.142092,26.75,0.351145,0.40201,0.419306,"{""DO_NOTHING"": 5246, ""ENTER_BUY"": 131, ""ENTER_SELL"": 199}","{""DO_NOTHING"": 4531, ""ENTER_BUY"": 518, ""ENTER_SELL"": 527}","{""DO_NOTHING"": {""DO_NOTHING"": 4379, ""ENTER_BUY"": 70, ""ENTER_SELL"": 82}, ""ENTER_BUY"": {""DO_NOTHING"": 435, ""ENTER_BUY"": 46, ""ENTER_SELL"": 37}, ""ENTER_SELL"": {""DO_NOTHING"": 432, ""ENTER_BUY"": 15, ""ENTER_SELL"": 80}}",False
0.40,10,5599,3728,0.665833,0.256438,0.051663,192.6,1.091934,221.67,0.248517,0.262977,0.375154,"{""DO_NOTHING"": 1871, ""ENTER_BUY"": 1686, ""ENTER_SELL"": 2042}","{""DO_NOTHING"": 3221, ""ENTER_BUY"": 1163, ""ENTER_SELL"": 1215}","{""DO_NOTHING"": {""DO_NOTHING"": 1277, ""ENTER_BUY"": 848, ""ENTER_SELL"": 1096}, ""ENTER_BUY"": {""DO_NOTHING"": 335, ""ENTER_BUY"": 419, ""ENTER_SELL"": 409}, ""ENTER_SELL"": {""DO_NOTHING"": 259, ""ENTER_BUY"": 419, ""ENTER_SELL"": 537}}",False
0.40,11,5605,4057,0.723818,0.267439,0.100491,407.69,1.184902,105.45,0.253212,0.27958,0.359579,"{""DO_NOTHING"": 1548, ""ENTER_BUY"": 1868, ""ENTER_SELL"": 2189}","{""DO_NOTHING"": 3103, ""ENTER_BUY"": 1164, ""ENTER_SELL"": 1338}","{""DO_NOTHING"": {""DO_NOTHING"": 976, ""ENTER_BUY"": 940, ""ENTER_SELL"": 1187}, ""ENTER_BUY"": {""DO_NOTHING"": 301, ""ENTER_BUY"": 473, ""ENTER_SELL"": 390}, ""ENTER_SELL"": {""DO_NOTHING"": 271, ""ENTER_BUY"": 455, ""ENTER_SELL"": 612}}",False
0.40,12,5606,5212,0.929718,0.276477,0.072924,380.08,1.127947,183.23,0.25164,0.293697,0.275649,"{""DO_NOTHING"": 394, ""ENTER_BUY"": 2134, ""ENTER_SELL"": 3078}","{""DO_NOTHING"": 2653, ""ENTER_BUY"": 1383, ""ENTER_SELL"": 1570}","{""DO_NOTHING"": {""DO_NOTHING"": 202, ""ENTER_BUY"": 1032, ""ENTER_SELL"": 1419}, ""ENTER_BUY"": {""DO_NOTHING"": 91, ""ENTER_BUY"": 537, ""ENTER_SELL"": 755}, ""ENTER_SELL"": {""DO_NOTHING"": 101, ""ENTER_BUY"": 565, ""ENTER_SELL"": 904}}",False
0.40,13,5604,5148,0.91863,0.289239,-0.001843,-9.49,0.99708,269.34,0.269834,0.302662,0.283825,"{""DO_NOTHING"": 456, ""ENTER_BUY"": 2105, ""ENTER_SELL"": 3043}","{""DO_NOTHING"": 2401, ""ENTER_BUY"": 1543, ""ENTER_SELL"": 1660}","{""DO_NOTHING"": {""DO_NOTHING"": 212, ""ENTER_BUY"": 941, ""ENTER_SELL"": 1248}, ""ENTER_BUY"": {""DO_NOTHING"": 101, ""ENTER_BUY"": 568, ""ENTER_SELL"": 874}, ""ENTER_SELL"": {""DO_NOTHING"": 143, ""ENTER_BUY"": 596, ""ENTER_SELL"": 921}}",False
0.40,14,5599,5065,0.904626,0.301283,0.022116,112.02,1.035339,186.97,0.315075,0.292358,0.286884,"{""DO_NOTHING"": 534, ""ENTER_BUY"": 1990, ""ENTER_SELL"": 3075}","{""DO_NOTHING"": 2265, ""ENTER_BUY"": 1736, ""ENTER_SELL"": 1598}","{""DO_NOTHING"": {""DO_NOTHING"": 195, ""ENTER_BUY"": 832, ""ENTER_SELL"": 1238}, ""ENTER_BUY"": {""DO_NOTHING"": 171, ""ENTER_BUY"": 627, ""ENTER_SELL"": 938}, ""ENTER_SELL"": {""DO_NOTHING"": 168, ""ENTER_BUY"": 531, ""ENTER_SELL"": 899}}",False
0.40,15,5602,5152,0.919672,0.285132,-0.002096,-10.8,0.996654,222.33,0.299274,0.275672,0.280111,"{""DO_NOTHING"": 450, ""ENTER_BUY"": 2065, ""ENTER_SELL"": 3087}","{""DO_NOTHING"": 2332, ""ENTER_BUY"": 1710, ""ENTER_SELL"": 1560}","{""DO_NOTHING"": {""DO_NOTHING"": 204, ""ENTER_BUY"": 846, ""ENTER_SELL"": 1282}, ""ENTER_BUY"": {""DO_NOTHING"": 138, ""ENTER_BUY"": 618, ""ENTER_SELL"": 954}, ""ENTER_SELL"": {""DO_NOTHING"": 108, ""ENTER_BUY"": 601, ""ENTER_SELL"": 851}}",False
0.40,16,5614,4843,0.862665,0.265538,-0.02343,-113.47,0.962558,260.19,0.251274,0.275252,0.298771,"{""DO_NOTHING"": 771, ""ENTER_BUY"": 1962, ""ENTER_SELL"": 2881}","{""DO_NOTHING"": 2524, ""ENTER_BUY"": 1578, ""ENTER_SELL"": 1512}","{""DO_NOTHING"": {""DO_NOTHING"": 423, ""ENTER_BUY"": 927, ""ENTER_SELL"": 1174}, ""ENTER_BUY"": {""DO_NOTHING"": 171, ""ENTER_BUY"": 493, ""ENTER_SELL"": 914}, ""ENTER_SELL"": {""DO_NOTHING"": 177, ""ENTER_BUY"": 542, ""ENTER_SELL"": 793}}",False
0.40,17,5616,3812,0.678775,0.267051,0.040603,154.78,1.069589,131.45,0.231114,0.292,0.356235,"{""DO_NOTHING"": 1804, ""ENTER_BUY"": 1562, ""ENTER_SELL"": 2250}","{""DO_NOTHING"": 2894, ""ENTER_BUY"": 1310, ""ENTER_SELL"": 1412}","{""DO_NOTHING"": {""DO_NOTHING"": 1077, ""ENTER_BUY"": 809, ""ENTER_SELL"": 1008}, ""ENTER_BUY"": {""DO_NOTHING"": 364, ""ENTER_BUY"": 361, ""ENTER_SELL"": 585}, ""ENTER_SELL"": {""DO_NOTHING"": 363, ""ENTER_BUY"": 392, ""ENTER_SELL"": 657}}",False
