threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_low,216,0,0.0,,,,,0.0,,,0.310231,"{""DO_NOTHING"": 216}","{""DO_NOTHING"": 188, ""ENTER_BUY"": 1, ""ENTER_SELL"": 27}","{""DO_NOTHING"": {""DO_NOTHING"": 188, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 1, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 27, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,120,0,0.0,,,,,0.0,,,0.330532,"{""DO_NOTHING"": 120}","{""DO_NOTHING"": 118, ""ENTER_BUY"": 2}","{""DO_NOTHING"": {""DO_NOTHING"": 118, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 2, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,192,0,0.0,,,,,0.0,,,0.276423,"{""DO_NOTHING"": 192}","{""DO_NOTHING"": 136, ""ENTER_BUY"": 16, ""ENTER_SELL"": 40}","{""DO_NOTHING"": {""DO_NOTHING"": 136, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 16, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 40, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_low,228,3,0.013158,0.0,0.426667,1.28,,0.0,0.0,,0.318043,"{""DO_NOTHING"": 225, ""ENTER_BUY"": 3}","{""DO_NOTHING"": 211, ""ENTER_SELL"": 17}","{""DO_NOTHING"": {""DO_NOTHING"": 208, ""ENTER_BUY"": 3, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 17, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,216,0,0.0,,,,,0.0,,,0.29361,"{""DO_NOTHING"": 216}","{""DO_NOTHING"": 170, ""ENTER_BUY"": 46}","{""DO_NOTHING"": {""DO_NOTHING"": 170, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 46, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,37,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 37}","{""DO_NOTHING"": 37}","{""DO_NOTHING"": {""DO_NOTHING"": 37, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_high,114,8,0.070175,0.0,-1.0,-8.0,0.0,8.0,0.0,,0.259048,"{""DO_NOTHING"": 106, ""ENTER_BUY"": 8}","{""DO_NOTHING"": 69, ""ENTER_SELL"": 45}","{""DO_NOTHING"": {""DO_NOTHING"": 68, ""ENTER_BUY"": 1, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 38, ""ENTER_BUY"": 7, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_high,164,63,0.384146,0.031746,-0.301746,-19.01,0.395548,23.01,0.031746,,0.236107,"{""DO_NOTHING"": 101, ""ENTER_BUY"": 63}","{""DO_NOTHING"": 126, ""ENTER_BUY"": 8, ""ENTER_SELL"": 30}","{""DO_NOTHING"": {""DO_NOTHING"": 74, ""ENTER_BUY"": 52, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 6, ""ENTER_BUY"": 2, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 21, ""ENTER_BUY"": 9, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_low,85,0,0.0,,,,,0.0,,,0.240602,"{""DO_NOTHING"": 85}","{""DO_NOTHING"": 48, ""ENTER_SELL"": 37}","{""DO_NOTHING"": {""DO_NOTHING"": 48, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 37, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bullish|align_neutral|atr_low|d1pos_mid_high,36,0,0.0,,,,,0.0,,,0.30303,"{""DO_NOTHING"": 36}","{""DO_NOTHING"": 30, ""ENTER_BUY"": 6}","{""DO_NOTHING"": {""DO_NOTHING"": 30, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 6, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
