threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,asia,39224,2706,0.068988,0.315965,0.232273,628.53,1.455048,175.32,0.310478,0.321023,0.406656,"{""DO_NOTHING"": 36518, ""ENTER_BUY"": 1298, ""ENTER_SELL"": 1408}","{""DO_NOTHING"": 31612, ""ENTER_BUY"": 3624, ""ENTER_SELL"": 3988}","{""DO_NOTHING"": {""DO_NOTHING"": 30273, ""ENTER_BUY"": 717, ""ENTER_SELL"": 622}, ""ENTER_BUY"": {""DO_NOTHING"": 2887, ""ENTER_BUY"": 403, ""ENTER_SELL"": 334}, ""ENTER_SELL"": {""DO_NOTHING"": 3358, ""ENTER_BUY"": 178, ""ENTER_SELL"": 452}}",False
0.40,inactive,11059,2563,0.231757,0.290675,-0.003359,-8.61,0.994636,281.21,0.354455,0.249195,0.483532,"{""DO_NOTHING"": 8496, ""ENTER_BUY"": 1010, ""ENTER_SELL"": 1553}","{""DO_NOTHING"": 8216, ""ENTER_BUY"": 1473, ""ENTER_SELL"": 1370}","{""DO_NOTHING"": {""DO_NOTHING"": 7499, ""ENTER_BUY"": 250, ""ENTER_SELL"": 467}, ""ENTER_BUY"": {""DO_NOTHING"": 416, ""ENTER_BUY"": 358, ""ENTER_SELL"": 699}, ""ENTER_SELL"": {""DO_NOTHING"": 581, ""ENTER_BUY"": 402, ""ENTER_SELL"": 387}}",False
0.40,london,28003,16476,0.588366,0.255038,0.045357,747.3,1.080127,436.54,0.264197,0.246695,0.377918,"{""DO_NOTHING"": 11527, ""ENTER_BUY"": 7854, ""ENTER_SELL"": 8622}","{""DO_NOTHING"": 15835, ""ENTER_BUY"": 5977, ""ENTER_SELL"": 6191}","{""DO_NOTHING"": {""DO_NOTHING"": 7477, ""ENTER_BUY"": 3812, ""ENTER_SELL"": 4546}, ""ENTER_BUY"": {""DO_NOTHING"": 1953, ""ENTER_BUY"": 2075, ""ENTER_SELL"": 1949}, ""ENTER_SELL"": {""DO_NOTHING"": 2097, ""ENTER_BUY"": 1967, ""ENTER_SELL"": 2127}}",False
0.40,new_york,33672,13484,0.400451,0.274399,0.036775,495.88,1.061835,377.69,0.262635,0.283651,0.426397,"{""DO_NOTHING"": 20188, ""ENTER_BUY"": 5936, ""ENTER_SELL"": 7548}","{""DO_NOTHING"": 20910, ""ENTER_BUY"": 6308, ""ENTER_SELL"": 6454}","{""DO_NOTHING"": {""DO_NOTHING"": 14769, ""ENTER_BUY"": 2774, ""ENTER_SELL"": 3367}, ""ENTER_BUY"": {""DO_NOTHING"": 2709, ""ENTER_BUY"": 1559, ""ENTER_SELL"": 2040}, ""ENTER_SELL"": {""DO_NOTHING"": 2710, ""ENTER_BUY"": 1603, ""ENTER_SELL"": 2141}}",False
0.40,overlap,22411,20577,0.918165,0.287943,0.022929,471.81,1.037393,658.35,0.283337,0.291053,0.281664,"{""DO_NOTHING"": 1834, ""ENTER_BUY"": 8294, ""ENTER_SELL"": 12283}","{""DO_NOTHING"": 9651, ""ENTER_BUY"": 6372, ""ENTER_SELL"": 6388}","{""DO_NOTHING"": {""DO_NOTHING"": 813, ""ENTER_BUY"": 3651, ""ENTER_SELL"": 5187}, ""ENTER_BUY"": {""DO_NOTHING"": 501, ""ENTER_BUY"": 2350, ""ENTER_SELL"": 3521}, ""ENTER_SELL"": {""DO_NOTHING"": 520, ""ENTER_BUY"": 2293, ""ENTER_SELL"": 3575}}",False
0.50,asia,39224,619,0.015781,0.432956,0.49273,305.0,2.091039,56.07,0.54065,0.36193,0.341577,"{""DO_NOTHING"": 38605, ""ENTER_BUY"": 246, ""ENTER_SELL"": 373}","{""DO_NOTHING"": 31612, ""ENTER_BUY"": 3624, ""ENTER_SELL"": 3988}","{""DO_NOTHING"": {""DO_NOTHING"": 31390, ""ENTER_BUY"": 95, ""ENTER_SELL"": 127}, ""ENTER_BUY"": {""DO_NOTHING"": 3380, ""ENTER_BUY"": 133, ""ENTER_SELL"": 111}, ""ENTER_SELL"": {""DO_NOTHING"": 3835, ""ENTER_BUY"": 18, ""ENTER_SELL"": 135}}",False
0.50,inactive,11059,1099,0.099376,0.285714,-0.00434,-4.77,0.993038,108.87,0.398892,0.230352,0.39495,"{""DO_NOTHING"": 9960, ""ENTER_BUY"": 361, ""ENTER_SELL"": 738}","{""DO_NOTHING"": 8216, ""ENTER_BUY"": 1473, ""ENTER_SELL"": 1370}","{""DO_NOTHING"": {""DO_NOTHING"": 7875, ""ENTER_BUY"": 88, ""ENTER_SELL"": 253}, ""ENTER_BUY"": {""DO_NOTHING"": 1014, ""ENTER_BUY"": 144, ""ENTER_SELL"": 315}, ""ENTER_SELL"": {""DO_NOTHING"": 1071, ""ENTER_BUY"": 129, ""ENTER_SELL"": 170}}",False
0.50,london,28003,2006,0.071635,0.309073,0.111186,223.04,1.195462,98.19,0.33758,0.290745,0.295737,"{""DO_NOTHING"": 25997, ""ENTER_BUY"": 785, ""ENTER_SELL"": 1221}","{""DO_NOTHING"": 15835, ""ENTER_BUY"": 5977, ""ENTER_SELL"": 6191}","{""DO_NOTHING"": {""DO_NOTHING"": 14914, ""ENTER_BUY"": 344, ""ENTER_SELL"": 577}, ""ENTER_BUY"": {""DO_NOTHING"": 5423, ""ENTER_BUY"": 265, ""ENTER_SELL"": 289}, ""ENTER_SELL"": {""DO_NOTHING"": 5660, ""ENTER_BUY"": 176, ""ENTER_SELL"": 355}}",False
0.50,new_york,33672,2141,0.063584,0.300794,0.071635,153.37,1.119881,102.31,0.267429,0.323855,0.312217,"{""DO_NOTHING"": 31531, ""ENTER_BUY"": 875, ""ENTER_SELL"": 1266}","{""DO_NOTHING"": 20910, ""ENTER_BUY"": 6308, ""ENTER_SELL"": 6454}","{""DO_NOTHING"": {""DO_NOTHING"": 20066, ""ENTER_BUY"": 357, ""ENTER_SELL"": 487}, ""ENTER_BUY"": {""DO_NOTHING"": 5705, ""ENTER_BUY"": 234, ""ENTER_SELL"": 369}, ""ENTER_SELL"": {""DO_NOTHING"": 5760, ""ENTER_BUY"": 284, ""ENTER_SELL"": 410}}",False
0.50,overlap,22411,4560,0.203472,0.300439,0.058068,264.79,1.09637,223.6,0.255414,0.32408,0.288205,"{""DO_NOTHING"": 17851, ""ENTER_BUY"": 1570, ""ENTER_SELL"": 2990}","{""DO_NOTHING"": 9651, ""ENTER_BUY"": 6372, ""ENTER_SELL"": 6388}","{""DO_NOTHING"": {""DO_NOTHING"": 7659, ""ENTER_BUY"": 743, ""ENTER_SELL"": 1249}, ""ENTER_BUY"": {""DO_NOTHING"": 5199, ""ENTER_BUY"": 401, ""ENTER_SELL"": 772}, ""ENTER_SELL"": {""DO_NOTHING"": 4993, ""ENTER_BUY"": 426, ""ENTER_SELL"": 969}}",False
