threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,friday,33431,17033,0.509497,0.267363,-0.004271,-72.75,0.992974,737.88,0.297009,0.246579,0.432146,"{""DO_NOTHING"": 16398, ""ENTER_BUY"": 7020, ""ENTER_SELL"": 10013}","{""DO_NOTHING"": 20071, ""ENTER_BUY"": 6982, ""ENTER_SELL"": 6378}","{""DO_NOTHING"": {""DO_NOTHING"": 12716, ""ENTER_BUY"": 2944, ""ENTER_SELL"": 4411}, ""ENTER_BUY"": {""DO_NOTHING"": 1764, ""ENTER_BUY"": 2085, ""ENTER_SELL"": 3133}, ""ENTER_SELL"": {""DO_NOTHING"": 1918, ""ENTER_BUY"": 1991, ""ENTER_SELL"": 2469}}",False
0.40,inactive,109,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 109}","{""DO_NOTHING"": 109}","{""DO_NOTHING"": {""DO_NOTHING"": 109, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,thursday,33143,13135,0.396313,0.296079,0.091178,1197.62,1.157196,505.95,0.267468,0.315581,0.453376,"{""DO_NOTHING"": 20008, ""ENTER_BUY"": 5324, ""ENTER_SELL"": 7811}","{""DO_NOTHING"": 21466, ""ENTER_BUY"": 5397, ""ENTER_SELL"": 6280}","{""DO_NOTHING"": {""DO_NOTHING"": 15441, ""ENTER_BUY"": 2605, ""ENTER_SELL"": 3420}, ""ENTER_BUY"": {""DO_NOTHING"": 2047, ""ENTER_BUY"": 1424, ""ENTER_SELL"": 1926}, ""ENTER_SELL"": {""DO_NOTHING"": 2520, ""ENTER_BUY"": 1295, ""ENTER_SELL"": 2465}}",False
0.40,tuesday,34045,12807,0.376179,0.28297,0.058853,753.73,1.100407,270.92,0.268751,0.295555,0.451945,"{""DO_NOTHING"": 21238, ""ENTER_BUY"": 6013, ""ENTER_SELL"": 6794}","{""DO_NOTHING"": 22398, ""ENTER_BUY"": 5709, ""ENTER_SELL"": 5938}","{""DO_NOTHING"": {""DO_NOTHING"": 16684, ""ENTER_BUY"": 2659, ""ENTER_SELL"": 3055}, ""ENTER_BUY"": {""DO_NOTHING"": 2362, ""ENTER_BUY"": 1616, ""ENTER_SELL"": 1731}, ""ENTER_SELL"": {""DO_NOTHING"": 2192, ""ENTER_BUY"": 1738, ""ENTER_SELL"": 2008}}",False
0.40,wednesday,33641,12831,0.38141,0.261866,0.035563,456.31,1.061082,511.93,0.268434,0.256033,0.430703,"{""DO_NOTHING"": 20810, ""ENTER_BUY"": 6035, ""ENTER_SELL"": 6796}","{""DO_NOTHING"": 22180, ""ENTER_BUY"": 5666, ""ENTER_SELL"": 5795}","{""DO_NOTHING"": {""DO_NOTHING"": 15881, ""ENTER_BUY"": 2996, ""ENTER_SELL"": 3303}, ""ENTER_BUY"": {""DO_NOTHING"": 2293, ""ENTER_BUY"": 1620, ""ENTER_SELL"": 1753}, ""ENTER_SELL"": {""DO_NOTHING"": 2636, ""ENTER_BUY"": 1419, ""ENTER_SELL"": 1740}}",False
0.50,friday,33431,3793,0.113458,0.308199,0.059222,224.63,1.097945,246.58,0.328739,0.295474,0.340549,"{""DO_NOTHING"": 29638, ""ENTER_BUY"": 1451, ""ENTER_SELL"": 2342}","{""DO_NOTHING"": 20071, ""ENTER_BUY"": 6982, ""ENTER_SELL"": 6378}","{""DO_NOTHING"": {""DO_NOTHING"": 18636, ""ENTER_BUY"": 520, ""ENTER_SELL"": 915}, ""ENTER_BUY"": {""DO_NOTHING"": 5770, ""ENTER_BUY"": 477, ""ENTER_SELL"": 735}, ""ENTER_SELL"": {""DO_NOTHING"": 5232, ""ENTER_BUY"": 454, ""ENTER_SELL"": 692}}",False
0.50,inactive,109,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 109}","{""DO_NOTHING"": 109}","{""DO_NOTHING"": {""DO_NOTHING"": 109, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.50,thursday,33143,2750,0.082974,0.322545,0.099364,273.25,1.166957,148.66,0.363434,0.302752,0.341981,"{""DO_NOTHING"": 30393, ""ENTER_BUY"": 897, ""ENTER_SELL"": 1853}","{""DO_NOTHING"": 21466, ""ENTER_BUY"": 5397, ""ENTER_SELL"": 6280}","{""DO_NOTHING"": {""DO_NOTHING"": 20339, ""ENTER_BUY"": 408, ""ENTER_SELL"": 719}, ""ENTER_BUY"": {""DO_NOTHING"": 4498, ""ENTER_BUY"": 326, ""ENTER_SELL"": 573}, ""ENTER_SELL"": {""DO_NOTHING"": 5556, ""ENTER_BUY"": 163, ""ENTER_SELL"": 561}}",False
0.50,tuesday,34045,1733,0.050903,0.329486,0.160427,278.02,1.284953,125.26,0.226708,0.390266,0.319603,"{""DO_NOTHING"": 32312, ""ENTER_BUY"": 644, ""ENTER_SELL"": 1089}","{""DO_NOTHING"": 22398, ""ENTER_BUY"": 5709, ""ENTER_SELL"": 5938}","{""DO_NOTHING"": {""DO_NOTHING"": 21662, ""ENTER_BUY"": 268, ""ENTER_SELL"": 468}, ""ENTER_BUY"": {""DO_NOTHING"": 5367, ""ENTER_BUY"": 146, ""ENTER_SELL"": 196}, ""ENTER_SELL"": {""DO_NOTHING"": 5283, ""ENTER_BUY"": 230, ""ENTER_SELL"": 425}}",False
0.50,wednesday,33641,2149,0.06388,0.274081,0.077027,165.53,1.13491,257.2,0.269822,0.27684,0.320053,"{""DO_NOTHING"": 31492, ""ENTER_BUY"": 845, ""ENTER_SELL"": 1304}","{""DO_NOTHING"": 22180, ""ENTER_BUY"": 5666, ""ENTER_SELL"": 5795}","{""DO_NOTHING"": {""DO_NOTHING"": 21158, ""ENTER_BUY"": 431, ""ENTER_SELL"": 591}, ""ENTER_BUY"": {""DO_NOTHING"": 5086, ""ENTER_BUY"": 228, ""ENTER_SELL"": 352}, ""ENTER_SELL"": {""DO_NOTHING"": 5248, ""ENTER_BUY"": 186, ""ENTER_SELL"": 361}}",False
