threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,2020,57774,30458,0.527192,0.585495,0.858565,26150.16,3.418246,68.83,0.591375,0.578556,0.685218,"{""DO_NOTHING"": 27316, ""ENTER_BUY"": 16487, ""ENTER_SELL"": 13971}","{""DO_NOTHING"": 33153, ""ENTER_BUY"": 12918, ""ENTER_SELL"": 11703}","{""DO_NOTHING"": {""DO_NOTHING"": 23064, ""ENTER_BUY"": 5315, ""ENTER_SELL"": 4774}, ""ENTER_BUY"": {""DO_NOTHING"": 2054, ""ENTER_BUY"": 9750, ""ENTER_SELL"": 1114}, ""ENTER_SELL"": {""DO_NOTHING"": 2198, ""ENTER_BUY"": 1422, ""ENTER_SELL"": 8083}}",False
0.40,2021,59739,22990,0.384841,0.650979,1.143699,26293.65,5.690579,80.49,0.670947,0.636108,0.754045,"{""DO_NOTHING"": 36749, ""ENTER_BUY"": 9813, ""ENTER_SELL"": 13177}","{""DO_NOTHING"": 40171, ""ENTER_BUY"": 9042, ""ENTER_SELL"": 10526}","{""DO_NOTHING"": {""DO_NOTHING"": 32941, ""ENTER_BUY"": 2960, ""ENTER_SELL"": 4270}, ""ENTER_BUY"": {""DO_NOTHING"": 1933, ""ENTER_BUY"": 6584, ""ENTER_SELL"": 525}, ""ENTER_SELL"": {""DO_NOTHING"": 1875, ""ENTER_BUY"": 269, ""ENTER_SELL"": 8382}}",False
0.40,2022,59868,40168,0.670943,0.584794,0.846906,34018.54,3.338803,78.49,0.586236,0.583472,0.665761,"{""DO_NOTHING"": 19700, ""ENTER_BUY"": 19209, ""ENTER_SELL"": 20959}","{""DO_NOTHING"": 29639, ""ENTER_BUY"": 14710, ""ENTER_SELL"": 15519}","{""DO_NOTHING"": {""DO_NOTHING"": 16351, ""ENTER_BUY"": 6468, ""ENTER_SELL"": 6820}, ""ENTER_BUY"": {""DO_NOTHING"": 1539, ""ENTER_BUY"": 11261, ""ENTER_SELL"": 1910}, ""ENTER_SELL"": {""DO_NOTHING"": 1810, ""ENTER_BUY"": 1480, ""ENTER_SELL"": 12229}}",False
0.40,2023,59751,27989,0.468427,0.589446,0.906258,25365.26,3.703062,75.0,0.587924,0.591049,0.694642,"{""DO_NOTHING"": 31762, ""ENTER_BUY"": 14359, ""ENTER_SELL"": 13630}","{""DO_NOTHING"": 36672, ""ENTER_BUY"": 11540, ""ENTER_SELL"": 11539}","{""DO_NOTHING"": {""DO_NOTHING"": 27095, ""ENTER_BUY"": 4939, ""ENTER_SELL"": 4638}, ""ENTER_BUY"": {""DO_NOTHING"": 2162, ""ENTER_BUY"": 8442, ""ENTER_SELL"": 936}, ""ENTER_SELL"": {""DO_NOTHING"": 2505, ""ENTER_BUY"": 978, ""ENTER_SELL"": 8056}}",False
0.40,2024,59378,20564,0.346324,0.239739,0.014781,303.96,1.025651,566.89,0.2323,0.250294,0.439384,"{""DO_NOTHING"": 38814, ""ENTER_BUY"": 12062, ""ENTER_SELL"": 8502}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}","{""DO_NOTHING"": {""DO_NOTHING"": 32286, ""ENTER_BUY"": 6071, ""ENTER_SELL"": 4093}, ""ENTER_BUY"": {""DO_NOTHING"": 3065, ""ENTER_BUY"": 2802, ""ENTER_SELL"": 2281}, ""ENTER_SELL"": {""DO_NOTHING"": 3463, ""ENTER_BUY"": 3189, ""ENTER_SELL"": 2128}}",False
0.40,2025,58681,28153,0.479763,0.301566,0.064966,1829.0,1.108597,473.62,0.322174,0.289668,0.437802,"{""DO_NOTHING"": 30528, ""ENTER_BUY"": 10305, ""ENTER_SELL"": 17848}","{""DO_NOTHING"": 34044, ""ENTER_BUY"": 12416, ""ENTER_SELL"": 12221}","{""DO_NOTHING"": {""DO_NOTHING"": 21867, ""ENTER_BUY"": 4334, ""ENTER_SELL"": 7843}, ""ENTER_BUY"": {""DO_NOTHING"": 4261, ""ENTER_BUY"": 3320, ""ENTER_SELL"": 4835}, ""ENTER_SELL"": {""DO_NOTHING"": 4400, ""ENTER_BUY"": 2651, ""ENTER_SELL"": 5170}}",False
0.40,2026,16310,7089,0.434641,0.283115,0.028488,201.95,1.047433,513.93,0.307654,0.273302,0.423703,"{""DO_NOTHING"": 9221, ""ENTER_BUY"": 2025, ""ENTER_SELL"": 5064}","{""DO_NOTHING"": 9730, ""ENTER_BUY"": 3190, ""ENTER_SELL"": 3390}","{""DO_NOTHING"": {""DO_NOTHING"": 6678, ""ENTER_BUY"": 799, ""ENTER_SELL"": 2253}, ""ENTER_BUY"": {""DO_NOTHING"": 1140, ""ENTER_BUY"": 623, ""ENTER_SELL"": 1427}, ""ENTER_SELL"": {""DO_NOTHING"": 1403, ""ENTER_BUY"": 603, ""ENTER_SELL"": 1384}}",False
0.50,2020,57774,10418,0.180323,0.781052,1.404345,14630.47,8.577257,30.64,0.792945,0.766849,0.566262,"{""DO_NOTHING"": 47356, ""ENTER_BUY"": 5670, ""ENTER_SELL"": 4748}","{""DO_NOTHING"": 33153, ""ENTER_BUY"": 12918, ""ENTER_SELL"": 11703}","{""DO_NOTHING"": {""DO_NOTHING"": 31092, ""ENTER_BUY"": 1040, ""ENTER_SELL"": 1021}, ""ENTER_BUY"": {""DO_NOTHING"": 8336, ""ENTER_BUY"": 4496, ""ENTER_SELL"": 86}, ""ENTER_SELL"": {""DO_NOTHING"": 7928, ""ENTER_BUY"": 134, ""ENTER_SELL"": 3641}}",False
0.50,2021,59739,12151,0.203401,0.8066,1.540918,18723.7,12.596782,32.0,0.837272,0.786406,0.697601,"{""DO_NOTHING"": 47588, ""ENTER_BUY"": 4824, ""ENTER_SELL"": 7327}","{""DO_NOTHING"": 40171, ""ENTER_BUY"": 9042, ""ENTER_SELL"": 10526}","{""DO_NOTHING"": {""DO_NOTHING"": 37944, ""ENTER_BUY"": 757, ""ENTER_SELL"": 1470}, ""ENTER_BUY"": {""DO_NOTHING"": 4908, ""ENTER_BUY"": 4039, ""ENTER_SELL"": 95}, ""ENTER_SELL"": {""DO_NOTHING"": 4736, ""ENTER_BUY"": 28, ""ENTER_SELL"": 5762}}",False
0.50,2022,59868,16859,0.281603,0.766475,1.358908,22909.83,7.726256,40.0,0.760313,0.771788,0.604803,"{""DO_NOTHING"": 43009, ""ENTER_BUY"": 7806, ""ENTER_SELL"": 9053}","{""DO_NOTHING"": 29639, ""ENTER_BUY"": 14710, ""ENTER_SELL"": 15519}","{""DO_NOTHING"": {""DO_NOTHING"": 26100, ""ENTER_BUY"": 1688, ""ENTER_SELL"": 1851}, ""ENTER_BUY"": {""DO_NOTHING"": 8560, ""ENTER_BUY"": 5935, ""ENTER_SELL"": 215}, ""ENTER_SELL"": {""DO_NOTHING"": 8349, ""ENTER_BUY"": 183, ""ENTER_SELL"": 6987}}",False
