feature,importance,method
volatility_12,0.0274091592,permutation_f1_macro
m15_recent_range,0.0225881456,permutation_f1_macro
h4_rsi_14,0.0055474761,permutation_f1_macro
ema_50_200_distance,0.0051609846,permutation_f1_macro
m15_ema_20,0.0051195873,permutation_f1_macro
d1_recent_range,0.004771322,permutation_f1_macro
support_distance_pips,0.0042493982,permutation_f1_macro
recent_range,0.0029493421,permutation_f1_macro
h4_ema_200,0.0023349609,permutation_f1_macro
returns_1,0.0021150488,permutation_f1_macro
spread_pips,0.0017324334,permutation_f1_macro
candle_body_pct,0.0014826588,permutation_f1_macro
d1_ema_200,0.0013824082,permutation_f1_macro
resistance_distance_pips,0.0012110337,permutation_f1_macro
m15_ema_50,0.0009647667,permutation_f1_macro
h4_ema_50,0.0008972701,permutation_f1_macro
h1_ema_50,0.0008548185,permutation_f1_macro
close_to_ema50,0.0005926377,permutation_f1_macro
h4_structure_direction,0.0005563528,permutation_f1_macro
ema_50,0.0004338281,permutation_f1_macro
htf_d1_structure,0.0003865704,permutation_f1_macro
close_to_ema200,0.0003675937,permutation_f1_macro
returns_3,0.0003591693,permutation_f1_macro
h4_ema_20,0.0002965985,permutation_f1_macro
h1_candle_pattern,0.0001868123,permutation_f1_macro
lower_wick_pct,0.000184787,permutation_f1_macro
d1_rsi_14,0.0001806918,permutation_f1_macro
d1_market_structure,0.0001609994,permutation_f1_macro
upper_wick_pct,3.81307e-05,permutation_f1_macro
ema_20_slope,0.0,permutation_f1_macro
ema_50_slope,0.0,permutation_f1_macro
mtf_alignment_status,0.0,permutation_f1_macro
m15_market_structure,0.0,permutation_f1_macro
m15_structure_direction,0.0,permutation_f1_macro
m15_candle_pattern,0.0,permutation_f1_macro
h1_ema_20,0.0,permutation_f1_macro
h1_rsi_14,0.0,permutation_f1_macro
h1_market_structure,0.0,permutation_f1_macro
h1_structure_direction,0.0,permutation_f1_macro
h1_recent_range,0.0,permutation_f1_macro
h4_recent_range,-2.40466e-05,permutation_f1_macro
market_structure,-0.0001587981,permutation_f1_macro
ema_20,-0.0003152367,permutation_f1_macro
anchor_open,-0.0005226924,permutation_f1_macro
atr,-0.0005359263,permutation_f1_macro
daily_range_position,-0.0005411918,permutation_f1_macro
h1_ema_200,-0.0006273235,permutation_f1_macro
htf_directional_alignment,-0.0006977773,permutation_f1_macro
h4_market_structure,-0.0009379689,permutation_f1_macro
d1_ema_50,-0.0009725926,permutation_f1_macro
momentum,-0.0010243917,permutation_f1_macro
m15_ema_200,-0.0010388586,permutation_f1_macro
returns_6,-0.0010624779,permutation_f1_macro
d1_ema_20,-0.0010626476,permutation_f1_macro
anchor_high,-0.0010872785,permutation_f1_macro
htf_h4_structure,-0.0013797105,permutation_f1_macro
rsi_14,-0.0014589036,permutation_f1_macro
close_to_ema20,-0.0017270204,permutation_f1_macro
anchor_low,-0.0018090733,permutation_f1_macro
d1_candle_pattern,-0.001828549,permutation_f1_macro
ema_200,-0.0018420284,permutation_f1_macro
anchor_close,-0.0019722463,permutation_f1_macro
h4_candle_pattern,-0.0021160003,permutation_f1_macro
d1_structure_direction,-0.0025601841,permutation_f1_macro
ema_20_50_distance,-0.0025842071,permutation_f1_macro
structure_direction,-0.0026034555,permutation_f1_macro
m15_rsi_14,-0.0047096011,permutation_f1_macro
