feature,importance_mean,importance_std
rolling_unfavorable_rate_100,0.022542012072762962,0.0010227153793897223
rolling_drawdown_100,0.021020846509761514,0.0026676143104672747
rolling_drawdown_50,0.020430478864420808,0.002114948467730641
rolling_buy_avg_R_50,0.016611828607637703,0.0020147053899444963
rolling_avg_R_100,0.01617874637597322,0.0013906711039786035
recent_loss_streak,0.011875595901433379,0.0017621843235436233
atr,0.01124336503621386,0.0038084823394614214
rolling_pf_50,0.01059154748267982,0.0021418538982526394
rolling_buy_win_rate_50,0.00848030796044913,0.002368557261865666
rolling_buy_avg_R_100,0.007743861222346815,0.0013541567805338023
rolling_avg_R_50,0.006963634897592119,0.0005449929667949115
rolling_unfavorable_rate_50,0.005992032529524949,0.0006132843844764682
rolling_buy_avg_R_20,0.004280633621397622,0.0009420253822949792
rolling_sell_pf_100,0.003845772347811571,0.001068100119748713
recent_sell_loss_streak,0.0035529955283233106,0.0016235691944163203
rolling_buy_win_rate_100,0.0031636849272790647,0.0009934068074346262
rolling_buy_pf_50,0.0025546476674196184,0.0005818259726861903
rolling_sell_pf_50,0.001944560396755879,0.0011408159798914426
rolling_sell_win_rate_100,0.001847113491427277,0.001017945931960902
rolling_sell_avg_R_20,0.001692848571514982,0.0005771664466524525
rolling_win_rate_100,0.0012332616494578064,0.00047239343102536036
regime,0.0010304174975759972,0.0030425953408929414
rolling_buy_pf_20,0.0009628010354134964,0.0015931381352459557
rolling_win_rate_20,0.0004564708461390343,0.0011160916400546248
rolling_avg_R_20,0.0003461543992189342,0.00029156686916281577
rolling_buy_win_rate_20,0.00024938192649222036,0.0010046978580118865
rolling_buy_sample_size_100,0.0,0.0
rolling_sell_sample_size_100,0.0,0.0
rolling_sell_sample_size_50,0.0,0.0
rolling_sample_size_100,0.0,0.0
rolling_sample_size_50,0.0,0.0
rolling_sell_sample_size_20,0.0,0.0
rolling_buy_sample_size_20,0.0,0.0
rolling_sample_size_20,0.0,0.0
rolling_buy_sample_size_50,0.0,0.0
rolling_2026q2_like_proxy,-6.813905554492461e-05,0.00021697959130783729
rolling_pf_100,-0.00014054403959734563,0.0009697197891142152
rolling_sell_pf_20,-0.00014955726465351037,0.000918902579804413
rolling_unfavorable_rate_20,-0.0003305814544478203,0.0007477007099470193
h4_market_structure,-0.00037061292055349246,0.000523701699000581
rolling_win_rate_50,-0.0007028680466735105,0.0014949490386328961
rolling_pf_20,-0.0012423499249509585,0.001182454599716147
rolling_sell_win_rate_50,-0.0016367741841205596,0.0008554157433108768
market_structure,-0.001715712978427064,0.0016024838111193568
rolling_sell_avg_R_100,-0.002110869796387793,0.0010543205191184983
d1_market_structure,-0.002155964173222835,0.0015792547684657676
rolling_sell_avg_R_50,-0.0027042439247371487,0.0006960723681646367
rolling_buy_pf_100,-0.0028139358669041826,0.0010545709240388922
rolling_sell_win_rate_20,-0.0037594774732753523,0.002490052673211471
daily_range_position,-0.006011343159928195,0.0011919999693808438
