feature,importance_mean,importance_std
m15_recent_range,0.01170902341185448,0.004176978569761363
h4_ema_200,0.00953528634929005,0.0026091804538263706
h4_recent_range,0.008550617451646158,0.004437258542163078
rsi_14,0.006499685399750243,0.0023594837074991503
resistance_distance_pips,0.005150327991961967,0.002453994292185653
d1_rsi_14,0.0037022938487364155,0.0020541637573396683
close_to_ema200,0.0036591653320557803,0.0018452799381018267
upper_wick_pct,0.0029615035762239226,0.0012167421566414472
returns_3,0.002820133647734069,0.0006070755307033923
close_to_ema20,0.0023669590802657403,0.002134055463775031
returns_1,0.002330140135484582,0.0013818624126529986
ema_50_200_distance,0.002055565447963503,0.004225403953579461
h4_market_structure,0.0019067985670423448,0.000643748261866611
spread_pips,0.001704775385270607,0.001252365239923788
m15_market_structure,0.0015798438998550156,0.0012500949445007437
recent_range,0.0014621363005094868,0.0026203034360588184
ema_20_50_distance,0.0014569545649139148,0.0033948678615576882
structure_direction,0.0013440865760081077,0.00018561370128783485
returns_6,0.001191227622009805,0.003330622134167339
daily_range_position,0.0009588048653414227,0.0014817186416729393
anchor_low,0.0007457803619658643,0.0010791730551666227
anchor_close,0.0006846695512216172,0.0012468346507310197
h4_structure_direction,0.0006693672915684123,0.003855678542506542
htf_d1_structure,0.000642866823236743,4.834584087731135e-05
candle_body_pct,0.0006286244864120438,0.0009002545364209893
m15_structure_direction,0.0005628074910562942,0.00038051605503937596
ema_50,0.0004806911341358799,0.0007857140838728992
d1_structure_direction,0.00047768199288316103,0.0006518915908992087
lower_wick_pct,0.0004624412260428312,0.0003083238056185394
d1_ema_50,0.0002489647511343507,0.0008688515359364953
d1_market_structure,0.00014394737351322017,0.0006137169023846008
m15_rsi_14,0.00010506176643269028,0.0014344671763295738
m15_ema_200,2.457204227453991e-05,0.0008268224873004106
ema_20_slope,3.401750291587291e-06,6.803500583174583e-06
h1_market_structure,0.0,0.0
h1_recent_range,0.0,0.0
htf_directional_alignment,0.0,0.0
h1_structure_direction,0.0,0.0
h1_rsi_14,0.0,0.0
mtf_alignment_status,0.0,0.0
h1_ema_50,0.0,0.0
h1_ema_200,-0.00012404574103983546,0.00032003376197538877
anchor_high,-0.0001350309986008713,0.00015615053262040988
d1_ema_20,-0.00014426374345226644,0.0010710917922207607
atr,-0.00024546991104575924,0.0017057332909638223
h1_candle_pattern,-0.0003421381057920225,0.00035453831386553366
h4_ema_50,-0.0003585535219985059,0.001027122870873885
ema_50_slope,-0.0003586827311141794,0.00025170582751858183
ema_20,-0.0004207587298837745,0.002300720354475575
m15_ema_20,-0.0004324862376381633,0.000167405748437873
h1_ema_20,-0.0004374167076990232,0.00019947725039499466
anchor_open,-0.0005507135270108043,0.00038280826000750473
momentum,-0.0007191022765616672,0.00037162779281187764
m15_candle_pattern,-0.0008193561666629878,0.0013950156897388807
ema_200,-0.0008803961345548283,0.0008537909309547206
h4_ema_20,-0.0009763196361572746,0.0024222705789895944
htf_h4_structure,-0.0014561785965020002,0.004508078747461448
market_structure,-0.0015044988984311391,0.0009684018682192746
support_distance_pips,-0.0016349680693711454,0.0022721923430941552
h4_candle_pattern,-0.001731123481847141,0.0012122867345572448
m15_ema_50,-0.0020120951921722254,0.003305929813486872
regime,-0.0026516175671697506,0.00439917855773063
volatility_12,-0.0026864431481812613,0.0035803557017427064
d1_recent_range,-0.0035400707279345522,0.005263520052180589
d1_ema_200,-0.0036697056467109523,0.0014237821968981971
d1_candle_pattern,-0.004913717636543302,0.0024075126217353165
close_to_ema50,-0.005914890993039312,0.0028870658317751907
h4_rsi_14,-0.00824239551125322,0.0036113597629893095
