split,rule,mode,trades_original,trades_blocked,blocked_share,trades_remaining,avg_r_original,avg_r_filtered,avg_r_delta,pf_original,pf_filtered,pf_delta,dd_original,dd_filtered,dd_delta,total_r_original,total_r_filtered,segment_column,segment_value
validation,rolling_sell_pf_below_1,BLOCK,6706,0,0.0,6706,0.109703,0.109703,0.0,1.207537,1.207537,0.0,237.59,237.59,0.0,735.67,735.67,predicted_direction,BUY
validation,rolling_sell_pf_below_1,CAUTION,6706,0,0.0,6706,0.109703,0.109703,0.0,1.207537,1.207537,0.0,237.59,237.59,0.0,735.67,735.67,predicted_direction,BUY
validation,rolling_sell_pf_below_1,BLOCK+CAUTION,6706,0,0.0,6706,0.109703,0.109703,0.0,1.207537,1.207537,0.0,237.59,237.59,0.0,735.67,735.67,predicted_direction,BUY
validation,rolling_pf_below_1_and_drawdown_high,BLOCK,6706,2939,0.438264,3767,0.109703,0.335774,0.226071,1.207537,1.773043,0.565506,237.59,67.1,170.49,735.67,1264.86,predicted_direction,BUY
validation,rolling_pf_below_1_and_drawdown_high,CAUTION,6706,707,0.105428,5999,0.109703,0.108123,-0.00158,1.207537,1.203464,-0.004073,237.59,258.83,-21.24,735.67,648.63,predicted_direction,BUY
validation,rolling_pf_below_1_and_drawdown_high,BLOCK+CAUTION,6706,3646,0.543692,3060,0.109703,0.384908,0.275205,1.207537,1.920625,0.713088,237.59,62.34,175.25,735.67,1177.82,predicted_direction,BUY
validation,q2_like_proxy,BLOCK,6706,2922,0.435729,3784,0.109703,0.332193,0.22249,1.207537,1.763362,0.555825,237.59,67.1,170.49,735.67,1257.02,predicted_direction,BUY
validation,q2_like_proxy,CAUTION,6706,719,0.107217,5987,0.109703,0.108814,-0.000889,1.207537,1.204707,-0.00283,237.59,258.83,-21.24,735.67,651.47,predicted_direction,BUY
validation,q2_like_proxy,BLOCK+CAUTION,6706,3641,0.542947,3065,0.109703,0.382649,0.272946,1.207537,1.913148,0.705611,237.59,62.34,175.25,735.67,1172.82,predicted_direction,BUY
validation,combined_risk_rule,BLOCK,6706,3440,0.512973,3266,0.109703,0.515028,0.405325,1.207537,2.423742,1.216205,237.59,33.37,204.22,735.67,1682.08,predicted_direction,BUY
validation,combined_risk_rule,CAUTION,6706,798,0.118998,5908,0.109703,0.067439,-0.042264,1.207537,1.122757,-0.08478,237.59,265.09,-27.5,735.67,398.43,predicted_direction,BUY
validation,combined_risk_rule,BLOCK+CAUTION,6706,4238,0.631971,2468,0.109703,0.544911,0.435208,1.207537,2.524123,1.316586,237.59,38.92,198.67,735.67,1344.84,predicted_direction,BUY
validation,rolling_sell_pf_below_1,BLOCK,4719,2454,0.520025,2265,-0.021316,0.31264,0.333956,0.963263,1.697081,0.733818,517.05,45.18,471.87,-100.59,708.13,predicted_direction,SELL
validation,rolling_sell_pf_below_1,CAUTION,4719,324,0.068659,4395,-0.021316,-0.059929,-0.038613,0.963263,0.898773,-0.06449,517.05,559.36,-42.31,-100.59,-263.39,predicted_direction,SELL
validation,rolling_sell_pf_below_1,BLOCK+CAUTION,4719,2778,0.588684,1941,-0.021316,0.280953,0.302269,0.963263,1.61989,0.656627,517.05,40.43,476.62,-100.59,545.33,predicted_direction,SELL
validation,rolling_pf_below_1_and_drawdown_high,BLOCK,4719,2293,0.485908,2426,-0.021316,0.227993,0.249309,0.963263,1.477387,0.514124,517.05,104.1,412.95,-100.59,553.11,predicted_direction,SELL
validation,rolling_pf_below_1_and_drawdown_high,CAUTION,4719,585,0.123967,4134,-0.021316,-0.044151,-0.022835,0.963263,0.92526,-0.038003,517.05,467.92,49.13,-100.59,-182.52,predicted_direction,SELL
