split,rule,mode,trades_original,trades_blocked,blocked_share,trades_remaining,avg_r_original,avg_r_filtered,avg_r_delta,pf_original,pf_filtered,pf_delta,dd_original,dd_filtered,dd_delta,total_r_original,total_r_filtered,segment_column,segment_value
validation,rolling_sell_pf_below_1,BLOCK,2755,745,0.270417,2010,0.038399,0.160463,0.122064,1.066518,1.299989,0.233471,295.84,141.04,154.8,105.79,322.53,quarter_label,2024Q1
validation,rolling_sell_pf_below_1,CAUTION,2755,98,0.035572,2657,0.038399,0.028152,-0.010247,1.066518,1.048379,-0.018139,295.84,295.84,0.0,105.79,74.8,quarter_label,2024Q1
validation,rolling_sell_pf_below_1,BLOCK+CAUTION,2755,843,0.305989,1912,0.038399,0.152479,0.11408,1.066518,1.282812,0.216294,295.84,141.04,154.8,105.79,291.54,quarter_label,2024Q1
validation,rolling_pf_below_1_and_drawdown_high,BLOCK,2755,1272,0.461706,1483,0.038399,0.326824,0.288425,1.066518,1.683582,0.617064,295.84,58.77,237.07,105.79,484.68,quarter_label,2024Q1
validation,rolling_pf_below_1_and_drawdown_high,CAUTION,2755,305,0.110708,2450,0.038399,0.008755,-0.029644,1.066518,1.0148,-0.051718,295.84,254.83,41.01,105.79,21.45,quarter_label,2024Q1
validation,rolling_pf_below_1_and_drawdown_high,BLOCK+CAUTION,2755,1577,0.572414,1178,0.038399,0.339847,0.301448,1.066518,1.704898,0.63838,295.84,38.48,257.36,105.79,400.34,quarter_label,2024Q1
validation,q2_like_proxy,BLOCK,2755,1269,0.460617,1486,0.038399,0.330067,0.291668,1.066518,1.691762,0.625244,295.84,58.77,237.07,105.79,490.48,quarter_label,2024Q1
validation,q2_like_proxy,CAUTION,2755,355,0.128857,2400,0.038399,0.021746,-0.016653,1.066518,1.037112,-0.029406,295.84,254.83,41.01,105.79,52.19,quarter_label,2024Q1
validation,q2_like_proxy,BLOCK+CAUTION,2755,1624,0.589474,1131,0.038399,0.386278,0.347879,1.066518,1.832247,0.765729,295.84,32.0,263.84,105.79,436.88,quarter_label,2024Q1
validation,combined_risk_rule,BLOCK,2755,1645,0.597096,1110,0.038399,0.635793,0.597394,1.066518,2.764193,1.697675,295.84,19.97,275.87,105.79,705.73,quarter_label,2024Q1
validation,combined_risk_rule,CAUTION,2755,353,0.128131,2402,0.038399,-0.041465,-0.079864,1.066518,0.931931,-0.134587,295.84,307.65,-11.81,105.79,-99.6,quarter_label,2024Q1
validation,combined_risk_rule,BLOCK+CAUTION,2755,1998,0.725227,757,0.038399,0.660951,0.622552,1.066518,2.833688,1.76717,295.84,19.97,275.87,105.79,500.34,quarter_label,2024Q1
validation,rolling_sell_pf_below_1,BLOCK,2613,505,0.193264,2108,0.047382,0.173088,0.125706,1.087932,1.350661,0.262729,270.64,90.29,180.35,123.81,364.87,quarter_label,2024Q2
validation,rolling_sell_pf_below_1,CAUTION,2613,33,0.012629,2580,0.047382,0.031709,-0.015673,1.087932,1.058435,-0.029497,270.64,262.64,8.0,123.81,81.81,quarter_label,2024Q2
