split,rule,mode,trades_original,trades_blocked,blocked_share,trades_remaining,avg_r_original,avg_r_filtered,avg_r_delta,pf_original,pf_filtered,pf_delta,dd_original,dd_filtered,dd_delta,total_r_original,total_r_filtered
validation,rolling_sell_pf_below_1,BLOCK,11425,2454,0.214792,8971,0.055587,0.160941,0.105354,1.101081,1.31658,0.215499,348.18,191.77,156.41,635.08,1443.8
validation,rolling_sell_pf_below_1,CAUTION,11425,324,0.028359,11101,0.055587,0.042544,-0.013043,1.101081,1.076834,-0.024247,348.18,333.11,15.07,635.08,472.28
validation,rolling_sell_pf_below_1,BLOCK+CAUTION,11425,2778,0.243151,8647,0.055587,0.148144,0.092557,1.101081,1.289525,0.188444,348.18,205.29,142.89,635.08,1281.0
validation,rolling_pf_below_1_and_drawdown_high,BLOCK,11425,5232,0.457943,6193,0.055587,0.293552,0.237965,1.101081,1.650476,0.549395,348.18,60.8,287.38,635.08,1817.97
validation,rolling_pf_below_1_and_drawdown_high,CAUTION,11425,1292,0.113085,10133,0.055587,0.045999,-0.009588,1.101081,1.082791,-0.01829,348.18,317.52,30.66,635.08,466.11
validation,rolling_pf_below_1_and_drawdown_high,BLOCK+CAUTION,11425,6524,0.571028,4901,0.055587,0.336462,0.280875,1.101081,1.769863,0.668782,348.18,58.52,289.66,635.08,1649.0
validation,q2_like_proxy,BLOCK,11425,5207,0.455755,6218,0.055587,0.292427,0.23684,1.101081,1.647936,0.546855,348.18,60.8,287.38,635.08,1818.31
validation,q2_like_proxy,CAUTION,11425,1461,0.127877,9964,0.055587,0.058219,0.002632,1.101081,1.105682,0.004601,348.18,317.52,30.66,635.08,580.09
validation,q2_like_proxy,BLOCK+CAUTION,11425,6668,0.583632,4757,0.055587,0.370679,0.315092,1.101081,1.876197,0.775116,348.18,58.52,289.66,635.08,1763.32
validation,combined_risk_rule,BLOCK,11425,6503,0.56919,4922,0.055587,0.518584,0.462997,1.101081,2.431985,1.330904,348.18,33.37,314.81,635.08,2552.47
validation,combined_risk_rule,CAUTION,11425,1298,0.113611,10127,0.055587,0.009441,-0.046146,1.101081,1.016577,-0.084504,348.18,367.24,-19.06,635.08,95.61
validation,combined_risk_rule,BLOCK+CAUTION,11425,7801,0.682801,3624,0.055587,0.555464,0.499877,1.101081,2.588529,1.487448,348.18,30.48,317.7,635.08,2013.0
test,rolling_sell_pf_below_1,BLOCK,19967,5759,0.288426,14208,0.093171,0.208763,0.115592,1.162071,1.389342,0.227271,266.14,199.59,66.55,1860.35,2966.1
test,rolling_sell_pf_below_1,CAUTION,19967,1264,0.063304,18703,0.093171,0.089882,-0.003289,1.162071,1.155989,-0.006082,266.14,243.79,22.35,1860.35,1681.06
test,rolling_sell_pf_below_1,BLOCK+CAUTION,19967,7023,0.35173,12944,0.093171,0.215297,0.122126,1.162071,1.40293,0.240859,266.14,204.86,61.28,1860.35,2786.81
test,rolling_pf_below_1_and_drawdown_high,BLOCK,19967,8716,0.43652,11251,0.093171,0.322018,0.228847,1.162071,1.647592,0.485521,266.14,68.85,197.29,1860.35,3623.03
test,rolling_pf_below_1_and_drawdown_high,CAUTION,19967,2090,0.104673,17877,0.093171,0.070798,-0.022373,1.162071,1.1214,-0.040671,266.14,299.05,-32.91,1860.35,1265.65
test,rolling_pf_below_1_and_drawdown_high,BLOCK+CAUTION,19967,10806,0.541193,9161,0.093171,0.330568,0.237397,1.162071,1.666822,0.504751,266.14,55.94,210.2,1860.35,3028.33
test,q2_like_proxy,BLOCK,19967,8702,0.435819,11265,0.093171,0.320682,0.227511,1.162071,1.644439,0.482368,266.14,68.85,197.29,1860.35,3612.48
test,q2_like_proxy,CAUTION,19967,2445,0.122452,17522,0.093171,0.08763,-0.005541,1.162071,1.151921,-0.01015,266.14,266.74,-0.6,1860.35,1535.46
test,q2_like_proxy,BLOCK+CAUTION,19967,11147,0.558271,8820,0.093171,0.372743,0.279572,1.162071,1.776483,0.614412,266.14,52.27,213.87,1860.35,3287.59
test,combined_risk_rule,BLOCK,19967,11301,0.565984,8666,0.093171,0.538605,0.445434,1.162071,2.291948,1.129877,266.14,41.16,224.98,1860.35,4667.55
test,combined_risk_rule,CAUTION,19967,2641,0.132268,17326,0.093171,0.0337,-0.059471,1.162071,1.056487,-0.105584,266.14,445.69,-179.55,1860.35,583.88
test,combined_risk_rule,BLOCK+CAUTION,19967,13942,0.698252,6025,0.093171,0.562835,0.469664,1.162071,2.372507,1.210436,266.14,35.12,231.02,1860.35,3391.08
2026Q2,rolling_sell_pf_below_1,BLOCK,459,277,0.603486,182,-0.057211,0.365604,0.422815,0.900311,1.921351,1.02104,93.66,34.0,59.66,-26.26,66.54
