split,period_type,period,rule,mode,trades_original,trades_blocked,trades_remaining,coverage_retained,avg_r_original,avg_r,total_r_original,total_r,pf_original,pf,max_dd_original,max_dd,win_rate,buy_retained,sell_retained
validation,month,2024-01,q2_like_proxy,BLOCK+CAUTION,1373,854,519,0.378004,-0.022105,0.373738,-30.35,193.97,0.964021,1.800404,295.84,32.0,0.499037,40,479
validation,month,2024-01,combined_risk_rule,BLOCK+CAUTION,1373,948,425,0.309541,-0.022105,0.607812,-30.35,258.32,0.964021,2.600397,295.84,19.0,0.583529,27,398
validation,month,2024-01,q2_like_proxy,BLOCK,1373,717,656,0.477786,-0.022105,0.351631,-30.35,230.67,0.964021,1.749586,295.84,58.77,0.496951,100,556
validation,month,2024-01,combined_risk_rule,BLOCK,1373,856,517,0.376548,-0.022105,0.623114,-30.35,322.15,0.964021,2.713199,295.84,19.0,0.599613,58,459
validation,month,2024-02,q2_like_proxy,BLOCK+CAUTION,818,405,413,0.50489,0.208545,0.508354,170.59,209.95,1.397544,2.165159,108.66,28.87,0.552058,278,135
validation,month,2024-02,combined_risk_rule,BLOCK+CAUTION,818,575,243,0.297066,0.208545,0.789547,170.59,191.86,1.397544,3.359321,108.66,19.97,0.654321,204,39
validation,month,2024-02,q2_like_proxy,BLOCK,818,291,527,0.644254,0.208545,0.446546,170.59,235.33,1.397544,2.000255,108.66,31.87,0.540797,339,188
validation,month,2024-02,combined_risk_rule,BLOCK,818,425,393,0.48044,0.208545,0.71084,170.59,279.36,1.397544,3.065203,108.66,19.97,0.638677,301,92
validation,month,2024-03,q2_like_proxy,BLOCK+CAUTION,564,365,199,0.352837,-0.061082,0.165628,-34.45,32.96,0.891578,1.321844,77.8,30.76,0.417085,136,63
validation,month,2024-03,combined_risk_rule,BLOCK+CAUTION,564,475,89,0.157801,-0.061082,0.563596,-34.45,50.16,0.891578,2.664786,77.8,17.42,0.606742,49,40
validation,month,2024-03,q2_like_proxy,BLOCK,564,261,303,0.537234,-0.061082,0.080792,-34.45,24.48,0.891578,1.147443,77.8,37.31,0.382838,180,123
validation,month,2024-03,combined_risk_rule,BLOCK,564,364,200,0.35461,-0.061082,0.5211,-34.45,104.22,0.891578,2.358446,77.8,17.42,0.54,140,60
validation,month,2024-04,q2_like_proxy,BLOCK+CAUTION,1157,568,589,0.509075,0.165445,0.333531,191.42,196.45,1.3285,1.793705,90.29,36.37,0.504244,502,87
validation,month,2024-04,combined_risk_rule,BLOCK+CAUTION,1157,683,474,0.40968,0.165445,0.485612,191.42,230.18,1.3285,2.315916,90.29,28.37,0.567511,420,54
validation,month,2024-04,q2_like_proxy,BLOCK,1157,409,748,0.6465,0.165445,0.261471,191.42,195.58,1.3285,1.573145,90.29,40.37,0.479947,591,157
validation,month,2024-04,combined_risk_rule,BLOCK,1157,574,583,0.503889,0.165445,0.48319,191.42,281.7,1.3285,2.308772,90.29,33.37,0.569468,511,72
validation,month,2024-05,q2_like_proxy,BLOCK+CAUTION,680,513,167,0.245588,-0.196074,0.183593,-133.33,30.66,0.67669,1.382676,201.58,37.26,0.491018,147,20
validation,month,2024-05,combined_risk_rule,BLOCK+CAUTION,680,549,131,0.192647,-0.196074,0.321756,-133.33,42.15,0.67669,1.714165,201.58,30.48,0.534351,131,0
validation,month,2024-05,q2_like_proxy,BLOCK,680,420,260,0.382353,-0.196074,0.054885,-133.33,14.27,0.67669,1.114215,201.58,54.81,0.434615,176,84
validation,month,2024-05,combined_risk_rule,BLOCK,680,511,169,0.248529,-0.196074,0.269408,-133.33,45.53,0.67669,1.605533,201.58,25.52,0.526627,163,6
validation,month,2024-06,q2_like_proxy,BLOCK+CAUTION,776,493,283,0.364691,0.084691,0.315689,65.72,89.34,1.159159,1.766144,119.52,21.0,0.522968,218,65
validation,month,2024-06,combined_risk_rule,BLOCK+CAUTION,776,557,219,0.282216,0.084691,0.432831,65.72,94.79,1.159159,2.205673,119.52,13.03,0.575342,169,50
validation,month,2024-06,q2_like_proxy,BLOCK,776,365,411,0.529639,0.084691,0.306715,65.72,126.06,1.159159,1.709198,119.52,29.52,0.50365,286,125
validation,month,2024-06,combined_risk_rule,BLOCK,776,439,337,0.434278,0.084691,0.545045,65.72,183.68,1.159159,2.582766,119.52,17.12,0.605341,257,80
validation,month,2024-07,q2_like_proxy,BLOCK+CAUTION,558,181,377,0.675627,0.438369,0.615862,244.61,232.18,2.304239,3.126775,55.0,21.0,0.665782,302,75
validation,month,2024-07,combined_risk_rule,BLOCK+CAUTION,558,206,352,0.630824,0.438369,0.679489,244.61,239.18,2.304239,3.652545,55.0,18.47,0.696023,297,55
validation,month,2024-07,q2_like_proxy,BLOCK,558,138,420,0.752688,0.438369,0.525619,244.61,220.76,2.304239,2.658104,55.0,29.95,0.640476,325,95
validation,month,2024-07,combined_risk_rule,BLOCK,558,167,391,0.700717,0.438369,0.577596,244.61,225.84,2.304239,3.013911,55.0,22.87,0.667519,317,74
validation,month,2024-08,q2_like_proxy,BLOCK+CAUTION,640,460,180,0.28125,0.054328,0.534278,34.77,96.17,1.108456,2.875756,100.43,17.17,0.616667,144,36
validation,month,2024-08,combined_risk_rule,BLOCK+CAUTION,640,494,146,0.228125,0.054328,0.580685,34.77,84.78,1.108456,3.22228,100.43,13.21,0.650685,141,5
validation,month,2024-08,q2_like_proxy,BLOCK,640,325,315,0.492188,0.054328,0.232857,34.77,73.35,1.108456,1.614167,100.43,28.51,0.530159,195,120
validation,month,2024-08,combined_risk_rule,BLOCK,640,398,242,0.378125,0.054328,0.50062,34.77,121.15,1.108456,2.812537,100.43,19.7,0.657025,184,58
validation,month,2024-09,q2_like_proxy,BLOCK+CAUTION,709,534,175,0.246827,-0.33055,0.170857,-234.36,29.9,0.501478,1.401936,290.64,20.0,0.485714,29,146
validation,month,2024-09,combined_risk_rule,BLOCK+CAUTION,709,565,144,0.203103,-0.33055,0.263958,-234.36,38.01,0.501478,1.727047,290.64,15.58,0.541667,21,123
validation,month,2024-09,q2_like_proxy,BLOCK,709,463,246,0.346968,-0.33055,-0.07626,-234.36,-18.76,0.501478,0.856958,290.64,55.04,0.386179,51,195
validation,month,2024-09,combined_risk_rule,BLOCK,709,522,187,0.263752,-0.33055,0.138396,-234.36,25.88,0.501478,1.32964,290.64,20.0,0.486631,34,153
validation,month,2024-10,q2_like_proxy,BLOCK+CAUTION,1001,370,631,0.63037,0.257123,0.409937,257.38,258.67,1.614653,2.228311,78.54,24.0,0.587956,306,325
validation,month,2024-10,combined_risk_rule,BLOCK+CAUTION,1001,456,545,0.544456,0.257123,0.491633,257.38,267.94,1.614653,2.518246,78.54,21.0,0.607339,244,301
