split,period_type,period,rule,mode,trades_original,trades_blocked,trades_remaining,coverage_retained,avg_r_original,avg_r,total_r_original,total_r,pf_original,pf,max_dd_original,max_dd,win_rate,buy_retained,sell_retained
validation,quarter,2024Q1,q2_like_proxy,BLOCK+CAUTION,2755,1624,1131,0.410526,0.038399,0.386278,105.79,436.88,1.066518,1.832247,295.84,32.0,0.503979,454,677
validation,quarter,2024Q1,combined_risk_rule,BLOCK+CAUTION,2755,1998,757,0.274773,0.038399,0.660951,105.79,500.34,1.066518,2.833688,295.84,19.97,0.608983,280,477
validation,quarter,2024Q1,q2_like_proxy,BLOCK,2755,1269,1486,0.539383,0.038399,0.330067,105.79,490.48,1.066518,1.691762,295.84,58.77,0.489233,619,867
validation,quarter,2024Q1,combined_risk_rule,BLOCK,2755,1645,1110,0.402904,0.038399,0.635793,105.79,705.73,1.066518,2.764193,295.84,19.97,0.602703,499,611
validation,quarter,2024Q2,q2_like_proxy,BLOCK+CAUTION,2613,1574,1039,0.397627,0.047382,0.304572,123.81,316.45,1.087932,1.71234,270.64,37.26,0.507218,867,172
validation,quarter,2024Q2,combined_risk_rule,BLOCK+CAUTION,2613,1789,824,0.315346,0.047382,0.445534,123.81,367.12,1.087932,2.174558,270.64,30.48,0.56432,720,104
validation,quarter,2024Q2,q2_like_proxy,BLOCK,2613,1194,1419,0.543054,0.047382,0.236723,123.81,335.91,1.087932,1.521656,270.64,54.81,0.478506,1053,366
validation,quarter,2024Q2,combined_risk_rule,BLOCK,2613,1524,1089,0.416762,0.047382,0.469155,123.81,510.91,1.087932,2.256913,270.64,33.37,0.573921,931,158
validation,quarter,2024Q3,q2_like_proxy,BLOCK+CAUTION,1907,1175,732,0.383849,0.023608,0.489413,45.02,358.25,1.046021,2.525572,290.64,23.0,0.610656,475,257
validation,quarter,2024Q3,combined_risk_rule,BLOCK+CAUTION,1907,1265,642,0.336654,0.023608,0.563816,45.02,361.97,1.046021,3.004264,290.64,18.47,0.65109,459,183
validation,quarter,2024Q3,q2_like_proxy,BLOCK,1907,926,981,0.514421,0.023608,0.280683,45.02,275.35,1.046021,1.717581,290.64,55.04,0.541284,571,410
validation,quarter,2024Q3,combined_risk_rule,BLOCK,1907,1087,820,0.429995,0.023608,0.45472,45.02,372.87,1.046021,2.448095,290.64,22.87,0.623171,535,285
validation,quarter,2024Q4,q2_like_proxy,BLOCK+CAUTION,4150,2295,1855,0.446988,0.086858,0.351342,360.46,651.74,1.1563,1.80615,283.61,58.52,0.524528,1269,586
validation,quarter,2024Q4,combined_risk_rule,BLOCK+CAUTION,4150,2749,1401,0.33759,0.086858,0.559293,360.46,783.57,1.1563,2.563419,283.61,24.25,0.603854,1009,392
validation,quarter,2024Q4,q2_like_proxy,BLOCK,4150,1818,2332,0.561928,0.086858,0.307277,360.46,716.57,1.1563,1.669923,283.61,60.8,0.504288,1541,791
validation,quarter,2024Q4,combined_risk_rule,BLOCK,4150,2247,1903,0.458554,0.086858,0.506022,360.46,962.96,1.1563,2.340293,283.61,23.0,0.582764,1301,602
test,quarter,2025Q1,q2_like_proxy,BLOCK+CAUTION,4028,2537,1491,0.370159,0.036316,0.368276,146.28,549.1,1.061881,1.801267,197.69,52.27,0.503018,989,502
test,quarter,2025Q1,combined_risk_rule,BLOCK+CAUTION,4028,3106,922,0.228898,0.036316,0.453742,146.28,418.35,1.061881,2.07228,197.69,35.12,0.539046,714,208
test,quarter,2025Q1,q2_like_proxy,BLOCK,4028,2010,2018,0.500993,0.036316,0.347393,146.28,701.04,1.061881,1.730737,197.69,43.55,0.490585,1307,711
test,quarter,2025Q1,combined_risk_rule,BLOCK,4028,2477,1551,0.385055,0.036316,0.559207,146.28,867.33,1.061881,2.420223,197.69,34.01,0.56931,1145,406
test,quarter,2025Q2,q2_like_proxy,BLOCK+CAUTION,4563,2592,1971,0.431953,0.05748,0.395145,262.28,778.83,1.09145,1.763776,266.14,41.53,0.474378,992,979
test,quarter,2025Q2,combined_risk_rule,BLOCK+CAUTION,4563,3399,1164,0.255095,0.05748,0.531349,262.28,618.49,1.09145,2.126945,266.14,21.66,0.521478,665,499
test,quarter,2025Q2,q2_like_proxy,BLOCK,4563,2014,2549,0.558624,0.05748,0.280177,262.28,714.17,1.09145,1.503429,266.14,50.35,0.43625,1220,1329
test,quarter,2025Q2,combined_risk_rule,BLOCK,4563,2772,1791,0.392505,0.05748,0.521066,262.28,933.23,1.09145,2.101728,266.14,28.17,0.518146,1040,751
test,quarter,2025Q3,q2_like_proxy,BLOCK+CAUTION,4105,2269,1836,0.447259,0.115469,0.385414,474.0,707.62,1.20098,1.795159,255.74,46.67,0.497821,478,1358
test,quarter,2025Q3,combined_risk_rule,BLOCK+CAUTION,4105,2740,1365,0.332521,0.115469,0.605289,474.0,826.22,1.20098,2.515138,255.74,22.72,0.58315,383,982
test,quarter,2025Q3,q2_like_proxy,BLOCK,4105,1764,2341,0.57028,0.115469,0.316553,474.0,741.05,1.20098,1.630343,255.74,68.85,0.473302,636,1705
test,quarter,2025Q3,combined_risk_rule,BLOCK,4105,2248,1857,0.452375,0.115469,0.547604,474.0,1016.9,1.20098,2.312383,255.74,22.72,0.558966,551,1306
test,quarter,2025Q4,q2_like_proxy,BLOCK+CAUTION,3005,1451,1554,0.517138,0.219564,0.452091,659.79,702.55,1.449543,2.098026,101.57,47.68,0.554698,291,1263
test,quarter,2025Q4,combined_risk_rule,BLOCK+CAUTION,3005,1854,1151,0.383028,0.219564,0.683058,659.79,786.2,1.449543,3.083477,101.57,25.68,0.638575,226,925
