dataset,weekday,trades,tp,sl,be,win_rate,profit_factor,net,avg_r_or_pnl,max_drawdown,worst_loss_streak,best_win_streak,fast_reentries_3h_same_direction,avg_spread_pips
live_demo_organic_normalized_usd,lunes,1,0,1,0,0.0,0.0,-500.0,-500.0,500.0,1,0,0,0.2
live_demo_organic_normalized_usd,martes,0,0,0,0,,,0,,0.0,0,0,0,
live_demo_organic_normalized_usd,miercoles,1,0,1,0,0.0,0.0,-500.0,-500.0,500.0,1,0,0,0.2
live_demo_organic_normalized_usd,jueves,4,3,1,0,0.75,6.0,2500.0,625.0,500.0,1,2,0,0.2
live_demo_organic_normalized_usd,viernes,11,2,7,1,0.2222,0.5714,-1500.0,-136.363636,2500.0,3,1,6,0.3364
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,lunes,0,0,0,0,,,0,,0.0,0,0,0,
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,martes,62,44,18,0,0.7097,3.0158,47.56619,0.767197,6.115391,3,10,13,
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,miercoles,49,34,15,0,0.6939,2.7279,33.75526,0.688883,5.288515,4,6,11,
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,jueves,88,52,36,0,0.5909,1.8893,41.579137,0.47249,5.657285,4,9,30,
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,viernes,79,53,26,0,0.6709,2.5857,53.826905,0.681353,7.516361,5,21,25,
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,lunes,0,0,0,0,,,0,,0.0,0,0,0,
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,martes,799,585,214,0,0.7322,3.7068,676.462135,0.846636,6.472303,5,15,145,
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,miercoles,833,597,236,0,0.7167,3.3293,662.397949,0.795196,6.843587,5,18,163,
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,jueves,802,581,221,0,0.7244,3.4766,663.112741,0.826824,5.657285,4,18,160,
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,viernes,912,677,235,0,0.7423,3.8711,802.029719,0.879419,7.516361,5,21,160,
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,lunes,0,0,0,0,,,0,,0.0,0,0,0,
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,martes,21,17,4,0,0.8095,6.4344,21.119163,1.005674,3.754958,3,16,0,
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,miercoles,19,14,5,0,0.7368,3.1848,14.332894,0.754363,2.793232,2,9,0,
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,jueves,22,16,6,0,0.7273,3.6077,18.886206,0.858464,2.563628,2,8,0,
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,viernes,17,13,4,0,0.7647,4.8267,14.689472,0.864087,1.439166,1,7,0,
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,lunes,142,94,48,0,0.662,3.7595,118.08,0.831549,3.44,4,15,29,1.8401
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,martes,1526,941,585,0,0.6166,3.04,1150.15,0.753702,7.0,8,14,442,0.3657
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,miercoles,1637,950,687,0,0.5803,2.5978,1069.11,0.653091,9.0,9,13,514,0.3947
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,jueves,1627,971,655,0,0.5972,2.8431,1163.02,0.714825,5.0,5,17,498,0.3635
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,viernes,1607,966,640,0,0.6015,2.9008,1169.57,0.727797,8.0,7,11,480,0.3009
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,lunes,117,96,21,0,0.8205,8.8033,140.46,1.200513,13.0,13,38,0,
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,martes,884,381,502,1,0.4315,1.4026,193.29,0.218654,49.86,50,42,0,
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,miercoles,1192,534,656,2,0.4487,1.3596,224.69,0.188498,80.91,31,56,0,
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,jueves,1337,551,786,0,0.4121,1.221,166.35,0.12442,57.66,55,29,0,
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,viernes,1377,555,822,0,0.4031,1.2612,204.25,0.14833,147.44,97,39,0,
