month,scenario,lot,date,trades,tp,sl,be,daily_pnl_usd,balance_usd,drawdown_usd,drawdown_pct,distance_daily_limit_usd,distance_total_limit_usd,danger_zone,toxic_cluster_detected,toxic_cluster_reason
2020-03,baseline,1.0,2020-03-03,1,1,0,0,163.74,100163.74,0.0,0.0,4163.74,8163.74,No,False,
2020-03,baseline,1.0,2020-03-04,2,2,0,0,196.31,100360.05,0.0,0.0,4196.31,8360.05,No,False,
2020-03,baseline,1.0,2020-03-05,1,1,0,0,169.79,100529.84,0.0,0.0,4169.79,8529.84,No,False,
2020-03,baseline,1.0,2020-03-10,24,14,10,0,945.3,101475.14,0.0,0.0,4945.3,9475.14,No,False,
2020-03,baseline,1.0,2020-03-11,11,9,2,0,1128.02,102603.16,0.0,0.0,5128.02,10603.16,No,False,
2020-03,baseline,1.0,2020-03-12,20,12,8,0,1029.69,103632.85,0.0,0.0,5029.69,11632.85,No,False,
2020-03,baseline,1.0,2020-03-13,12,8,4,0,866.41,104499.26,0.0,0.0,4866.41,12499.26,No,False,
2020-03,baseline,1.0,2020-03-17,19,13,6,0,1474.46,105973.72,0.0,0.0,5474.46,13973.72,No,False,
2020-03,baseline,1.0,2020-03-18,14,10,4,0,1221.36,107195.08,0.0,0.0,5221.36,15195.08,No,False,
2020-03,baseline,1.0,2020-03-19,30,15,15,0,647.77,107842.85,0.0,0.0,4647.77,15842.85,No,False,
2020-03,baseline,1.0,2020-03-20,26,12,14,0,192.93,108035.78,0.0,0.0,4192.93,16035.78,No,False,
2020-03,baseline,1.0,2020-03-25,1,1,0,0,177.93,108213.71,0.0,0.0,4177.93,16213.71,No,False,
2020-03,baseline,1.0,2020-03-26,8,6,2,0,771.93,108985.64,0.0,0.0,4771.93,16985.64,No,False,
2020-03,baseline,1.0,2020-03-27,11,11,0,0,1894.2,110879.84,0.0,0.0,5894.2,18879.84,No,False,
2020-03,baseline,1.0,2020-03-31,1,1,0,0,165.97,111045.81,0.0,0.0,4165.97,19045.81,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-03,1,1,0,0,163.74,100163.74,0.0,0.0,4163.74,8163.74,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-04,2,2,0,0,196.31,100360.05,0.0,0.0,4196.31,8360.05,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-05,1,1,0,0,169.79,100529.84,0.0,0.0,4169.79,8529.84,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-10,17,8,9,0,111.9,100641.74,0.0,0.0,4111.9,8641.74,No,True,cluster_3_consecutive_sl_safe_mode
2020-03,cluster_only_3sl,1.0,2020-03-11,11,9,2,0,1128.02,101769.76,0.0,0.0,5128.02,9769.76,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-12,20,12,8,0,1029.69,102799.45,0.0,0.0,5029.69,10799.45,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-13,12,8,4,0,866.41,103665.86,0.0,0.0,4866.41,11665.86,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-17,19,13,6,0,1474.46,105140.32,0.0,0.0,5474.46,13140.32,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-18,14,10,4,0,1221.36,106361.68,0.0,0.0,5221.36,14361.68,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-19,21,8,13,0,-294.41,106067.27,294.41,0.002944,3705.59,14067.27,No,True,cluster_3_consecutive_sl_safe_mode
2020-03,cluster_only_3sl,1.0,2020-03-20,19,9,10,0,189.28,106256.56,105.13,0.001051,4189.28,14256.56,No,True,cluster_3_consecutive_sl_safe_mode
2020-03,cluster_only_3sl,1.0,2020-03-25,1,1,0,0,177.93,106434.48,0.0,0.0,4177.93,14434.48,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-26,8,6,2,0,771.93,107206.41,0.0,0.0,4771.93,15206.41,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-27,11,11,0,0,1894.2,109100.61,0.0,0.0,5894.2,17100.61,No,False,
2020-03,cluster_only_3sl,1.0,2020-03-31,1,1,0,0,165.97,109266.58,0.0,0.0,4165.97,17266.58,No,False,
2020-03,guardrails_completos,1.0,2020-03-03,1,1,0,0,163.74,100163.74,0.0,0.0,4163.74,8163.74,No,False,
