month,scenario,lot,final_balance_usd,net_usd,max_drawdown_usd,max_drawdown_pct,max_drawdown_day,max_drawdown_duration_days,recovery_events,worst_day_usd,best_day_usd,min_daily_limit_margin_usd,min_total_limit_margin_usd,danger_days
2020-03,baseline,0.6,106627.49,6627.49,0.0,0.0,,0,0,98.24,1136.52,4098.24,8098.24,0
2020-03,baseline,1.0,111045.81,11045.81,0.0,0.0,,0,0,163.74,1894.2,4163.74,8163.74,0
2020-03,cluster_only_3sl,0.6,105559.95,5559.95,176.65,0.001766,2020-03-19,2,1,-176.65,1136.52,3823.35,8098.24,0
2020-03,cluster_only_3sl,1.0,109266.58,9266.58,294.41,0.002944,2020-03-19,2,1,-294.41,1894.2,3705.59,8163.74,0
2020-03,guardrails_completos,0.6,105525.52,5525.52,53.83,0.000538,2020-03-13,1,1,-53.83,1136.52,3946.17,8098.24,0
2020-03,guardrails_completos,1.0,109209.2,9209.2,89.71,0.000897,2020-03-13,1,1,-89.71,1894.2,3910.29,8163.74,0
2022-04,baseline,0.6,104034.08,4034.08,0.0,0.0,,0,0,11.76,614.84,4011.76,8105.33,0
2022-04,baseline,1.0,106723.47,6723.47,0.0,0.0,,0,0,19.59,1024.73,4019.59,8175.56,0
2022-04,cluster_only_3sl,0.6,104063.72,4063.72,0.0,0.0,,0,0,11.76,614.84,4011.76,8105.33,0
2022-04,cluster_only_3sl,1.0,106772.86,6772.86,0.0,0.0,,0,0,19.59,1024.73,4019.59,8175.56,0
2022-04,guardrails_completos,0.6,103451.65,3451.65,5.28,5.3e-05,2022-04-27,1,1,-5.28,509.92,3994.72,8105.33,0
2022-04,guardrails_completos,1.0,105752.75,5752.75,8.8,8.8e-05,2022-04-27,1,1,-8.8,849.86,3991.2,8175.56,0
2020-09,baseline,0.6,104575.03,4575.03,78.23,0.000782,2020-09-04,2,2,-78.23,622.38,3921.77,7978.32,0
2020-09,baseline,1.0,107625.05,7625.05,130.38,0.001304,2020-09-04,2,2,-130.38,1037.29,3869.62,7963.86,0
2020-09,cluster_only_3sl,0.6,104575.03,4575.03,78.23,0.000782,2020-09-04,2,2,-78.23,622.38,3921.77,7978.32,0
2020-09,cluster_only_3sl,1.0,107625.05,7625.05,130.38,0.001304,2020-09-04,2,2,-130.38,1037.29,3869.62,7963.86,0
2020-09,guardrails_completos,0.6,103984.9,3984.9,78.23,0.000782,2020-09-04,2,3,-78.23,622.38,3921.77,7978.32,0
2020-09,guardrails_completos,1.0,106641.51,6641.51,130.38,0.001304,2020-09-04,2,3,-130.38,1037.29,3869.62,7963.86,0
2021-08,baseline,0.6,101711.78,1711.78,80.59,0.000806,2021-08-03,1,3,-80.59,371.66,3919.41,7919.41,0
2021-08,baseline,1.0,102852.96,2852.96,134.32,0.001343,2021-08-03,1,3,-134.32,619.44,3865.68,7865.68,0
2021-08,cluster_only_3sl,0.6,101711.78,1711.78,80.59,0.000806,2021-08-03,1,3,-80.59,371.66,3919.41,7919.41,0
2021-08,cluster_only_3sl,1.0,102852.96,2852.96,134.32,0.001343,2021-08-03,1,3,-134.32,619.44,3865.68,7865.68,0
2021-08,guardrails_completos,0.6,101384.72,1384.72,80.59,0.000806,2021-08-03,2,3,-80.59,371.66,3919.41,7919.41,0
2021-08,guardrails_completos,1.0,102307.86,2307.86,134.32,0.001343,2021-08-03,2,3,-134.32,619.44,3865.68,7865.68,0
2022-08,baseline,0.6,104789.27,4789.27,0.0,0.0,,0,0,9.93,720.55,4009.93,8467.52,0
2022-08,baseline,1.0,107982.11,7982.11,0.0,0.0,,0,0,16.56,1200.91,4016.56,8779.2,0
2022-08,cluster_only_3sl,0.6,104648.08,4648.08,96.4,0.000964,2022-08-23,2,1,-96.4,720.55,3903.6,8467.52,0
2022-08,cluster_only_3sl,1.0,107746.8,7746.8,160.66,0.001607,2022-08-23,2,1,-160.66,1200.91,3839.34,8779.2,0
2022-08,guardrails_completos,0.6,104404.53,4404.53,94.4,0.000944,2022-08-23,2,1,-74.51,720.55,3925.49,8364.81,0
2022-08,guardrails_completos,1.0,107340.88,7340.88,157.33,0.001573,2022-08-23,2,1,-124.18,1200.91,3875.82,8608.01,0
2024-06,baseline,0.6,100483.95,483.95,159.77,0.001598,2024-06-13,3,1,-159.77,208.85,3840.23,7947.03,0
2024-06,baseline,1.0,100806.59,806.59,266.28,0.002663,2024-06-13,3,1,-266.28,348.08,3733.72,7911.71,0
2024-06,cluster_only_3sl,0.6,100483.95,483.95,159.77,0.001598,2024-06-13,3,1,-159.77,208.85,3840.23,7947.03,0
2024-06,cluster_only_3sl,1.0,100806.59,806.59,266.28,0.002663,2024-06-13,3,1,-266.28,348.08,3733.72,7911.71,0
2024-06,guardrails_completos,0.6,100483.95,483.95,159.77,0.001598,2024-06-13,3,1,-159.77,208.85,3840.23,7947.03,0
2024-06,guardrails_completos,1.0,100806.59,806.59,266.28,0.002663,2024-06-13,3,1,-266.28,348.08,3733.72,7911.71,0
2024-10,baseline,0.6,100833.78,833.78,89.01,0.00089,2024-10-25,3,4,-89.01,224.03,3910.99,7999.48,0
2024-10,baseline,1.0,101389.64,1389.64,148.35,0.001484,2024-10-25,3,4,-148.35,373.39,3851.65,7999.14,0
2024-10,cluster_only_3sl,0.6,100833.78,833.78,89.01,0.00089,2024-10-25,3,4,-89.01,224.03,3910.99,7999.48,0
2024-10,cluster_only_3sl,1.0,101389.64,1389.64,148.35,0.001484,2024-10-25,3,4,-148.35,373.39,3851.65,7999.14,0
2024-10,guardrails_completos,0.6,100911.56,911.56,19.9,0.000199,2024-10-04,2,4,-19.9,224.03,3980.1,7999.48,0
2024-10,guardrails_completos,1.0,101519.27,1519.27,33.17,0.000332,2024-10-04,2,4,-33.17,373.39,3966.83,7999.14,0
