month,scenario,lot,date,balance_usd,peak_usd,drawdown_usd,drawdown_pct,daily_pnl_usd
2020-03,baseline,0.6,2020-03-03,100098.24,100098.24,0.0,0.0,98.24
2020-03,baseline,0.6,2020-03-04,100216.03,100216.03,0.0,0.0,117.79
2020-03,baseline,0.6,2020-03-05,100317.9,100317.9,0.0,0.0,101.87
2020-03,baseline,0.6,2020-03-10,100885.09,100885.09,0.0,0.0,567.18
2020-03,baseline,0.6,2020-03-11,101561.9,101561.9,0.0,0.0,676.81
2020-03,baseline,0.6,2020-03-12,102179.71,102179.71,0.0,0.0,617.81
2020-03,baseline,0.6,2020-03-13,102699.56,102699.56,0.0,0.0,519.85
2020-03,baseline,0.6,2020-03-17,103584.23,103584.23,0.0,0.0,884.68
2020-03,baseline,0.6,2020-03-18,104317.05,104317.05,0.0,0.0,732.82
2020-03,baseline,0.6,2020-03-19,104705.71,104705.71,0.0,0.0,388.66
2020-03,baseline,0.6,2020-03-20,104821.47,104821.47,0.0,0.0,115.76
2020-03,baseline,0.6,2020-03-25,104928.22,104928.22,0.0,0.0,106.76
2020-03,baseline,0.6,2020-03-26,105391.38,105391.38,0.0,0.0,463.16
2020-03,baseline,0.6,2020-03-27,106527.9,106527.9,0.0,0.0,1136.52
2020-03,baseline,0.6,2020-03-31,106627.49,106627.49,0.0,0.0,99.58
2020-03,baseline,1.0,2020-03-03,100163.74,100163.74,0.0,0.0,163.74
2020-03,baseline,1.0,2020-03-04,100360.05,100360.05,0.0,0.0,196.31
2020-03,baseline,1.0,2020-03-05,100529.84,100529.84,0.0,0.0,169.79
2020-03,baseline,1.0,2020-03-10,101475.14,101475.14,0.0,0.0,945.3
2020-03,baseline,1.0,2020-03-11,102603.16,102603.16,0.0,0.0,1128.02
2020-03,baseline,1.0,2020-03-12,103632.85,103632.85,0.0,0.0,1029.69
2020-03,baseline,1.0,2020-03-13,104499.26,104499.26,0.0,0.0,866.41
2020-03,baseline,1.0,2020-03-17,105973.72,105973.72,0.0,0.0,1474.46
2020-03,baseline,1.0,2020-03-18,107195.08,107195.08,0.0,0.0,1221.36
2020-03,baseline,1.0,2020-03-19,107842.85,107842.85,0.0,0.0,647.77
2020-03,baseline,1.0,2020-03-20,108035.78,108035.78,0.0,0.0,192.93
2020-03,baseline,1.0,2020-03-25,108213.71,108213.71,0.0,0.0,177.93
2020-03,baseline,1.0,2020-03-26,108985.64,108985.64,0.0,0.0,771.93
2020-03,baseline,1.0,2020-03-27,110879.84,110879.84,0.0,0.0,1894.2
2020-03,baseline,1.0,2020-03-31,111045.81,111045.81,0.0,0.0,165.97
2020-03,cluster_only_3sl,0.6,2020-03-03,100098.24,100098.24,0.0,0.0,98.24
2020-03,cluster_only_3sl,0.6,2020-03-04,100216.03,100216.03,0.0,0.0,117.79
2020-03,cluster_only_3sl,0.6,2020-03-05,100317.9,100317.9,0.0,0.0,101.87
2020-03,cluster_only_3sl,0.6,2020-03-10,100385.04,100385.04,0.0,0.0,67.14
2020-03,cluster_only_3sl,0.6,2020-03-11,101061.86,101061.86,0.0,0.0,676.81
2020-03,cluster_only_3sl,0.6,2020-03-12,101679.67,101679.67,0.0,0.0,617.81
2020-03,cluster_only_3sl,0.6,2020-03-13,102199.52,102199.52,0.0,0.0,519.85
2020-03,cluster_only_3sl,0.6,2020-03-17,103084.19,103084.19,0.0,0.0,884.68
2020-03,cluster_only_3sl,0.6,2020-03-18,103817.01,103817.01,0.0,0.0,732.82
2020-03,cluster_only_3sl,0.6,2020-03-19,103640.36,103817.01,176.65,0.001766,-176.65
2020-03,cluster_only_3sl,0.6,2020-03-20,103753.93,103817.01,63.08,0.000631,113.57
2020-03,cluster_only_3sl,0.6,2020-03-25,103860.69,103860.69,0.0,0.0,106.76
2020-03,cluster_only_3sl,0.6,2020-03-26,104323.85,104323.85,0.0,0.0,463.16
2020-03,cluster_only_3sl,0.6,2020-03-27,105460.37,105460.37,0.0,0.0,1136.52
2020-03,cluster_only_3sl,0.6,2020-03-31,105559.95,105559.95,0.0,0.0,99.58
2020-03,cluster_only_3sl,1.0,2020-03-03,100163.74,100163.74,0.0,0.0,163.74
2020-03,cluster_only_3sl,1.0,2020-03-04,100360.05,100360.05,0.0,0.0,196.31
2020-03,cluster_only_3sl,1.0,2020-03-05,100529.84,100529.84,0.0,0.0,169.79
2020-03,cluster_only_3sl,1.0,2020-03-10,100641.74,100641.74,0.0,0.0,111.9
2020-03,cluster_only_3sl,1.0,2020-03-11,101769.76,101769.76,0.0,0.0,1128.02
2020-03,cluster_only_3sl,1.0,2020-03-12,102799.45,102799.45,0.0,0.0,1029.69
2020-03,cluster_only_3sl,1.0,2020-03-13,103665.86,103665.86,0.0,0.0,866.41
2020-03,cluster_only_3sl,1.0,2020-03-17,105140.32,105140.32,0.0,0.0,1474.46
2020-03,cluster_only_3sl,1.0,2020-03-18,106361.68,106361.68,0.0,0.0,1221.36
2020-03,cluster_only_3sl,1.0,2020-03-19,106067.27,106361.68,294.41,0.002944,-294.41
2020-03,cluster_only_3sl,1.0,2020-03-20,106256.56,106361.68,105.13,0.001051,189.28
2020-03,cluster_only_3sl,1.0,2020-03-25,106434.48,106434.48,0.0,0.0,177.93
2020-03,cluster_only_3sl,1.0,2020-03-26,107206.41,107206.41,0.0,0.0,771.93
2020-03,cluster_only_3sl,1.0,2020-03-27,109100.61,109100.61,0.0,0.0,1894.2
2020-03,cluster_only_3sl,1.0,2020-03-31,109266.58,109266.58,0.0,0.0,165.97
2020-03,guardrails_completos,0.6,2020-03-03,100098.24,100098.24,0.0,0.0,98.24
2020-03,guardrails_completos,0.6,2020-03-04,100216.03,100216.03,0.0,0.0,117.79
2020-03,guardrails_completos,0.6,2020-03-05,100317.9,100317.9,0.0,0.0,101.87
2020-03,guardrails_completos,0.6,2020-03-10,100910.92,100910.92,0.0,0.0,593.02
2020-03,guardrails_completos,0.6,2020-03-11,101587.73,101587.73,0.0,0.0,676.81
2020-03,guardrails_completos,0.6,2020-03-12,102049.86,102049.86,0.0,0.0,462.12
2020-03,guardrails_completos,0.6,2020-03-13,101996.03,102049.86,53.83,0.000538,-53.83
2020-03,guardrails_completos,0.6,2020-03-17,102722.14,102722.14,0.0,0.0,726.11
2020-03,guardrails_completos,0.6,2020-03-18,103454.96,103454.96,0.0,0.0,732.82
2020-03,guardrails_completos,0.6,2020-03-19,103479.19,103479.19,0.0,0.0,24.23
2020-03,guardrails_completos,0.6,2020-03-20,103719.5,103719.5,0.0,0.0,240.32
2020-03,guardrails_completos,0.6,2020-03-25,103826.26,103826.26,0.0,0.0,106.76
2020-03,guardrails_completos,0.6,2020-03-26,104289.42,104289.42,0.0,0.0,463.16
2020-03,guardrails_completos,0.6,2020-03-27,105425.94,105425.94,0.0,0.0,1136.52
2020-03,guardrails_completos,0.6,2020-03-31,105525.52,105525.52,0.0,0.0,99.58
2020-03,guardrails_completos,1.0,2020-03-03,100163.74,100163.74,0.0,0.0,163.74
2020-03,guardrails_completos,1.0,2020-03-04,100360.05,100360.05,0.0,0.0,196.31
2020-03,guardrails_completos,1.0,2020-03-05,100529.84,100529.84,0.0,0.0,169.79
2020-03,guardrails_completos,1.0,2020-03-10,101518.2,101518.2,0.0,0.0,988.36
2020-03,guardrails_completos,1.0,2020-03-11,102646.22,102646.22,0.0,0.0,1128.02
2020-03,guardrails_completos,1.0,2020-03-12,103416.43,103416.43,0.0,0.0,770.2
