group,scenario,month,entry_time,decision_id,symbol,direction,result_if_taken,r_if_taken,net_pips_if_taken,reason,cluster_id,cluster_consecutive_sl,daily_sl_count,session_sl_count,daily_drawdown_r,friday_risk,spread_deteriorated,safe_mode_active,blocked_until
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-10T08:10:00+00:00,EURUSD-2020-03-10T08:10:00Z-000106,EURUSD,SELL,WIN,1.728679,17.28679,cluster_2_consecutive_sl_block_180m,5,2,3,3,4.159276,False,False,False,2020-03-10T11:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-10T08:35:00+00:00,EURUSD-2020-03-10T08:35:00Z-000107,EURUSD,SELL,LOSS,-1.431305,-14.31305,cluster_2_consecutive_sl_block_180m,5,2,3,3,4.159276,False,False,False,2020-03-10T11:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-10T09:50:00+00:00,EURUSD-2020-03-10T09:50:00Z-000110,EURUSD,SELL,LOSS,-1.296936,-12.96936,cluster_2_consecutive_sl_block_180m,7,0,4,4,5.464044,False,False,False,2020-03-10T11:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-10T09:55:00+00:00,EURUSD-2020-03-10T09:55:00Z-000111,EURUSD,SELL,LOSS,-1.316899,-13.16899,cluster_2_consecutive_sl_block_180m,8,0,4,4,5.464044,False,False,False,2020-03-10T11:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-10T10:05:00+00:00,EURUSD-2020-03-10T10:05:00Z-000112,EURUSD,SELL,LOSS,-1.355797,-13.55797,cluster_2_consecutive_sl_block_180m,9,0,4,4,5.464044,False,False,False,2020-03-10T11:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-10T10:20:00+00:00,EURUSD-2020-03-10T10:20:00Z-000113,EURUSD,SELL,WIN,1.68786,16.8786,cluster_2_consecutive_sl_block_180m,10,0,4,4,5.464044,False,False,False,2020-03-10T11:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-10T10:55:00+00:00,EURUSD-2020-03-10T10:55:00Z-000114,EURUSD,SELL,WIN,1.553808,15.53808,cluster_2_consecutive_sl_block_180m,11,0,4,4,5.464044,False,False,False,2020-03-10T11:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-12T14:10:00+00:00,EURUSD-2020-03-12T14:10:00Z-000166,EURUSD,SELL,WIN,1.737681,17.37681,cluster_2_consecutive_sl_block_180m,20,2,5,3,6.466934,False,False,False,2020-03-12T17:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-12T14:20:00+00:00,EURUSD-2020-03-12T14:20:00Z-000167,EURUSD,SELL,LOSS,-1.289888,-12.89888,cluster_2_consecutive_sl_block_180m,20,2,5,3,6.466934,False,False,False,2020-03-12T17:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-12T14:50:00+00:00,EURUSD-2020-03-12T14:50:00Z-000169,EURUSD,SELL,LOSS,-1.257979,-12.57979,cluster_2_consecutive_sl_block_180m,22,0,6,4,7.756617,False,False,False,2020-03-12T17:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-12T14:55:00+00:00,EURUSD-2020-03-12T14:55:00Z-000170,EURUSD,SELL,WIN,1.753006,17.53006,cluster_2_consecutive_sl_block_180m,23,0,6,4,7.756617,False,False,False,2020-03-12T17:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-12T17:00:00+00:00,EURUSD-2020-03-12T17:00:00Z-000171,EURUSD,SELL,WIN,1.651997,16.51997,cluster_2_consecutive_sl_block_180m,24,0,6,0,7.756617,False,False,False,2020-03-12T17:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-13T09:35:00+00:00,EURUSD-2020-03-13T09:35:00Z-000201,EURUSD,SELL,WIN,1.669352,16.69352,friday_2sl_safe_mode,27,1,2,2,2.53087,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-13T09:50:00+00:00,EURUSD-2020-03-13T09:50:00Z-000202,EURUSD,SELL,LOSS,-1.247693,-12.47693,friday_2sl_safe_mode,27,1,2,2,2.53087,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-13T10:15:00+00:00,EURUSD-2020-03-13T10:15:00Z-000205,EURUSD,SELL,LOSS,-1.300768,-13.00768,friday_2sl_safe_mode,27,1,2,2,2.53087,True,False,False,next_operational_day
