dataset,scenario,trades,tp,sl,be,win_rate,profit_factor,net,avg,max_drawdown,trades_removed,tp_removed,sl_removed,removed_net,net_delta_vs_baseline,dd_delta_vs_baseline
live_demo_organic_normalized_usd,Baseline,17,5,10,1,0.3333,1.0,0.0,0.0,1500.0,0,0,0,0,0.0,0.0
live_demo_organic_normalized_usd,Rule 1 - block after first SL in cluster,17,5,10,1,0.3333,1.0,0.0,0.0,1500.0,0,0,0,0,0.0,0.0
live_demo_organic_normalized_usd,Rule 2 - after 2 consecutive SL safe 180m,12,4,7,1,0.3636,1.1429,500.0,41.666667,1500.0,5,1,3,-500.0,500.0,0.0
live_demo_organic_normalized_usd,Rule 3 - after 3 consecutive SL safe next session/day,14,4,8,1,0.3333,1.0,0.0,0.0,1500.0,3,1,2,0.0,0.0,0.0
live_demo_organic_normalized_usd,Rule 4 - first TP max 1 reentry,15,5,9,1,0.3571,1.1111,500.0,33.333333,1500.0,2,0,1,-500.0,500.0,0.0
live_demo_organic_normalized_usd,"Rule 5 - first SL one reentry, block if fails",17,5,10,1,0.3333,1.0,0.0,0.0,1500.0,0,0,0,0,0.0,0.0
live_demo_organic_normalized_usd,"Rule 6 - TP clusters continue, SL clusters restrictive",17,5,10,1,0.3333,1.0,0.0,0.0,1500.0,0,0,0,0,0.0,0.0
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Baseline,278,183,95,0,0.6583,2.4272,176.727492,0.63571,7.516361,0,0,0,0,0.0,0.0
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Rule 1 - block after first SL in cluster,198,133,65,0,0.6717,2.5523,131.652459,0.664911,5.629531,80,50,30,45.075033,-45.075033,-1.88683
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Rule 2 - after 2 consecutive SL safe 180m,222,150,72,0,0.6757,2.6058,150.681782,0.678747,8.841719,56,33,23,26.04571,-26.04571,1.325358
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Rule 3 - after 3 consecutive SL safe next session/day,262,173,89,0,0.6603,2.4457,167.847927,0.640641,11.474211,16,10,6,8.879565,-8.879565,3.95785
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Rule 4 - first TP max 1 reentry,189,123,66,0,0.6508,2.3394,115.061632,0.608792,8.503043,89,60,29,61.66586,-61.66586,0.986682
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,"Rule 5 - first SL one reentry, block if fails",253,169,84,0,0.668,2.5307,167.550989,0.662257,7.516361,25,14,11,9.176503,-9.176503,0.0
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,"Rule 6 - TP clusters continue, SL clusters restrictive",220,149,71,0,0.6773,2.6283,150.76559,0.685298,6.208085,58,34,24,25.961902,-25.961902,-1.308276
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,Baseline,3346,2440,906,0,0.7292,3.593,2804.002544,0.838016,7.516361,0,0,0,0,0.0,0.0
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,Rule 1 - block after first SL in cluster,2723,1978,745,0,0.7264,3.5116,2232.87108,0.820004,7.449667,623,462,161,571.131464,-571.131464,-0.066694
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,Rule 2 - after 2 consecutive SL safe 180m,3128,2297,831,0,0.7343,3.6995,2662.242586,0.851101,8.841719,218,143,75,141.759958,-141.759958,1.325358
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,Rule 3 - after 3 consecutive SL safe next session/day,3276,2391,885,0,0.7299,3.6044,2748.058417,0.838846,11.474211,70,49,21,55.944127,-55.944127,3.95785
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,Rule 4 - first TP max 1 reentry,2730,1996,734,0,0.7311,3.6705,2306.924102,0.845027,8.503043,616,444,172,497.078442,-497.078442,0.986682
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,"Rule 5 - first SL one reentry, block if fails",3266,2385,881,0,0.7303,3.6152,2746.136383,0.840826,7.516361,80,55,25,57.866161,-57.866161,0.0
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,"Rule 6 - TP clusters continue, SL clusters restrictive",3003,2207,796,0,0.7349,3.6886,2550.152407,0.849202,6.843587,343,233,110,253.850137,-253.850137,-0.672774
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,Baseline,79,60,19,0,0.7595,4.2065,69.027735,0.873769,5.056002,0,0,0,0,0.0,0.0
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,Rule 1 - block after first SL in cluster,79,60,19,0,0.7595,4.2065,69.027735,0.873769,5.056002,0,0,0,0,0.0,0.0
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,Rule 2 - after 2 consecutive SL safe 180m,79,60,19,0,0.7595,4.2065,69.027735,0.873769,5.056002,0,0,0,0,0.0,0.0
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,Rule 3 - after 3 consecutive SL safe next session/day,79,60,19,0,0.7595,4.2065,69.027735,0.873769,5.056002,0,0,0,0,0.0,0.0
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,Rule 4 - first TP max 1 reentry,79,60,19,0,0.7595,4.2065,69.027735,0.873769,5.056002,0,0,0,0,0.0,0.0
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,"Rule 5 - first SL one reentry, block if fails",79,60,19,0,0.7595,4.2065,69.027735,0.873769,5.056002,0,0,0,0,0.0,0.0
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,"Rule 6 - TP clusters continue, SL clusters restrictive",79,60,19,0,0.7595,4.2065,69.027735,0.873769,5.056002,0,0,0,0,0.0,0.0
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Baseline,6539,3922,2615,0,0.6,2.8517,4669.93,0.714166,9.0,0,0,0,0,0.0,0.0
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Rule 1 - block after first SL in cluster,4527,2661,1864,0,0.5881,2.6799,3007.31,0.664305,8.45,2012,1261,751,1662.62,-1662.62,-0.55
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Rule 2 - after 2 consecutive SL safe 180m,5546,3320,2224,0,0.5988,2.828,3900.92,0.703375,9.0,993,602,391,769.01,-769.01,0.0
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Rule 3 - after 3 consecutive SL safe next session/day,6219,3731,2486,0,0.6001,2.8481,4423.92,0.711356,7.0,320,191,129,246.01,-246.01,-2.0
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Rule 4 - first TP max 1 reentry,5359,3243,2114,0,0.6054,2.9223,3897.91,0.727358,9.0,1180,679,501,772.02,-772.02,0.0
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,"Rule 5 - first SL one reentry, block if fails",6074,3622,2450,0,0.5965,2.8059,4258.01,0.701022,9.0,465,300,165,411.92,-411.92,0.0
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,"Rule 6 - TP clusters continue, SL clusters restrictive",5289,3183,2104,0,0.602,2.865,3762.5,0.711382,8.01,1250,739,511,907.43,-907.43,-0.99
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Baseline,4907,2117,2787,3,0.4317,1.3496,929.04,0.18933,134.09,0,0,0,0,0.0,0.0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Rule 1 - block after first SL in cluster,4907,2117,2787,3,0.4317,1.3496,929.04,0.18933,134.09,0,0,0,0,0.0,0.0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Rule 2 - after 2 consecutive SL safe 180m,4907,2117,2787,3,0.4317,1.3496,929.04,0.18933,134.09,0,0,0,0,0.0,0.0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Rule 3 - after 3 consecutive SL safe next session/day,4907,2117,2787,3,0.4317,1.3496,929.04,0.18933,134.09,0,0,0,0,0.0,0.0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Rule 4 - first TP max 1 reentry,4907,2117,2787,3,0.4317,1.3496,929.04,0.18933,134.09,0,0,0,0,0.0,0.0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,"Rule 5 - first SL one reentry, block if fails",4907,2117,2787,3,0.4317,1.3496,929.04,0.18933,134.09,0,0,0,0,0.0,0.0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,"Rule 6 - TP clusters continue, SL clusters restrictive",4907,2117,2787,3,0.4317,1.3496,929.04,0.18933,134.09,0,0,0,0,0.0,0.0
