source,ticket,decision_id,snapshot_id,symbol,direction,entry_time,exit_time,session,result,pnl_normalized,is_synthetic,post_sl_reentry,minutes_after_previous_sl,same_direction_as_previous_sl,same_session_as_previous_sl,within_3h_after_previous_sl,fast_same_direction_reentry,reason
live,8515425225,magi_0a77b132230ea375,EURUSD_M5_2026-05-06T18:00:00_live,EURUSD,BUY,2026-05-06T15:00:20+00:00,2026-05-06T16:51:44+00:00,new_york,SL,-500,False,False,,False,False,False,False,Caso MVP detectado: confluencia alcista H1/H4 con RSI y EMAs alineadas.
live,8523501566,magi_ededf142e6e812b7,EURUSD_M5_2026-05-07T09:20:00_live,EURUSD,BUY,2026-05-07T06:20:21+00:00,2026-05-07T07:15:20+00:00,london,TP,1000,False,True,808.62,True,False,False,False,Caso MVP detectado: confluencia alcista H1/H4 con RSI y EMAs alineadas.
live,8525528485,magi_1b708568c2bb2c8e,EURUSD_M5_2026-05-07T11:00:00_live,EURUSD,BUY,2026-05-07T08:00:21+00:00,2026-05-07T16:08:29+00:00,london,SL,-500,False,False,,False,False,False,False,Caso MVP detectado: confluencia alcista H1/H4 con RSI y EMAs alineadas.
live,8547574064,magi_a680ce82f15d0821,EURUSD_M5_2026-05-08T12:00:00_live,EURUSD,BUY,2026-05-08T09:00:21+00:00,2026-05-08T13:32:01+00:00,overlap,TP,1000,False,True,1011.87,True,False,False,False,Caso MVP detectado: confluencia alcista H1/H4 con RSI y EMAs alineadas.
live,8553314033,magi_efb1c06f73783966,EURUSD_M5_2026-05-08T16:35:00_live,EURUSD,BUY,2026-05-08T13:35:21+00:00,2026-05-08T14:00:57+00:00,new_york,SL,-500,False,False,,False,False,False,False,Caso MVP detectado: confluencia alcista H1/H4 con RSI y EMAs alineadas.
live,8554125215,magi_a5491c5f83106c4f,EURUSD_M5_2026-05-08T17:05:00_live,EURUSD,BUY,2026-05-08T14:05:21+00:00,2026-05-08T14:10:39+00:00,new_york,SL,-500,False,True,4.4,True,True,True,True,Caso MVP detectado: confluencia alcista H1/H4 con RSI y EMAs alineadas.
live,8554497278,magi_a86e606e1a10f42c,EURUSD_M5_2026-05-08T17:15:00_live,EURUSD,BUY,2026-05-08T14:15:21+00:00,2026-05-08T18:27:22+00:00,new_york,SAFETY_PARTIAL,0.0,False,True,4.7,True,True,True,True,Caso MVP detectado: confluencia alcista H1/H4 con RSI y EMAs alineadas.
live,8569477584,magi_32f9b1dbe10a97fd,EURUSD_M5_2026-05-11T12:00:00_live,EURUSD,BUY,2026-05-11T09:00:08+00:00,2026-05-11T11:56:27+00:00,overlap,SL,-500,False,False,,False,False,False,False,Caso MVP detectado: confluencia alcista H1/H4 con RSI y EMAs alineadas.
live,8632100564,magi_557b0b388628fa66,EURUSD_M5_2026-05-14T15:00:00_live,EURUSD,SELL,2026-05-14T12:00:29+00:00,2026-05-14T14:57:55+00:00,overlap,TP,1000,False,True,4324.03,False,True,False,False,Caso MVP detectado: confluencia bajista H1/H4 con RSI y EMAs alineadas.
live,8636685436,magi_3a1e48188fce279e,EURUSD_M5_2026-05-14T18:00:00_live,EURUSD,SELL,2026-05-14T15:00:29+00:00,2026-05-15T00:02:05+00:00,new_york,TP,1000,False,False,,False,False,False,False,Caso MVP detectado: confluencia bajista H1/H4 con RSI y EMAs alineadas.
live,8645768127,magi_87fcc385c17a5a72,EURUSD_M5_2026-05-15T08:00:00_live,EURUSD,SELL,2026-05-15T05:00:30+00:00,2026-05-15T07:11:36+00:00,london,BE,0,False,False,,False,False,False,False,Caso MVP detectado: confluencia bajista H1/H4 con RSI y EMAs alineadas.
live,8650330965,magi_2de6998fe3478bbb,EURUSD_M5_2026-05-15T12:00:00_live,EURUSD,SELL,2026-05-15T09:00:30+00:00,2026-05-15T10:23:59+00:00,overlap,SL,-500,False,False,,False,False,False,False,Caso MVP detectado: confluencia bajista H1/H4 con RSI y EMAs alineadas.
live,8652091231,magi_cd1ec748618157a9,EURUSD_M5_2026-05-15T13:25:00_live,EURUSD,SELL,2026-05-15T10:25:30+00:00,2026-05-15T10:45:14+00:00,overlap,SL,-500,False,True,1.52,True,True,True,True,Caso MVP detectado: confluencia bajista H1/H4 con RSI y EMAs alineadas.
live,8652574043,magi_3f4c347376cd867b,EURUSD_M5_2026-05-15T13:50:00_live,EURUSD,SELL,2026-05-15T10:50:30+00:00,2026-05-15T10:52:15+00:00,overlap,SL,-500,False,True,5.27,True,True,True,True,Caso MVP detectado: confluencia bajista H1/H4 con RSI y EMAs alineadas.
live,8652728652,magi_d86b1b58227704b7,EURUSD_M5_2026-05-15T13:55:00_live,EURUSD,SELL,2026-05-15T10:55:30+00:00,2026-05-15T11:44:58+00:00,overlap,TP,1000,False,True,3.25,True,True,True,True,Caso MVP detectado: confluencia bajista H1/H4 con RSI y EMAs alineadas.
live,8655084624,magi_babbd97f87f5ab92,EURUSD_M5_2026-05-15T16:00:00_live,EURUSD,SELL,2026-05-15T13:00:30+00:00,2026-05-15T14:17:26+00:00,new_york,SL,-500,False,False,,False,False,False,False,Caso MVP detectado: confluencia bajista H1/H4 con RSI y EMAs alineadas.
live,8659678120,magi_51b9ded1dc494114,EURUSD_M5_2026-05-15T19:00:00_live,EURUSD,SELL,2026-05-15T16:00:30+00:00,2026-05-15T17:10:44+00:00,new_york,SL,-500,False,True,103.07,True,True,True,True,Caso MVP detectado: confluencia bajista H1/H4 con RSI y EMAs alineadas.
