dataset,scenario,trades,wins,losses,be,win_rate,net,profit_factor,max_drawdown,trades_removed,winning_trades_removed,losing_trades_removed,removed_net,net_delta_vs_baseline,dd_delta_vs_baseline,fast_same_direction_reentries,fast_reentry_wins,fast_reentry_losses,fast_reentry_net
live_demo_organic_normalized_usd,Baseline,17,5,10,1,0.3333,0.0,1.0,1500.0,0,0,0,0,0.0,0.0,6,1,4,-1000.0
live_demo_organic_normalized_usd,Cooldown A - 60m same direction after 1 SL,12,4,7,1,0.3636,500,1.1429,1500.0,5,1,3,-500.0,500.0,0.0,6,1,4,-1000.0
live_demo_organic_normalized_usd,Cooldown B - 90m same direction after 1 SL,12,4,7,1,0.3636,500,1.1429,1500.0,5,1,3,-500.0,500.0,0.0,6,1,4,-1000.0
live_demo_organic_normalized_usd,Cooldown C - 180m same direction after 1 SL,11,4,6,1,0.4,1000,1.3333,1000.0,6,1,4,-1000.0,1000.0,-500.0,6,1,4,-1000.0
live_demo_organic_normalized_usd,Cooldown D - after 2 SL same direction/session block 3h,13,4,8,1,0.3333,0,1.0,2000.0,4,1,2,0.0,0.0,500.0,6,1,4,-1000.0
live_demo_organic_normalized_usd,Cooldown E - after 3 SL day safe until next day,14,4,8,1,0.3333,0.0,1.0,1500.0,3,1,2,0,0.0,0.0,6,1,4,-1000.0
live_demo_organic_normalized_usd,Cooldown F - same direction until session change,11,4,6,1,0.4,1000,1.3333,1000.0,6,1,4,-1000.0,1000.0,-500.0,6,1,4,-1000.0
live_demo_organic_normalized_usd,Cooldown G - same direction until next day,10,4,5,1,0.4444,1500,1.6,1000.0,7,1,5,-1500.0,1500.0,-500.0,6,1,4,-1000.0
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Baseline,278,183,95,0,0.6583,176.727492,2.4272,7.516361,0,0,0,0,0.0,0.0,79,54,25,56.076095
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Cooldown A - 60m same direction after 1 SL,185,128,57,0,0.6919,135.345905,2.8166,7.929985,93,55,38,41.381587,-41.381587,0.413624,79,54,25,56.076095
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Cooldown B - 90m same direction after 1 SL,176,123,53,0,0.6989,132.41245,2.9145,6.655592,102,60,42,44.315042,-44.315042,-0.860769,79,54,25,56.076095
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Cooldown C - 180m same direction after 1 SL,157,112,45,0,0.7134,124.179188,3.1129,5.176693,121,71,50,52.548304,-52.548304,-2.339668,79,54,25,56.076095
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Cooldown D - after 2 SL same direction/session block 3h,211,146,65,0,0.6919,152.806899,2.798,8.627293,67,37,30,23.920593,-23.920593,1.110932,79,54,25,56.076095
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Cooldown E - after 3 SL day safe until next day,163,118,45,0,0.7239,131.938393,3.2524,6.185696,115,65,50,44.789099,-44.789099,-1.330665,79,54,25,56.076095
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Cooldown F - same direction until session change,154,111,43,0,0.7208,124.941827,3.2199,5.260624,124,72,52,51.785665,-51.785665,-2.255737,79,54,25,56.076095
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,Cooldown G - same direction until next day,105,75,30,0,0.7143,81.211947,3.0807,5.73657,173,108,65,95.515545,-95.515545,-1.779791,79,54,25,56.076095
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,Baseline,79,60,19,0,0.7595,69.027735,4.2065,5.056002,0,0,0,0,0.0,0.0,0,0,0,0
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,Cooldown A - 60m same direction after 1 SL,79,60,19,0,0.7595,69.027735,4.2065,5.056002,0,0,0,0,0.0,0.0,0,0,0,0
